id,pii_type,value,bbox,annotator
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Person Name,Angie Craig,"(0.5228974223136902, 0.043088510632514954, 0.5914571974426508, 0.05358812212944031)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Person Name,Angie Craig,"(0.5226988196372986, 0.061892639845609665, 0.6084042526781559, 0.07025576662272215)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,Angie Craig for Congress,"(0.5228974223136902, 0.043088510632514954, 0.6697648726403713, 0.05358812212944031)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,"KSTP-TV, LLC","(0.7942278981208801, 0.061984214931726456, 0.8819869030267, 0.07201994769275188)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,KSAX-1,"(0.9135549068450928, 0.06212279945611954, 0.9590813852846622, 0.07050489820539951)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,04/16/20 15:07:25,"(0.735491931438446, 0.024198396131396294, 0.8405184894800186, 0.03258453030139208)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.14275699853897095, 0.08113409578800201, 0.2554026171565056, 0.08939849957823753)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.08994510769844055, 0.15472188591957092, 0.14030194655060768, 0.16305290441960096)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.16713331639766693, 0.15471215546131134, 0.21740670129656792, 0.16301835794001818)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11580467224121094, 0.16985295712947845, 0.1660602204501629, 0.1782663706690073)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20,"(0.11592116206884384, 0.22678740322589874, 0.1661035269498825, 0.23530900292098522)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.11580891162157059, 0.2837652266025543, 0.16609826311469078, 0.2920357156544924)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.17445620894432068, 0.28347963094711304, 0.22484749928116798, 0.29203900322318077)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.11588240414857864, 0.34035125374794006, 0.16609785705804825, 0.3490018732845783)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.17453904449939728, 0.3402985632419586, 0.22484589368104935, 0.3489978490397334)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11595003306865692, 0.3971552848815918, 0.1660315953195095, 0.4055562587454915)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11597037315368652, 0.45400968194007874, 0.16591279208660126, 0.462532801553607)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.115970678627491, 0.5107206702232361, 0.16615543514490128, 0.5192553447559476)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20 10-11p,"(0.11592116206884384, 0.22678740322589874, 0.3026682361960411, 0.23698673117905855)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 1035-1137p,"(0.11580891162157059, 0.283610075712204, 0.33164670318365097, 0.2936417143791914)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 1137p-1207a,"(0.11588240414857864, 0.34035125374794006, 0.3393544703722, 0.35049523040652275)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 11a-230p,"(0.11595003306865692, 0.3971552848815918, 0.29027266055345535, 0.40745644737035036)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 230-6p,"(0.11597037315368652, 0.45400968194007874, 0.2758929394185543, 0.4644353622570634)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 630-10p,"(0.115970678627491, 0.5107206702232361, 0.30647438019514084, 0.5209795609116554)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Contract Number,385062,"(0.14211688935756683, 0.043463535606861115, 0.18569640815258026, 0.051523846574127674)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Contract Number,09816118,"(0.1422487199306488, 0.0621621198952198, 0.2001183070242405, 0.07027240749448538)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Invoice Number,385062,"(0.14211688935756683, 0.043463535606861115, 0.18569640815258026, 0.051523846574127674)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Invoice Number,09816118,"(0.1422487199306488, 0.0621621198952198, 0.2001183070242405, 0.07027240749448538)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,Angie Craig for Congress,"(0.5228974223136902, 0.043088510632514954, 0.6697648726403713, 0.05358812212944031)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,"KSTP-TV, LLC","(0.7942278981208801, 0.061984214931726456, 0.8819869030267, 0.07201994769275188)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,KSAX-1,"(0.9135549068450928, 0.06212279945611954, 0.9590813852846622, 0.07050489820539951)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,04/16/20 15:07:25,"(0.735491931438446, 0.024198396131396294, 0.8405184894800186, 0.03258453030139208)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.14275699853897095, 0.08113409578800201, 0.2554026171565056, 0.08939849957823753)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.08994510769844055, 0.15472188591957092, 0.14030194655060768, 0.16305290441960096)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.16713331639766693, 0.15471215546131134, 0.21740670129656792, 0.16301835794001818)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11580467224121094, 0.16985295712947845, 0.1660602204501629, 0.1782663706690073)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20,"(0.11592116206884384, 0.22678740322589874, 0.1661035269498825, 0.23530900292098522)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.11580891162157059, 0.2837652266025543, 0.16609826311469078, 0.2920357156544924)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.17445620894432068, 0.28347963094711304, 0.22484749928116798, 0.29203900322318077)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.11588240414857864, 0.34035125374794006, 0.16609785705804825, 0.3490018732845783)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.17453904449939728, 0.3402985632419586, 0.22484589368104935, 0.3489978490397334)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11595003306865692, 0.3971552848815918, 0.1660315953195095, 0.4055562587454915)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11597037315368652, 0.45400968194007874, 0.16591279208660126, 0.462532801553607)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.115970678627491, 0.5107206702232361, 0.16615543514490128, 0.5192553447559476)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.08999887853860855, 0.3252951502799988, 0.14022717997431755, 0.33371116127818823)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.16713716089725494, 0.32535240054130554, 0.21752143278717995, 0.333719938993454)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.08997711539268494, 0.38199296593666077, 0.14021968469023705, 0.3902553543448448)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.16720128059387207, 0.3819829523563385, 0.21745145320892334, 0.39024693239480257)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10-1035p,"(0.42459025979042053, 0.16998586058616638, 0.47895538061857224, 0.17997645679861307)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10-11p,"(0.26278018951416016, 0.22709862887859344, 0.3026682361960411, 0.23698673117905855)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,1035-1137p,"(0.2630292773246765, 0.283610075712204, 0.33164670318365097, 0.2936417143791914)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,1137p-1207a,"(0.2632324993610382, 0.34061121940612793, 0.3393544703722, 0.35049523040652275)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,11a-230p,"(0.2359655350446701, 0.3971729874610901, 0.29027266055345535, 0.40745644737035036)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,11a-230p,"(0.23830510675907135, 0.41052305698394775, 0.29263365641236305, 0.42091563157737255)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,230-6p,"(0.23521669209003448, 0.4541972875595093, 0.2758929394185543, 0.4644353622570634)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,230-6p,"(0.23759417235851288, 0.4676169753074646, 0.2782399281859398, 0.477731135673821)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,630-10p,"(0.25860586762428284, 0.5107269883155823, 0.30647438019514084, 0.5209795609116554)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,630-10p,"(0.23757153749465942, 0.5240834951400757, 0.28580376505851746, 0.53446264564991)",1
