id,pii_type,value,bbox,annotator
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Person Name,Steve Daines,"(0.5096538662910461, 0.031547240912914276, 0.5845457315444946, 0.040487620048224926)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Person Name,"Holly,Horan,","(0.5101245641708374, 0.06148822233080864, 0.5755231529474258, 0.07260536681860685)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Phone Number,ph: (202) 955-5342,"(0.5099560618400574, 0.08970305323600769, 0.6168467961251736, 0.10135219804942608)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Phone Number,fx: (202) 955-5348,"(0.5298950672149658, 0.08970305323600769, 0.729426983743906, 0.10135219804942608)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,Sinclair Broadcast,"(0.28356868028640747, 0.035889800637960434, 0.3807896375656128, 0.045073882676661015)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,FP1 Strategies LLC (19867),"(0.5100971460342407, 0.04630804806947708, 0.6643329411745071, 0.05757825542241335)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,"Katz/DC, Washington DC (4022)","(0.5098592638969421, 0.07672613114118576, 0.6832992546260357, 0.08830314129590988)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,FP1 Strategies LLC,"(0.05691805109381676, 0.15774182975292206, 0.20305428095161915, 0.1725788153707981)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/26/2020,"(0.8406674861907959, 0.05498984828591347, 0.893793847411871, 0.06408800929784775)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,3/30/2020,"(0.8421374559402466, 0.11887742578983307, 0.8918405696749687, 0.1271525751799345)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/26/2020,"(0.8984756469726562, 0.11890105158090591, 0.9471449069678783, 0.12721809279173613)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/28/2020 8:08:30AM,"(0.8290601968765259, 0.17136606574058533, 0.9500080198049545, 0.18042076472193003)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/15/20 6:23AM (We),"(0.3763303756713867, 0.3109615743160248, 0.47988432087004185, 0.3192188600078225)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/17/20 6:54AM (Fr),"(0.3762056231498718, 0.34747788310050964, 0.47473939321935177, 0.3559689773246646)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/20/20 6:23AM (Mo),"(0.37618502974510193, 0.3843706250190735, 0.47881875187158585, 0.39273164980113506)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/21/20 6:40AM (Tu),"(0.376291424036026, 0.42091530561447144, 0.4768663886934519, 0.42909184843301773)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/16/20 7:59AM (Th),"(0.37634575366973877, 0.4574970602989197, 0.4769551660865545, 0.46596818789839745)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/17/20 8:35AM (Fr),"(0.37609076499938965, 0.49457576870918274, 0.47479151748120785, 0.5028922529891133)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/20/20 8:40AM (Mo),"(0.37627384066581726, 0.5311697125434875, 0.47879611141979694, 0.539405282586813)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/21/20 8:50AM (Tu),"(0.37617847323417664, 0.5677642822265625, 0.47676022350788116, 0.5762748252600431)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/22/20 7:24AM (We),"(0.37621232867240906, 0.604489803314209, 0.4797460716217756, 0.6129832612350583)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/22/20 8:59AM (We),"(0.3760095238685608, 0.6235190629959106, 0.4797862861305475, 0.6319394446909428)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/19/20 8:57AM,"(0.3763032555580139, 0.6603079438209534, 0.455143004655838, 0.6682449020445347)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/19/20 9:52AM (Su),"(0.37624186277389526, 0.6970842480659485, 0.476693507283926, 0.7057115081697702)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/16/20 5:09PM (Th),"(0.3763071596622467, 0.7336795330047607, 0.476600369438529, 0.7420554235577583)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/20/20 5:11PM (Mo),"(0.3763120174407959, 0.7706049680709839, 0.47835858538746834, 0.778996336273849)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/21/20 5:15PM (Tu),"(0.3762219250202179, 0.8070726990699768, 0.47675960324704647, 0.8154702130705118)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/22/20 5:15PM (We),"(0.3762466609477997, 0.8436166048049927, 0.4792126342654228, 0.8521937169134617)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/15/20 6:15PM (We),"(0.37639179825782776, 0.880699872970581, 0.47959549352526665, 0.8887250507250428)",0
