id,pii_type,value,bbox,annotator
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Person Name,Robert Martinez,"(0.5429551601409912, 0.25010690093040466, 0.6146008409559727, 0.2606685124337673)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Phone Number,(818) 655-2000,"(0.19801075756549835, 0.14994928240776062, 0.2840219512581825, 0.16614427976310253)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"Washington, DC 20001-3796","(0.09667447954416275, 0.3161377012729645, 0.2516850233078003, 0.3308709729462862)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.36191657185554504, 0.4438350796699524, 0.40088020265102386, 0.453613905236125)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.41494110226631165, 0.4594677686691284, 0.4539908394217491, 0.47000262048095465)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.41507789492607117, 0.5120711326599121, 0.4539014659821987, 0.5226194337010384)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4150387942790985, 0.526985228061676, 0.4538850337266922, 0.5374533850699663)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.36211448907852173, 0.5629804730415344, 0.4006066173315048, 0.5736301485449076)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4148626923561096, 0.5791329741477966, 0.45372120663523674, 0.5895756492391229)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4150550961494446, 0.594240128993988, 0.4540022611618042, 0.6047209901735187)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.41511791944503784, 0.6465733051300049, 0.4538486450910568, 0.6569526055827737)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4150688052177429, 0.6986172795295715, 0.45385589078068733, 0.709141006693244)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4148983955383301, 0.7511257529258728, 0.4539274089038372, 0.7616900643333793)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4149612784385681, 0.8032765984535217, 0.4536937065422535, 0.8136988347396255)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4148831367492676, 0.855835497379303, 0.4540542960166931, 0.8665253361687064)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Person Name,Robert Martinez,"(0.5429551601409912, 0.25010690093040466, 0.6146008409559727, 0.2606685124337673)",1
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Contract Number,8196,"(0.5424090027809143, 0.19132572412490845, 0.5645116865634918, 0.2019099984318018)",1
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"Newark, NJ 07188-0091","(0.15184204280376434, 0.111049585044384, 0.29227229207754135, 0.12597512267529964)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"San Francisco, CA 94104","(0.5428049564361572, 0.11275622248649597, 0.659735519438982, 0.12484266981482506)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,650 Massachusetts Ave NW Ste 210,"(0.09695247560739517, 0.2986053228378296, 0.28962066397070885, 0.3103027045726776)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"Washington, DC 20001-3796","(0.09667447954416275, 0.3161377012729645, 0.2516850233078003, 0.3308709729462862)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.8306338787078857, 0.1325167566537857, 0.8698287308216095, 0.14300284534692764)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.36191657185554504, 0.4438350796699524, 0.40088020265102386, 0.453613905236125)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.41494110226631165, 0.4594677686691284, 0.4539908394217491, 0.47000262048095465)",2
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.36183470487594604, 0.495815634727478, 0.40025700256228447, 0.506434166803956)",2
