id,pii_type,value,bbox,annotator
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Person Name,lan Ambron,"(0.7061406970024109, 0.16812823712825775, 0.7730001099407673, 0.17621543910354376)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Person Name,Maura Gilroy,"(0.2807687222957611, 0.26283541321754456, 0.3554636985063553, 0.2730064783245325)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Person Name,Mackenzie Miller,"(0.28082674741744995, 0.28176137804985046, 0.3781468849629164, 0.2898447159677744)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Location,1010 Wisconsin Ave NW,"(0.28129643201828003, 0.3008560538291931, 0.4246360342949629, 0.3089797031134367)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Location,"Washington, DC 20007-3674","(0.2778949439525604, 0.3195236325263977, 0.4501619264483452, 0.3296908726915717)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,"KSTP-TV, LLC and KSAX-1","(0.7062457799911499, 0.14730143547058105, 0.8709748238325119, 0.15722418017685413)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,Greer Margolis & Mitchell,"(0.28065335750579834, 0.24407103657722473, 0.43770116195082664, 0.2543438272550702)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,Angie Craig for Congress,"(0.28044334053993225, 0.35757872462272644, 0.43851814419031143, 0.3680439619347453)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,04/16/20 15:07:25,"(0.7355358600616455, 0.0241452194750309, 0.8399790525436401, 0.032514726743102074)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,10/20/20,"(0.28100356459617615, 0.16814997792243958, 0.33152635768055916, 0.17623697500675917)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,10/26/20,"(0.3439600169658661, 0.1681106984615326, 0.3938264809548855, 0.17633236292749643)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,04/16/20,"(0.280447781085968, 0.18722687661647797, 0.33145010843873024, 0.19544672966003418)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,04/16/20,"(0.280447781085968, 0.18722687661647797, 0.33145010843873024, 0.19544672966003418)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,09/28/20,"(0.03190233185887337, 0.5326173305511475, 0.08264234662055969, 0.5410180371254683)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,10/25/20,"(0.12204151600599289, 0.5325179100036621, 0.171998992562294, 0.5409839451313019)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,10/26/20,"(0.03250601887702942, 0.5478606820106506, 0.082673080265522, 0.5562359057366848)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Date,10/26/20,"(0.03250601887702942, 0.5478606820106506, 0.082673080265522, 0.5562359057366848)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Contract Number,385062,"(0.2804913818836212, 0.09275352209806442, 0.32423896715044975, 0.1007984196767211)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Contract Number,09816118,"(0.2806778848171234, 0.11155372112989426, 0.33879057317972183, 0.11958054173737764)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Person Name,lan Ambron,"(0.7061406970024109, 0.16812823712825775, 0.7730001099407673, 0.17621543910354376)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Person Name,Maura Gilroy,"(0.2807687222957611, 0.26283541321754456, 0.3554636985063553, 0.2730064783245325)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Person Name,Mackenzie Miller,"(0.28082674741744995, 0.28176137804985046, 0.3781468849629164, 0.2898447159677744)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Location,1010 Wisconsin Ave NW,"(0.28129643201828003, 0.3008560538291931, 0.4246360342949629, 0.3089797031134367)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Location,"Washington, DC 20007-3674","(0.2778949439525604, 0.3195236325263977, 0.4501619264483452, 0.3296908726915717)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,"KSTP-TV, LLC and KSAX-1","(0.7062457799911499, 0.14730143547058105, 0.8709748238325119, 0.15722418017685413)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,Greer Margolis & Mitchell,"(0.28065335750579834, 0.24407103657722473, 0.43770116195082664, 0.2543438272550702)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,Angie Craig for Congress,"(0.28044334053993225, 0.35757872462272644, 0.43851814419031143, 0.3680439619347453)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Contract Number,385062,"(0.2804913818836212, 0.09275352209806442, 0.32423896715044975, 0.1007984196767211)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,"KSTP-TV, LLC and KSAX-1","(0.7062457799911499, 0.14730143547058105, 0.8709748238325119, 0.15722418017685413)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,Greer Margolis & Mitchell,"(0.28065335750579834, 0.24407103657722473, 0.43770116195082664, 0.2543438272550702)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page1,Organization Name,Angie Craig for Congress,"(0.28044334053993225, 0.35757872462272644, 0.43851814419031143, 0.3680439619347453)",2
