id,pii_type,value,bbox,annotator
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Person Name,Julia Prata,"(0.6354679465293884, 0.07483609020709991, 0.669103292748332, 0.08294643834233284)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Person Name,"MARABLE,HARTWELL","(0.36535191535949707, 0.1946302354335785, 0.4353127107024193, 0.20400817040354013)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,Salt Lake City (KJZZ),"(0.7678912878036499, 0.035554081201553345, 0.8454382158815861, 0.04608277324587107)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,"Salt Lake City, UT 84111","(0.14582431316375732, 0.12901544570922852, 0.23810426704585552, 0.14185474440455437)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,"Delaware, OH 43015","(0.035553134977817535, 0.22504422068595886, 0.11402050592005253, 0.23701107315719128)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Organization Name,Strategic Media Placement (6694),"(0.3653255105018616, 0.09643057733774185, 0.47484816424548626, 0.10676149651408195)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Organization Name,"TeleRep/DC, Washington DC","(0.3648093640804291, 0.15533845126628876, 0.4585435288026929, 0.1655425364151597)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Organization Name,TeleRep Washington DC,"(0.36510270833969116, 0.17536915838718414, 0.44421164505183697, 0.1856628991663456)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/09/20,"(0.635712206363678, 0.03965586796402931, 0.6653342749923468, 0.04930156748741865)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/22/20-06/29/20,"(0.36519625782966614, 0.057321302592754364, 0.4276862181723118, 0.06695887725800276)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,Jun. 2020,"(0.7676917910575867, 0.0682120993733406, 0.8022402822971344, 0.07625119015574455)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,Jul. 2020,"(0.767637312412262, 0.0818512886762619, 0.7996027804911137, 0.08990133088082075)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/23/20-06/23/20,"(0.1881638467311859, 0.5072703957557678, 0.24130146205425262, 0.5152784558013082)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/26/20-06/26/20,"(0.18815858662128448, 0.5268502235412598, 0.2414177991449833, 0.5350571433082223)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/22/20-06/22/20,"(0.18814614415168762, 0.5468530654907227, 0.24134192988276482, 0.5549495788291097)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/29/20-06/29/20,"(0.18810437619686127, 0.5664653182029724, 0.24130382016301155, 0.5747495200484991)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/24/20-06/24/20,"(0.18805749714374542, 0.5865667462348938, 0.24133190885186195, 0.5944127859547734)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/25/20-06/25/20,"(0.18802866339683533, 0.6060734987258911, 0.24130723997950554, 0.6144013190641999)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,"Tuesday, June 9 2020","(0.10892726480960846, 0.9620958566665649, 0.19289510510861874, 0.9739426467567682)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Contract Number,4396160,"(0.36528661847114563, 0.03704781085252762, 0.4167884364724159, 0.04920580890029669)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Invoice Number,4396160,"(0.36528661847114563, 0.03704781085252762, 0.4167884364724159, 0.04920580890029669)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Invoice Number,09841021,"(0.6356543302536011, 0.11237574368715286, 0.6672620251774788, 0.12061514984816313)",0
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Person Name,Julia Prata,"(0.6354679465293884, 0.07483609020709991, 0.669103292748332, 0.08294643834233284)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Person Name,"MARABLE,HARTWELL","(0.36535191535949707, 0.1946302354335785, 0.4353127107024193, 0.20400817040354013)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,299 S Main St,"(0.1457037776708603, 0.09422111511230469, 0.19754953775554895, 0.10464202798902988)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,7669 Stagers Loop,"(0.03524627536535263, 0.20781397819519043, 0.10454547591507435, 0.2206190275028348)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,"Delaware, OH 43015","(0.035553134977817535, 0.22504422068595886, 0.11402050592005253, 0.23701107315719128)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Organization Name,Strategic Media Placement (6694),"(0.3653255105018616, 0.09643057733774185, 0.47484816424548626, 0.10676149651408195)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Organization Name,"TeleRep/DC, Washington DC (2995)","(0.3648093640804291, 0.15526559948921204, 0.48199936375021935, 0.1655425364151597)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/09/20,"(0.635712206363678, 0.03965586796402931, 0.6653342749923468, 0.04930156748741865)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,06/22/20-06/29/20,"(0.36519625782966614, 0.057321302592754364, 0.4276862181723118, 0.06695887725800276)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,Jun. 2020,"(0.7676917910575867, 0.0682120993733406, 0.8022402822971344, 0.07625119015574455)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,Jul. 2020,"(0.767637312412262, 0.0818512886762619, 0.7996027804911137, 0.08990133088082075)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,6/9/20,"(0.9389528632164001, 0.5071642398834229, 0.9576285220682621, 0.5153345633298159)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,6/9/20,"(0.9389396905899048, 0.5267485976219177, 0.9576737955212593, 0.5348777808248997)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,6/9/20,"(0.9386592507362366, 0.5467933416366577, 0.9577395729720592, 0.5547624276950955)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,6/9/20,"(0.9389901757240295, 0.5664095878601074, 0.9576009456068277, 0.57452476862818)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,6/9/20,"(0.9389172792434692, 0.5865072011947632, 0.9576075803488493, 0.5942251472733915)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Date,6/9/20,"(0.9387224316596985, 0.6059957146644592, 0.9577160477638245, 0.6140264607965946)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Contract Number,Contract #	4396160,"(0.282079815864563, 0.036094292998313904, 0.4167884364724159, 0.04920580890029669)",1
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Person Name,Julia Prata,"(0.6354679465293884, 0.07483609020709991, 0.669103292748332, 0.08294643834233284)",2
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,299 S Main St,"(0.1457037776708603, 0.09422111511230469, 0.19754953775554895, 0.10464202798902988)",2
e910d31f-0c5a-5041-1a4d-1f1b39606992.pdf_page1,Location,7669 Stagers Loop,"(0.03524627536535263, 0.20781397819519043, 0.10454547591507435, 0.2206190275028348)",2
