id,pii_type,value,bbox,annotator
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Location,"ARLINGTON, VA 22201-2247","(0.055793967097997665, 0.19211745262145996, 0.2733677998185158, 0.20596467517316341)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,Sinclair Broadcast,"(0.28356868028640747, 0.035889800637960434, 0.3807896375656128, 0.045073882676661015)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,FP1 Strategies LLC (19867),"(0.5100971460342407, 0.04630804806947708, 0.6643329411745071, 0.05757825542241335)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,NBC-The Today Show Hour 1 & 2,"(0.5314921140670776, 0.4589710235595703, 0.675935392268002, 0.46715409588068724)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,NBC-Sunday Today Show,"(0.5311985015869141, 0.6614534854888916, 0.6409234832972288, 0.6698629651218653)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,NBC-Meet The Press,"(0.5310359597206116, 0.6980971097946167, 0.6196245215833187, 0.7049593692645431)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,News-News at Five,"(0.5312185287475586, 0.7347912788391113, 0.6135956980288029, 0.7416039598174393)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,News-News at Six,"(0.5310958027839661, 0.881485104560852, 0.6088763531297445, 0.8884166753850877)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/26/2020,"(0.8406674861907959, 0.05498984828591347, 0.893793847411871, 0.06408800929784775)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/15/20 6:23AM (We),"(0.3763303756713867, 0.3109615743160248, 0.47988432087004185, 0.3192188600078225)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/17/20 6:54AM (Fr),"(0.3762056231498718, 0.34747788310050964, 0.47473939321935177, 0.3559689773246646)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/21/20 6:40AM (Tu),"(0.376291424036026, 0.42091530561447144, 0.4768663886934519, 0.42909184843301773)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/16/20 7:59AM (Th),"(0.37634575366973877, 0.4574970602989197, 0.4769551660865545, 0.46596818789839745)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/17/20 8:35AM (Fr),"(0.37609076499938965, 0.49457576870918274, 0.47479151748120785, 0.5028922529891133)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/21/20 8:50AM (Tu),"(0.37617847323417664, 0.5677642822265625, 0.47676022350788116, 0.5762748252600431)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/22/20 7:24AM (We),"(0.37621232867240906, 0.604489803314209, 0.4797460716217756, 0.6129832612350583)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/22/20 8:59AM (We),"(0.3760095238685608, 0.6235190629959106, 0.4797862861305475, 0.6319394446909428)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/19/20 8:57AM,"(0.3763032555580139, 0.6603079438209534, 0.455143004655838, 0.6682449020445347)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/19/20 9:52AM (Su),"(0.37624186277389526, 0.6970842480659485, 0.476693507283926, 0.7057115081697702)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/16/20 5:09PM (Th),"(0.3763071596622467, 0.7336795330047607, 0.476600369438529, 0.7420554235577583)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/21/20 5:15PM (Tu),"(0.3762219250202179, 0.8070726990699768, 0.47675960324704647, 0.8154702130705118)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/22/20 5:15PM (We),"(0.3762466609477997, 0.8436166048049927, 0.4792126342654228, 0.8521937169134617)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/15/20 6:15PM (We),"(0.37639179825782776, 0.880699872970581, 0.47959549352526665, 0.8887250507250428)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/16/20 6:11PM (Th),"(0.37627777457237244, 0.9171074628829956, 0.4765921514481306, 0.9254016457125545)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Contract Number,7382690,"(0.8433325886726379, 0.037797071039676666, 0.8896216563880444, 0.04680699296295643)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Contract Number,286/ECR26902781,"(0.509575605392456, 0.17526483535766602, 0.6108635514974594, 0.1844365606084466)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Invoice Number,Invoice 7382690,"(0.7769339680671692, 0.037797071039676666, 0.8896216563880444, 0.04682303685694933)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,Sinclair Broadcast,"(0.28356868028640747, 0.035889800637960434, 0.3807896375656128, 0.045073882676661015)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,FP1 Strategies LLC (19867),"(0.5100971460342407, 0.04630804806947708, 0.6643329411745071, 0.05757825542241335)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/26/2020,"(0.8406674861907959, 0.05498984828591347, 0.893793847411871, 0.06408800929784775)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,3/30/2020,"(0.8421374559402466, 0.11887742578983307, 0.8918405696749687, 0.1271525751799345)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/26/2020,"(0.8984756469726562, 0.11890105158090591, 0.9471449069678783, 0.12721809279173613)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/15/20 6:23AM (We),"(0.3763303756713867, 0.3109615743160248, 0.47988432087004185, 0.3192188600078225)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/17/20 6:54AM (Fr),"(0.3762056231498718, 0.34747788310050964, 0.47473939321935177, 0.3559689773246646)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/20/20 6:23AM (Mo),"(0.37618502974510193, 0.3843706250190735, 0.47881875187158585, 0.39273164980113506)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/21/20 6:40AM (Tu),"(0.376291424036026, 0.42091530561447144, 0.4768663886934519, 0.42909184843301773)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/16/20 7:59AM (Th),"(0.37634575366973877, 0.4574970602989197, 0.4769551660865545, 0.46596818789839745)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/17/20 8:35AM (Fr),"(0.37609076499938965, 0.49457576870918274, 0.47479151748120785, 0.5028922529891133)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/20/20 8:40AM (Mo),"(0.37627384066581726, 0.5311697125434875, 0.47879611141979694, 0.539405282586813)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/21/20 8:50AM (Tu),"(0.37617847323417664, 0.5677642822265625, 0.47676022350788116, 0.5762748252600431)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/22/20 7:24AM (We),"(0.37621232867240906, 0.604489803314209, 0.4797460716217756, 0.6129832612350583)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/22/20 8:59AM (We),"(0.3760095238685608, 0.6235190629959106, 0.4797862861305475, 0.6319394446909428)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/19/20 9:52AM (Su),"(0.37624186277389526, 0.6970842480659485, 0.476693507283926, 0.7057115081697702)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/16/20 5:09PM (Th),"(0.3763071596622467, 0.7336795330047607, 0.476600369438529, 0.7420554235577583)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/21/20 5:15PM (Tu),"(0.3762219250202179, 0.8070726990699768, 0.47675960324704647, 0.8154702130705118)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/22/20 5:15PM (We),"(0.3762466609477997, 0.8436166048049927, 0.4792126342654228, 0.8521937169134617)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/15/20 6:15PM (We),"(0.37639179825782776, 0.880699872970581, 0.47959549352526665, 0.8887250507250428)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,04/16/20 6:11PM (Th),"(0.37627777457237244, 0.9171074628829956, 0.4765921514481306, 0.9254016457125545)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/28/2020 8:08:30AM,"(0.8290601968765259, 0.17136606574058533, 0.9500080198049545, 0.18042076472193003)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Contract Number,286/ECR26902781,"(0.509575605392456, 0.17526483535766602, 0.6108635514974594, 0.1844365606084466)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Invoice Number,7382690,"(0.8433325886726379, 0.037797071039676666, 0.8896216563880444, 0.04680699296295643)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Phone Number,ph: (202) 955-5342 fx: (202) 955-5348x,"(0.5099560618400574, 0.08970305323600769, 0.729426983743906, 0.10135219804942608)",2
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Location,3001 WASHINGTON BLVD 7TH FL,"(0.05661313608288765, 0.17477160692214966, 0.31520188972353935, 0.18659351859241724)",2
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,Sinclair Broadcast,"(0.28356868028640747, 0.035889800637960434, 0.3807896375656128, 0.045073882676661015)",2
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Organization Name,FP1 Strategies LLC (19867),"(0.5100971460342407, 0.04630804806947708, 0.6643329411745071, 0.05757825542241335)",2
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page1,Date,4/26/2020,"(0.8406674861907959, 0.05498984828591347, 0.893793847411871, 0.06408800929784775)",2
