id,pii_type,value,bbox,annotator
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Location,Grand Rapids WXSP,"(0.794121503829956, 0.06224006414413452, 0.9215840771794319, 0.07246456295251846)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Organization Name,POL/Priorities USA Action PAC,"(0.5234372615814209, 0.04313156381249428, 0.704545509070158, 0.05152605473995209)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,02/17/20 16:41:31,"(0.7352491617202759, 0.024125827476382256, 0.8391727544367313, 0.032491400837898254)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/09/20,"(0.14222773909568787, 0.08128046989440918, 0.19358190521597862, 0.08922174572944641)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/15/20,"(0.20486882328987122, 0.08127281069755554, 0.25532641261816025, 0.0893076378852129)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/09/20,"(0.08955904096364975, 0.15476207435131073, 0.14020231738686562, 0.16295830626040697)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/15/20,"(0.1664310097694397, 0.1547485888004303, 0.21751749143004417, 0.162919451482594)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Contract Number,2385643,"(0.14208011329174042, 0.04349170997738838, 0.1930074281990528, 0.05151086114346981)",0
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Location,Grand Rapids,"(0.794121503829956, 0.06224006414413452, 0.8796047680079937, 0.07246456295251846)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Organization Name,POL/Priorities USA Action PAC,"(0.5234372615814209, 0.04313156381249428, 0.704545509070158, 0.05152605473995209)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,02/17/20 16:41:31,"(0.7352491617202759, 0.024125827476382256, 0.8391727544367313, 0.032491400837898254)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/09/20,"(0.14222773909568787, 0.08128046989440918, 0.19358190521597862, 0.08922174572944641)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/15/20,"(0.20486882328987122, 0.08127281069755554, 0.25532641261816025, 0.0893076378852129)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Contract Number,2385643,"(0.14208011329174042, 0.04349170997738838, 0.1930074281990528, 0.05151086114346981)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Invoice Number,Order / Rev: 2385643,"(0.02967785857617855, 0.04314868524670601, 0.1930074281990528, 0.05151086114346981)",1
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Location,Grand Rapids WXSP,"(0.794121503829956, 0.06224006414413452, 0.9215840771794319, 0.07246456295251846)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Organization Name,POL/Priorities USA Action PAC,"(0.5234372615814209, 0.04313156381249428, 0.704545509070158, 0.05152605473995209)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,02/17/20 16:41:31,"(0.7352491617202759, 0.024125827476382256, 0.8391727544367313, 0.032491400837898254)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/09/20,"(0.14222773909568787, 0.08128046989440918, 0.19358190521597862, 0.08922174572944641)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/15/20,"(0.20486882328987122, 0.08127281069755554, 0.25532641261816025, 0.0893076378852129)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/09/20,"(0.08955904096364975, 0.15476207435131073, 0.14020231738686562, 0.16295830626040697)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Date,06/15/20,"(0.1664310097694397, 0.1547485888004303, 0.21751749143004417, 0.162919451482594)",2
ee19ec76-3531-254f-c21f-869b6cf0916c.pdf_page2,Contract Number,2385643,"(0.14208011329174042, 0.04349170997738838, 0.1930074281990528, 0.05151086114346981)",2
