id,pii_type,value,bbox,annotator
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,WBAL-TV11,"(0.19540034234523773, 0.06910455226898193, 0.2871273010969162, 0.07944792043417692)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,Vignarajah/D/Mayor,"(0.6026930809020996, 0.10154803842306137, 0.7185380384325981, 0.11201329994946718)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,WideOrbit,"(0.9179893136024475, 0.9590280652046204, 0.9625123292207718, 0.9660081081092358)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Invoice Number,2007974-1,"(0.602767825126648, 0.07152307033538818, 0.6637915261089802, 0.07965652458369732)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Location,"Prescott, AZ 86304-9024","(0.19647301733493805, 0.09965690225362778, 0.38887664675712585, 0.11150976829230785)",1
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,WBAL-TV11,"(0.19540034234523773, 0.06910455226898193, 0.2871273010969162, 0.07944792043417692)",1
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,ATE,"(0.5550637245178223, 0.034426137804985046, 0.6657281070947647, 0.06957672163844109)",1
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,Vignarajah/D/Mayor,"(0.6026930809020996, 0.10154803842306137, 0.7185380384325981, 0.11201329994946718)",1
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Organization Name,WideOrbit,"(0.9179893136024475, 0.9590280652046204, 0.9625123292207718, 0.9660081081092358)",1
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page2,Contract Number,2007974-1,"(0.602767825126648, 0.07152307033538818, 0.6637915261089802, 0.07965652458369732)",1
