id,pii_type,value,bbox,annotator
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nina For PA,"(0.5051751732826233, 0.11629919707775116, 0.5794938933104277, 0.12436105869710445)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,1555 Hamilton St,"(0.19676874577999115, 0.0855996161699295, 0.3277765177190304, 0.09567307773977518)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,"Philadelphia, PA 19130","(0.19696684181690216, 0.10074067860841751, 0.3782997243106365, 0.1132549261674285)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,919 Catharine St,"(0.14701272547245026, 0.22925227880477905, 0.2624625973403454, 0.23843178153038025)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,"Philadelphia, PA 19147-2740","(0.1476496309041977, 0.24256622791290283, 0.3488377779722214, 0.25371480640023947)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Organization Name,KYW-TV,"(0.19663932919502258, 0.07059147953987122, 0.2606740966439247, 0.08029598090797663)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Organization Name,Dudley Media,"(0.14763878285884857, 0.21629133820533752, 0.24156572297215462, 0.22735108342021704)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.7748104929924011, 0.024228373542428017, 0.8251253552734852, 0.03237598482519388)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/21/20 / 05/22/20,"(0.802600622177124, 0.11583160609006882, 0.9402495622634888, 0.12420349940657616)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.50375896692276, 0.1473696380853653, 0.617171298712492, 0.15565490443259478)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11640749126672745, 0.4532153904438019, 0.23571819067001343, 0.4616402145475149)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.08459358662366867, 0.49108871817588806, 0.21264278888702393, 0.49929242115467787)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11647111922502518, 0.5080745816230774, 0.23569238930940628, 0.5164474369958043)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.08455278724431992, 0.5459217429161072, 0.21271100640296936, 0.5543728191405535)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11650468409061432, 0.5631228089332581, 0.23564424365758896, 0.5712766414508224)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.08463811874389648, 0.6007053256034851, 0.21263745799660683, 0.6089904587715864)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11654646694660187, 0.6178248524665833, 0.23570909351110458, 0.6261503044515848)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.08453124016523361, 0.655874490737915, 0.2127849981188774, 0.6642151158303022)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11644022911787033, 0.6732010245323181, 0.2357056848704815, 0.681564575061202)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.0846385806798935, 0.7108354568481445, 0.21261610835790634, 0.7194707859307528)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11649485677480698, 0.7279270887374878, 0.23567629605531693, 0.7365045621991158)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.08464646339416504, 0.7659109234809875, 0.21271469071507454, 0.7743628304451704)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.11647289246320724, 0.7827169895172119, 0.2357778400182724, 0.7910565007477999)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/29/20,"(0.08470419049263, 0.8205655813217163, 0.21275897324085236, 0.8290825858712196)",0
