id,pii_type,value,bbox,annotator
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,WLKY-TV,"(0.19570454955101013, 0.0691545382142067, 0.27033285796642303, 0.07916666939854622)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,McGrath/D/Senate,"(0.6027864813804626, 0.10137239843606949, 0.7113485857844353, 0.1097027650102973)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,CBS THIS MORNING SATURDA,"(0.3185991048812866, 0.4503469169139862, 0.5116693377494812, 0.45884558744728565)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,Young & The Restless,"(0.2239798754453659, 0.472233384847641, 0.35417085513472557, 0.48254610784351826)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,www.hearst.com/newsroom/hearst-television-advertising-sales,"(0.6780840158462524, 0.8310739398002625, 0.9470033347606659, 0.839356473647058)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Invoice Number,1987618-1,"(0.6036615371704102, 0.07127366960048676, 0.6634339801967144, 0.07929854933172464)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/15/20,"(0.6028617024421692, 0.08633105456829071, 0.653682753443718, 0.09452342707663774)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,02/24/20,"(0.8446309566497803, 0.08628249168395996, 0.8953867144882679, 0.0944688692688942)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/09/20,"(0.9067387580871582, 0.08639790117740631, 0.9573812261223793, 0.09448823891580105)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.19004620611667633, 0.2619662880897522, 0.24073924869298935, 0.2698598140850663)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.06738930195569992, 0.2837408185005188, 0.1182151548564434, 0.29191536270081997)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.19002898037433624, 0.35643336176872253, 0.24064681306481361, 0.36440036352723837)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.06766199320554733, 0.37831467390060425, 0.11848339065909386, 0.3865858959034085)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/03/20,"(0.06744474172592163, 0.4724646508693695, 0.11829166859388351, 0.4806627742946148)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/03/20,"(0.19007831811904907, 0.5361866354942322, 0.24070531874895096, 0.5440415097400546)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/04/20,"(0.06722772866487503, 0.5576040744781494, 0.11847539618611336, 0.5662828385829926)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/04/20,"(0.1899743676185608, 0.6210553646087646, 0.24073398113250732, 0.6294518914073706)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/09/20,"(0.06754297763109207, 0.6429481506347656, 0.11834071949124336, 0.65105942171067)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/09/20,"(0.1899968683719635, 0.7061610817909241, 0.24075013771653175, 0.7146101212128997)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.06748176366090775, 0.7280268669128418, 0.11823710054159164, 0.7365210028365254)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.1901395320892334, 0.8011307716369629, 0.24053586646914482, 0.8089600587263703)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.18998593091964722, 0.8150758147239685, 0.24072730541229248, 0.8234465466812253)",1
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Invoice Number,1987618-1,"(0.6036615371704102, 0.07127366960048676, 0.6634339801967144, 0.07929854933172464)",2
