id,pii_type,value,bbox,annotator
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Person Name,Michelle Fleming,"(0.6020082235336304, 0.07154969125986099, 0.6630254257470369, 0.08371594082564116)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Person Name,"DOME,PATRICIA","(0.3490763306617737, 0.18189947307109833, 0.41118384152650833, 0.19310838263481855)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,G-3643 W Pierson Rd,"(0.14190053939819336, 0.0916285365819931, 0.22838822286576033, 0.10439128708094358)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,"Flint, MI 48504","(0.14185816049575806, 0.1081322580575943, 0.20291131921112537, 0.1213117241859436)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,1427 Leslie Ave,"(0.03776570409536362, 0.19671718776226044, 0.10027336329221725, 0.20847690012305975)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,Ste 106,"(0.03740977868437767, 0.21277941763401031, 0.06978295184671879, 0.224815315566957)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,"Alexandria, VA 22301","(0.03698661923408508, 0.22864578664302826, 0.12520735897123814, 0.24258289206773043)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,America First Action (122842),"(0.34836846590042114, 0.07368410378694534, 0.4585985653102398, 0.08625256177037954)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,Del Ray Media (17530),"(0.3488536477088928, 0.09267788380384445, 0.4340860713273287, 0.10532424785196781)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,"HRP/DC, Washington DC (3707)","(0.3487337529659271, 0.14574749767780304, 0.4670999310910702, 0.15850497130304575)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,Del Ray Media,"(0.03737371414899826, 0.18082819879055023, 0.09501633793115616, 0.19483207073062658)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/03/20,"(0.6012169122695923, 0.03929309919476509, 0.6355280317366123, 0.05056930240243673)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/04/20-06/11/20,"(0.3482973277568817, 0.0567728728055954, 0.4197450950741768, 0.06876508705317974)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/03/20,"(0.6015653610229492, 0.056615229696035385, 0.6358435526490211, 0.06762604881078005)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/10/20-05/10/20,"(0.18433277308940887, 0.47271135449409485, 0.2456798143684864, 0.48295658361166716)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/11/20-06/11/20,"(0.18437179923057556, 0.4907646179199219, 0.24563832953572273, 0.5012768711894751)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/08/20-06/08/20,"(0.18453194200992584, 0.5088261365890503, 0.24575011804699898, 0.519489717669785)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,"05:27 PM on Wednesday, June 3 2020","(0.07503662258386612, 0.9170620441436768, 0.24132904596626759, 0.9312128787860274)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Contract Number,Contract # 4390920,"(0.2708981931209564, 0.0367773100733757, 0.4078980050981045, 0.051478976383805275)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Invoice Number,09837105,"(0.6017170548439026, 0.10586998611688614, 0.6387788020074368, 0.11675586551427841)",0
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Person Name,Michelle Fleming,"(0.6020082235336304, 0.07154969125986099, 0.6630254257470369, 0.08371594082564116)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Person Name,"DOME,PATRICIA","(0.3490763306617737, 0.18189947307109833, 0.41118384152650833, 0.19310838263481855)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,G-3643 W Pierson Rd,"(0.14190053939819336, 0.0916285365819931, 0.22838822286576033, 0.10439128708094358)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,"Flint, MI 48504","(0.14185816049575806, 0.1081322580575943, 0.20291131921112537, 0.1213117241859436)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,1427 Leslie Ave,"(0.03776570409536362, 0.19671718776226044, 0.10027336329221725, 0.20847690012305975)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,Ste 106,"(0.03740977868437767, 0.21277941763401031, 0.06978295184671879, 0.224815315566957)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,"Alexandria, VA 22301","(0.03698661923408508, 0.22864578664302826, 0.12520735897123814, 0.24258289206773043)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,America First Action (122842),"(0.34836846590042114, 0.07368410378694534, 0.4585985653102398, 0.08625256177037954)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,Del Ray Media (17530),"(0.3488536477088928, 0.09267788380384445, 0.4340860713273287, 0.10532424785196781)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,"HRP/DC, Washington DC (3707)","(0.3487337529659271, 0.14574749767780304, 0.4670999310910702, 0.15850497130304575)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Organization Name,Del Ray Media,"(0.03737371414899826, 0.18082819879055023, 0.09501633793115616, 0.19483207073062658)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/03/20,"(0.6012169122695923, 0.03929309919476509, 0.6355280317366123, 0.05056930240243673)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/04/20-06/11/20,"(0.3482973277568817, 0.0567728728055954, 0.4197450950741768, 0.06876508705317974)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/03/20,"(0.6015653610229492, 0.056615229696035385, 0.6358435526490211, 0.06762604881078005)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,Jun. 2020,"(0.7251814603805542, 0.06495996564626694, 0.7639924231916666, 0.07526230905205011)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/10/20-05/10/20,"(0.18433277308940887, 0.47271135449409485, 0.2456798143684864, 0.48295658361166716)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/11/20-06/11/20,"(0.18437179923057556, 0.4907646179199219, 0.24563832953572273, 0.5012768711894751)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,06/08/20-06/08/20,"(0.18453194200992584, 0.5088261365890503, 0.24575011804699898, 0.519489717669785)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Date,"Wednesday, June 3 2020","(0.13090388476848602, 0.9170620441436768, 0.24132904596626759, 0.9312128787860274)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Contract Number,Contract # 4390920,"(0.2708981931209564, 0.0367773100733757, 0.4078980050981045, 0.051478976383805275)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Invoice Number,AMFAI/ORDR/220122,"(0.34870362281799316, 0.21839271485805511, 0.4295625239610672, 0.23020841274410486)",1
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Person Name,Michelle Fleming,"(0.6020082235336304, 0.07154969125986099, 0.6630254257470369, 0.08371594082564116)",2
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,G-3643 W Pierson Rd,"(0.14190053939819336, 0.0916285365819931, 0.22838822286576033, 0.10439128708094358)",2
f9a59888-b508-9792-d356-1d36de82c212.pdf_page2,Location,"Flint, MI 48504","(0.14185816049575806, 0.1081322580575943, 0.20291131921112537, 0.1213117241859436)",2
