id,pii_type,value,bbox,annotator
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Person Name,Angie Craig,"(0.5228974223136902, 0.043088510632514954, 0.5914571974426508, 0.05358812212944031)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,"KSTP-TV, LLC and KSAX-1","(0.7942278981208801, 0.061984214931726456, 0.9590813852846622, 0.07201994769275188)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,04/16/20 15:07:25,"(0.735491931438446, 0.024198396131396294, 0.8405184894800186, 0.03258453030139208)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.14275699853897095, 0.08113409578800201, 0.2554026171565056, 0.08939849957823753)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.11580467224121094, 0.16985295712947845, 0.1660602204501629, 0.1782663706690073)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/19/20 10/25/20,"(0.08998433500528336, 0.2116556167602539, 0.21762093156576157, 0.22001073230057955)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20 10/25/20,"(0.11592116206884384, 0.22678740322589874, 0.1661035269498825, 0.23530900292098522)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.11580891162157059, 0.28347963094711304, 0.22484749928116798, 0.29203900322318077)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.11595003306865692, 0.3971552848815918, 0.1660315953195095, 0.4055562587454915)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/19/20 10/25/20,"(0.08992917090654373, 0.43898075819015503, 0.21732134744524956, 0.44746424816548824)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.11597037315368652, 0.45400968194007874, 0.16591279208660126, 0.462532801553607)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/19/20 10/25/20,"(0.08997165411710739, 0.49555322527885437, 0.21746790781617165, 0.5040902765467763)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.115970678627491, 0.5107206702232361, 0.16615543514490128, 0.5192553447559476)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Contract Number,385062,"(0.14211688935756683, 0.043463535606861115, 0.18569640815258026, 0.051523846574127674)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Contract Number,09816118,"(0.1422487199306488, 0.0621621198952198, 0.2001183070242405, 0.07027240749448538)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Invoice Number,385062,"(0.14211688935756683, 0.043463535606861115, 0.18569640815258026, 0.051523846574127674)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Invoice Number,09816118,"(0.1422487199306488, 0.0621621198952198, 0.2001183070242405, 0.07027240749448538)",0
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Person Name,Angie Craig,"(0.5228974223136902, 0.043088510632514954, 0.5914571974426508, 0.05358812212944031)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,"KSTP-TV, LLC and KSAX-1","(0.7942278981208801, 0.061984214931726456, 0.9590813852846622, 0.07201994769275188)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.14275699853897095, 0.08113409578800201, 0.2554026171565056, 0.08939849957823753)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.11580467224121094, 0.16985295712947845, 0.1660602204501629, 0.1782663706690073)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20 10/25/20,"(0.11592116206884384, 0.22678740322589874, 0.1661035269498825, 0.23530900292098522)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.11580891162157059, 0.28347963094711304, 0.22484749928116798, 0.29203900322318077)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20 10/26/20,"(0.11588240414857864, 0.3402985632419586, 0.22484589368104935, 0.3490018732845783)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.11595003306865692, 0.3971552848815918, 0.1660315953195095, 0.4055562587454915)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.11597037315368652, 0.45400968194007874, 0.16591279208660126, 0.462532801553607)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20 10/24/20,"(0.115970678627491, 0.5107206702232361, 0.16615543514490128, 0.5192553447559476)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Contract Number,Order / Rev: 385062,"(0.029620502144098282, 0.043114274740219116, 0.18569640815258026, 0.051523846574127674)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Contract Number,Alt Order #: 09816118,"(0.029224080964922905, 0.0619647353887558, 0.2001183070242405, 0.07027240749448538)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Invoice Number,385062,"(0.14211688935756683, 0.043463535606861115, 0.18569640815258026, 0.051523846574127674)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Invoice Number,09816118,"(0.1422487199306488, 0.0621621198952198, 0.2001183070242405, 0.07027240749448538)",1
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,"KSTP-TV, LLC","(0.7942278981208801, 0.061984214931726456, 0.8819869030267, 0.07201994769275188)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Organization Name,KSAX-1,"(0.9135549068450928, 0.06212279945611954, 0.9590813852846622, 0.07050489820539951)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,04/16/20 15:07:25,"(0.735491931438446, 0.024198396131396294, 0.8405184894800186, 0.03258453030139208)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.14275699853897095, 0.08113409578800201, 0.19764085114002228, 0.089364318177104)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.20539334416389465, 0.08121900260448456, 0.2554026171565056, 0.08939849957823753)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11580467224121094, 0.16985295712947845, 0.1660602204501629, 0.1782663706690073)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10-1035p,"(0.42459025979042053, 0.16998586058616638, 0.47895538061857224, 0.17997645679861307)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/19/20,"(0.08998433500528336, 0.21172064542770386, 0.14019254222512245, 0.21993029676377773)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20,"(0.1671474725008011, 0.2116556167602539, 0.21762093156576157, 0.22001073230057955)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/25/20,"(0.11592116206884384, 0.22678740322589874, 0.1661035269498825, 0.23530900292098522)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.11580891162157059, 0.2837652266025543, 0.16609826311469078, 0.2920357156544924)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.17445620894432068, 0.28347963094711304, 0.22484749928116798, 0.29203900322318077)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,1035-1137p,"(0.2630292773246765, 0.283610075712204, 0.33164670318365097, 0.2936417143791914)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/20/20,"(0.11588240414857864, 0.34035125374794006, 0.16609785705804825, 0.3490018732845783)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/26/20,"(0.17453904449939728, 0.3402985632419586, 0.22484589368104935, 0.3489978490397334)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,1137p-1207a,"(0.2632324993610382, 0.34061121940612793, 0.3393544703722, 0.35049523040652275)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/24/20,"(0.11595003306865692, 0.3971552848815918, 0.1660315953195095, 0.4055562587454915)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,11a-230p,"(0.2359655350446701, 0.3971729874610901, 0.29027266055345535, 0.40745644737035036)",2
e8d41204-64eb-9f4b-608e-5593933aca41.pdf_page4,Date,10/19/20,"(0.08992917090654373, 0.4390706419944763, 0.14030107855796814, 0.44729875307530165)",2
