id,pii_type,value,bbox,annotator
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Person Name,Vignarajah/D/Mayor,"(0.6025930643081665, 0.10160550475120544, 0.7182936817407608, 0.11203624960035086)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Location,PO Box 90024,"(0.1965196281671524, 0.0843510627746582, 0.30515118315815926, 0.09456162340939045)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Location,"Prescott, AZ 86304-9024","(0.196465402841568, 0.09963645786046982, 0.3887825608253479, 0.11151361372321844)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL-TV11,"(0.19541426002979279, 0.06915639340877533, 0.2871522977948189, 0.07943099271506071)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10979540646076202, 0.25214239954948425, 0.14727134630084038, 0.26038956362754107)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10978022962808609, 0.3374028205871582, 0.14728231355547905, 0.3455958943814039)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10992631316184998, 0.35164403915405273, 0.14727799594402313, 0.35972826834768057)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10982431471347809, 0.436905175447464, 0.1474408581852913, 0.44530695863068104)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10978856682777405, 0.6072683930397034, 0.14729314297437668, 0.6156939817592502)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10984914004802704, 0.6216256022453308, 0.14716122299432755, 0.629683393985033)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WBAL,"(0.10993348062038422, 0.706637978553772, 0.14744091406464577, 0.7151956986635923)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Organization Name,WideOrbit,"(0.9177374839782715, 0.9589348435401917, 0.9626081623136997, 0.9659570301882923)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Date,04/29/20,"(0.18980124592781067, 0.2522403299808502, 0.24077460169792175, 0.26087629050016403)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Date,04/28/20,"(0.18991822004318237, 0.33746564388275146, 0.24078306555747986, 0.34602778870612383)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Date,04/30/20,"(0.19000527262687683, 0.3516538739204407, 0.24075039476156235, 0.3600423317402601)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Date,04/28/20,"(0.18987584114074707, 0.4371824264526367, 0.24079614132642746, 0.4454920617863536)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Date,04/29/20,"(0.18994693458080292, 0.6216374635696411, 0.24071761220693588, 0.6299959821626544)",0
eff55361-0e39-53a1-da0b-a337a361b66b.pdf_page3,Date,05/03/20,"(0.1899694800376892, 0.7067831158638, 0.2408978007733822, 0.714900596998632)",0
