id,pii_type,value,bbox,annotator
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nina For PA,"(0.5051751732826233, 0.11629919707775116, 0.5794938933104277, 0.12436105869710445)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nicole Elie,"(0.7484853863716125, 0.24114201962947845, 0.8093976955860853, 0.24920981656759977)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Phone Number,(215) 977-1900,"(0.19633087515830994, 0.11590911448001862, 0.30781514197587967, 0.1284615881741047)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,1555 Hamilton St,"(0.19676874577999115, 0.0855996161699295, 0.3277765177190304, 0.09567307773977518)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,US,"(0.14763513207435608, 0.2560552954673767, 0.16720636375248432, 0.26490955147892237)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.7748104929924011, 0.024228373542428017, 0.8251253552734852, 0.03237598482519388)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/21/20 / 05/22/20,"(0.802600622177124, 0.11583160609006882, 0.9402495622634888, 0.12420349940657616)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.50375896692276, 0.1473696380853653, 0.617171298712492, 0.15565490443259478)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11640749126672745, 0.4533025026321411, 0.16714901849627495, 0.4615701986476779)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18500910699367523, 0.4532153904438019, 0.23571819067001343, 0.4616402145475149)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11647111922502518, 0.5080745816230774, 0.16721617802977562, 0.5164474369958043)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18509556353092194, 0.5081272125244141, 0.23569238930940628, 0.516327210702002)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11650468409061432, 0.5631228089332581, 0.1671888828277588, 0.5712766414508224)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18511490523815155, 0.5631260275840759, 0.23564424365758896, 0.5712525183334947)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11654646694660187, 0.6178248524665833, 0.16729724407196045, 0.6261503044515848)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.185092493891716, 0.6178405284881592, 0.23570909351110458, 0.6259681303054094)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11644022911787033, 0.6732266545295715, 0.1673082821071148, 0.681564575061202)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18503126502037048, 0.6732010245323181, 0.2357056848704815, 0.6814910070970654)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11649485677480698, 0.7279270887374878, 0.1672808714210987, 0.7365045621991158)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18509778380393982, 0.727958083152771, 0.23567629605531693, 0.7362934611737728)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11647289246320724, 0.7828072905540466, 0.16728997603058815, 0.7910565007477999)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.1850263774394989, 0.7827169895172119, 0.2357778400182724, 0.7909907959401608)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.1164921373128891, 0.8375339508056641, 0.16734670847654343, 0.8459448888897896)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.184977188706398, 0.8377500176429749, 0.2356996200978756, 0.8459151973947883)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Contract Number,302226 /,"(0.681338906288147, 0.08400766551494598, 0.7517206491902471, 0.09288740623742342)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Invoice Number,302226 /,"(0.681338906288147, 0.08400766551494598, 0.7517206491902471, 0.09288740623742342)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nina For PA,"(0.5051751732826233, 0.11629919707775116, 0.5794938933104277, 0.12436105869710445)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nicole Elie,"(0.7484853863716125, 0.24114201962947845, 0.8093976955860853, 0.24920981656759977)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Phone Number,(215) 977-1900,"(0.19633087515830994, 0.11590911448001862, 0.30781514197587967, 0.1284615881741047)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,03 1555 Hamilton St,"(0.03404155746102333, 0.05763678625226021, 0.3277765177190304, 0.12159289792180061)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,"Philadelphia, PA 19130","(0.19696684181690216, 0.10074067860841751, 0.3782997243106365, 0.1132549261674285)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,"Philadelphia, PA 19147-2740","(0.1476496309041977, 0.24256622791290283, 0.3488377779722214, 0.25371480640023947)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,US,"(0.14763513207435608, 0.2560552954673767, 0.16720636375248432, 0.26490955147892237)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Organization Name,KYW-TV,"(0.19663932919502258, 0.07059147953987122, 0.2606740966439247, 0.08029598090797663)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Organization Name,Dudley Media,"(0.14763878285884857, 0.21629133820533752, 0.24156572297215462, 0.22735108342021704)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Organization Name,CBS,"(0.3148174285888672, 0.9522614479064941, 0.33479426242411137, 0.9582878225483)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.7748104929924011, 0.024228373542428017, 0.8251253552734852, 0.03237598482519388)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/21/20 / 05/22/20,"(0.802600622177124, 0.11583160609006882, 0.9402495622634888, 0.12420349940657616)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20 05/26/20,"(0.50375896692276, 0.1473696380853653, 0.617171298712492, 0.15565490443259478)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11640749126672745, 0.4533025026321411, 0.16714901849627495, 0.4615701986476779)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18500910699367523, 0.4532153904438019, 0.23571819067001343, 0.4616402145475149)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11647111922502518, 0.5080745816230774, 0.16721617802977562, 0.5164474369958043)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18509556353092194, 0.5081272125244141, 0.23569238930940628, 0.516327210702002)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11650468409061432, 0.5631228089332581, 0.1671888828277588, 0.5712766414508224)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18511490523815155, 0.5631260275840759, 0.23564424365758896, 0.5712525183334947)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11654646694660187, 0.6178248524665833, 0.16729724407196045, 0.6261503044515848)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.185092493891716, 0.6178405284881592, 0.23570909351110458, 0.6259681303054094)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11644022911787033, 0.6732266545295715, 0.1673082821071148, 0.681564575061202)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18503126502037048, 0.6732010245323181, 0.2357056848704815, 0.6814910070970654)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11649485677480698, 0.7279270887374878, 0.1672808714210987, 0.7365045621991158)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.18509778380393982, 0.727958083152771, 0.23567629605531693, 0.7362934611737728)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.11647289246320724, 0.7828072905540466, 0.16728997603058815, 0.7910565007477999)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.1850263774394989, 0.7827169895172119, 0.2357778400182724, 0.7909907959401608)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/23/20,"(0.1164921373128891, 0.8375339508056641, 0.16734670847654343, 0.8459448888897896)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Date,05/26/20,"(0.184977188706398, 0.8377500176429749, 0.2356996200978756, 0.8459151973947883)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Contract Number,302226,"(0.681338906288147, 0.08400766551494598, 0.7244757153093815, 0.09203030820935965)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Invoice Number,302226 /,"(0.681338906288147, 0.08400766551494598, 0.7517206491902471, 0.09288740623742342)",1
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nina For PA,"(0.5051751732826233, 0.11629919707775116, 0.5794938933104277, 0.12436105869710445)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Person Name,Nicole Elie,"(0.7484853863716125, 0.24114201962947845, 0.8093976955860853, 0.24920981656759977)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Phone Number,(215) 977-1900,"(0.19633087515830994, 0.11590911448001862, 0.30781514197587967, 0.1284615881741047)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,1555 Hamilton St,"(0.19676874577999115, 0.0855996161699295, 0.3277765177190304, 0.09567307773977518)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,"Philadelphia, PA 19130","(0.19696684181690216, 0.10074067860841751, 0.3782997243106365, 0.1132549261674285)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,919 Catharine St,"(0.14701272547245026, 0.22925227880477905, 0.2624625973403454, 0.23843178153038025)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,"Philadelphia, PA 19147-2740","(0.1476496309041977, 0.24256622791290283, 0.3488377779722214, 0.25371480640023947)",2
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page1,Location,US,"(0.14763513207435608, 0.2560552954673767, 0.16720636375248432, 0.26490955147892237)",2
