id,pii_type,value,bbox,annotator
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Person Name,Tom Steyer 2020,"(0.5423159599304199, 0.0735558271408081, 0.6196254156529903, 0.0866363849490881)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Person Name,TOM STEYER,"(0.5421764850616455, 0.1715802550315857, 0.6078679338097572, 0.1821695128455758)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Person Name,Robert Martinez,"(0.5429551601409912, 0.25010690093040466, 0.6146008409559727, 0.2606685124337673)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Phone Number,(818) 655-2000,"(0.19523261487483978, 0.13035079836845398, 0.28110717236995697, 0.14662090875208378)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Phone Number,(818) 655-2000,"(0.19801075756549835, 0.14994928240776062, 0.2840219512581825, 0.16614427976310253)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,P.O. Box 33091,"(0.15194617211818695, 0.09134668856859207, 0.2408970259130001, 0.10423857159912586)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,PO Box 626,"(0.18083252012729645, 0.09135975688695908, 0.5979099571704865, 0.10406148619949818)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"Newark, NJ 07188-0091","(0.15184204280376434, 0.111049585044384, 0.29227229207754135, 0.12597512267529964)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"San Francisco, CA 94104","(0.5428049564361572, 0.11275622248649597, 0.659735519438982, 0.12484266981482506)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,650 Massachusetts Ave NW Ste 210,"(0.09695247560739517, 0.2986053228378296, 0.28962066397070885, 0.3103027045726776)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Location,"Washington, DC 20001-3796","(0.09667447954416275, 0.3161377012729645, 0.2516850233078003, 0.3308709729462862)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS-TV,"(0.15213380753993988, 0.0716104656457901, 0.20762426033616066, 0.08448486402630806)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS-TV,"(0.5425287485122681, 0.23028473556041718, 0.5863277614116669, 0.2409389279782772)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,cbsLA.com,"(0.02821354940533638, 0.15078051388263702, 0.14621154591441154, 0.1725905630737543)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,Tom Steyer 2020,"(0.5423159599304199, 0.0735558271408081, 0.6196254156529903, 0.0866363849490881)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05531802773475647, 0.4258929491043091, 0.08353075943887234, 0.43653381150215864)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.055077292025089264, 0.45933350920677185, 0.08231483958661556, 0.47000074200332165)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.055301908403635025, 0.4780605435371399, 0.08354819938540459, 0.48862129636108875)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05508242920041084, 0.5117080807685852, 0.08226285316050053, 0.5226118927821517)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05514165759086609, 0.52665114402771, 0.0822792686522007, 0.5374798718839884)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.055312663316726685, 0.5452754497528076, 0.08347555436193943, 0.5561839900910854)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05508654937148094, 0.5788647532463074, 0.08226867951452732, 0.5895905075594783)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05505923926830292, 0.5941849946975708, 0.0823321845382452, 0.6047479454427958)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05521465092897415, 0.612395167350769, 0.08347233012318611, 0.623229174874723)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.0550600066781044, 0.6463752388954163, 0.08233731240034103, 0.6570999566465616)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05528922751545906, 0.6650194525718689, 0.08352961018681526, 0.6757400538772345)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05509306490421295, 0.6983906626701355, 0.08231993392109871, 0.7091412199661136)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.0552910715341568, 0.7172188758850098, 0.08358023129403591, 0.7278704317286611)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05510638281702995, 0.7509728670120239, 0.0823148787021637, 0.7617344604805112)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.055274080485105515, 0.7693576216697693, 0.08355124108493328, 0.7800606219097972)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05509639531373978, 0.8031108379364014, 0.08231183513998985, 0.813858705572784)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05527485907077789, 0.8215727806091309, 0.08357195928692818, 0.8323439257219434)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.055061839520931244, 0.8554245233535767, 0.08229276537895203, 0.8658228544518352)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,KCBS,"(0.05523109436035156, 0.8741752505302429, 0.08358118310570717, 0.8848837772384286)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Organization Name,WideOrbit,"(0.9390068054199219, 0.9491528272628784, 0.9732194058597088, 0.9580181539058685)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,01/05/20,"(0.8303129076957703, 0.09309666603803635, 0.869499959051609, 0.10384756606072187)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.8306338787078857, 0.1325167566537857, 0.8698287308216095, 0.14300284534692764)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.8306338787078857, 0.1325167566537857, 0.8698287308216095, 0.14300284534692764)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/24/19,"(0.8311351537704468, 0.2296704649925232, 0.8700802139937878, 0.24034380726516247)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.8790342807769775, 0.2297396957874298, 0.9174412041902542, 0.24027563631534576)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.36191657185554504, 0.4438350796699524, 0.40088020265102386, 0.453613905236125)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,01/05/20,"(0.41454076766967773, 0.44326698780059814, 0.453729473054409, 0.45389199536293745)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.41494110226631165, 0.4594677686691284, 0.4539908394217491, 0.47000262048095465)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.36183470487594604, 0.495815634727478, 0.40025700256228447, 0.506434166803956)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,01/05/20,"(0.4144274890422821, 0.49584585428237915, 0.4536493942141533, 0.5066079115495086)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.41507789492607117, 0.5120711326599121, 0.4539014659821987, 0.5226194337010384)",0
e038716a-f9a1-2ab5-e72b-eb2f00f26981.pdf_page1,Date,12/30/19,"(0.4150387942790985, 0.526985228061676, 0.4538850337266922, 0.5374533850699663)",0
