id,pii_type,value,bbox,annotator
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Steve Daines,"(0.5094925165176392, 0.03156425058841705, 0.5846768543124199, 0.04051990993320942)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.5305578112602234, 0.3038746118545532, 0.5875864997506142, 0.31161485193297267)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.5305313467979431, 0.34059011936187744, 0.5877591203898191, 0.3483139188028872)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.530681848526001, 0.3771340847015381, 0.5877036917954683, 0.3847788101993501)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.5309889316558838, 0.41427597403526306, 0.58779720030725, 0.42187304561957717)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,"Holly,Horan,","(0.5097877979278564, 0.06147250533103943, 0.5756151154637337, 0.07272578496485949)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Phone Number,(202) 955-5342 fx: (202) 955-5348x,"(0.5300112366676331, 0.08975611627101898, 0.7295597419142723, 0.1013160739094019)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Location,PO BOX 206270,"(0.22311687469482422, 0.06227308511734009, 0.3123319782316685, 0.07143415603786707)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Location,"Dallas, TX 75320-6270","(0.22315722703933716, 0.07557021826505661, 0.3455751910805702, 0.08600041083991528)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Location,"ARLINGTON, VA 22201-2247","(0.05581364035606384, 0.19204074144363403, 0.27326612174510956, 0.20591685734689236)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Organization Name,Sinclair Broadcast,"(0.28358495235443115, 0.03585725277662277, 0.380874864757061, 0.04509348422288895)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Organization Name,FP1 Strategies LLC,"(0.5100009441375732, 0.04629434645175934, 0.6196482107043266, 0.05753778666257858)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Organization Name,CIA,"(0.8403163552284241, 0.07171859592199326, 0.8612270411103964, 0.0807509059086442)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Organization Name,FP1 Strategies LLC,"(0.05692568048834801, 0.15773843228816986, 0.20314778573811054, 0.17256956547498703)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Date,4/26/2020,"(0.8403859734535217, 0.05487331375479698, 0.893892839550972, 0.06416151486337185)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Date,3/30/2020,"(0.8421894907951355, 0.11881999671459198, 0.8893164545297623, 0.12714482005685568)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Date,4/26/2020,"(0.8984881043434143, 0.11885768920183182, 0.9473431035876274, 0.12719752825796604)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Date,4/28/2020 8:08:30AM,"(0.8294766545295715, 0.17125441133975983, 0.9502381421625614, 0.18050495442003012)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Contract Number,Contract,"(0.7767471075057983, 0.08589274436235428, 0.8217841871082783, 0.09421493764966726)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Invoice Number,7382690,"(0.8432639241218567, 0.03770436719059944, 0.8898617178201675, 0.046871853061020374)",0
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Steve Daines,"(0.5094925165176392, 0.03156425058841705, 0.5846768543124199, 0.04051990993320942)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,"Holly,Horan","(0.5097877979278564, 0.06147250533103943, 0.5756151154637337, 0.07272578496485949)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.5305578112602234, 0.3038746118545532, 0.5875864997506142, 0.31161485193297267)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.5305313467979431, 0.34059011936187744, 0.5877591203898191, 0.3483139188028872)",1
eabf486e-2ff6-c060-68b7-fcf5363bde66.pdf_page3,Person Name,Jimmy Fallon,"(0.530681848526001, 0.3771340847015381, 0.5877036917954683, 0.3847788101993501)",1
