id,pii_type,value,bbox,annotator
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Person Name,Nina For PA,"(0.5051722526550293, 0.11528227478265762, 0.5795176811516285, 0.12355996202677488)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Phone Number,(215) 977-1900,"(0.19627848267555237, 0.11281660944223404, 0.3077417314052582, 0.12545435037463903)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Location,1555 Hamilton St 302226,"(0.1967708170413971, 0.07731118053197861, 0.7245500348508358, 0.09264731965959072)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Location,"Philadelphia, PA 19130","(0.19679920375347137, 0.0976385846734047, 0.37824588641524315, 0.11010525282472372)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Organization Name,KYW-TV,"(0.19648467004299164, 0.06749651581048965, 0.2606888711452484, 0.07729574479162693)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Organization Name,CBS,"(0.2537233531475067, 0.5428464412689209, 0.2803221829235554, 0.5510906307026744)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Organization Name,CBS,"(0.31477656960487366, 0.9521600008010864, 0.33479343727231026, 0.9583458192646503)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Organization Name,WideOrbit,"(0.9204112887382507, 0.9792686104774475, 0.9647749029099941, 0.9853754318319261)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/26/20,"(0.7746518850326538, 0.024163169786334038, 0.8251122832298279, 0.03241433575749397)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/21/20,"(0.8022695183753967, 0.11499366909265518, 0.8529635518789291, 0.1232970729470253)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/22/20,"(0.8895809650421143, 0.11500433087348938, 0.9404041171073914, 0.12331949826329947)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/23/20,"(0.5047865509986877, 0.15407177805900574, 0.5572664402425289, 0.16240518260747194)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/26/20,"(0.5677796006202698, 0.15408240258693695, 0.6181859113276005, 0.1623623287305236)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/23/20,"(0.11632649600505829, 0.21353015303611755, 0.16721028834581375, 0.2218537600710988)",0
f21fcdd1-214c-c145-29cc-362e0b0ef1e3.pdf_page2,Date,05/26/20,"(0.18510015308856964, 0.2135678231716156, 0.23581132292747498, 0.22178196348249912)",0
