id,pii_type,value,bbox,annotator
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Person Name,TAMRON HALL,"(0.2239689975976944, 0.2568669021129608, 0.31745774671435356, 0.2650409461930394)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Person Name,TAMRON HALL,"(0.31836244463920593, 0.3202059864997864, 0.4118322543799877, 0.32846144400537014)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Person Name,TAMRON HALL,"(0.22396622598171234, 0.3418884575366974, 0.3173843175172806, 0.3503129202872515)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Person Name,TAMRON HALL,"(0.3183288872241974, 0.40537577867507935, 0.4116360694169998, 0.41373242158442736)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Person Name,TAMRON HALL,"(0.22395671904087067, 0.427063912153244, 0.31730903312563896, 0.43532849941402674)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Person Name,TAMRON HALL,"(0.3184388279914856, 0.49065378308296204, 0.4118179902434349, 0.49901948776096106)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Location,PO Box 90032,"(0.19665364921092987, 0.0844326764345169, 0.3050847016274929, 0.09450988750904799)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Location,"Prescott, AZ 86304-9032","(0.1968737095594406, 0.09971234202384949, 0.3885575979948044, 0.11144120898097754)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Organization Name,WLKY-TV,"(0.19554878771305084, 0.0690896287560463, 0.27060431241989136, 0.07919060718268156)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Organization Name,WLKY,"(0.04965965077280998, 0.08748163282871246, 0.17469416186213493, 0.11342156492173672)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Organization Name,WLKY,"(0.10990381985902786, 0.3202691972255707, 0.1472635380923748, 0.3283415148034692)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Organization Name,WLKY,"(0.1097862645983696, 0.40527018904685974, 0.1472659595310688, 0.4134463323280215)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Organization Name,WLKY,"(0.1098896935582161, 0.49066558480262756, 0.1472516544163227, 0.4987863004207611)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Organization Name,WideOrbit,"(0.918572187423706, 0.9546659588813782, 0.9632212445139885, 0.960659893695265)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/15/20,"(0.6028172969818115, 0.08634356409311295, 0.6536611951887608, 0.09454444237053394)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,02/24/20,"(0.8441399931907654, 0.08630014210939407, 0.895030714571476, 0.09449849463999271)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/09/20,"(0.9067748188972473, 0.08637794852256775, 0.9574565105140209, 0.09446922037750483)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/07/20,"(0.0674123615026474, 0.2135583609342575, 0.1182851754128933, 0.22191232163459063)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/07/20,"(0.0674123615026474, 0.2135583609342575, 0.1182851754128933, 0.22191232163459063)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/04/20,"(0.06753438711166382, 0.2569601833820343, 0.11822374165058136, 0.2650427594780922)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/04/20,"(0.06753438711166382, 0.2569601833820343, 0.11822374165058136, 0.2650427594780922)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page3,Date,03/02/20,"(0.13855628669261932, 0.2928987741470337, 0.18925944343209267, 0.3012460144236684)",0
