id,pii_type,value,bbox,annotator
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Location,PO Box 90032,"(0.19665446877479553, 0.08446240425109863, 0.3050589859485626, 0.09447378106415272)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Location,"Prescott, AZ 86304-9032","(0.19686181843280792, 0.0997423604130745, 0.3884637728333473, 0.1114176120609045)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,WLKY-TV,"(0.19570454955101013, 0.0691545382142067, 0.27033285796642303, 0.07916666939854622)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,McGrath/D/Senate,"(0.6027864813804626, 0.10137239843606949, 0.7113485857844353, 0.1097027650102973)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Organization Name,WideOrbit,"(0.9187445640563965, 0.9546241760253906, 0.9632444567978382, 0.9606212023645639)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/15/20,"(0.6028617024421692, 0.08633105456829071, 0.653682753443718, 0.09452342707663774)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,02/24/20,"(0.8446309566497803, 0.08628249168395996, 0.8953867144882679, 0.0944688692688942)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/09/20,"(0.9067387580871582, 0.08639790117740631, 0.9573812261223793, 0.09448823891580105)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/02/20,"(0.1384463608264923, 0.2341153621673584, 0.18906870111823082, 0.24236252158880234)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.21564503014087677, 0.23419815301895142, 0.2665044888854027, 0.24242919869720936)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.19004620611667633, 0.2619662880897522, 0.24073924869298935, 0.2698598140850663)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.06738930195569992, 0.2837408185005188, 0.1182151548564434, 0.29191536270081997)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/02/20,"(0.13862484693527222, 0.3286213278770447, 0.18912021443247795, 0.337154152803123)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.2156427949666977, 0.32863110303878784, 0.2663121074438095, 0.3369104890152812)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.19002898037433624, 0.35643336176872253, 0.24064681306481361, 0.36440036352723837)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/07/20,"(0.06766199320554733, 0.37831467390060425, 0.11848339065909386, 0.3865858959034085)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/02/20,"(0.13857384026050568, 0.4231852889060974, 0.18920298665761948, 0.43161603435873985)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.2157425433397293, 0.4233081042766571, 0.26657308265566826, 0.43164124619215727)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/02/20,"(0.13864299654960632, 0.5084240436553955, 0.1891758255660534, 0.5168875185772777)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.21576233208179474, 0.5083127617835999, 0.26656949892640114, 0.5169194797053933)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/02/20,"(0.1384713053703308, 0.5934659242630005, 0.18925194069743156, 0.601965144276619)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/08/20,"(0.2155764251947403, 0.5935307145118713, 0.26657745987176895, 0.6020202925428748)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/03/20,"(0.06744474172592163, 0.4724646508693695, 0.11829166859388351, 0.4806627742946148)",0
f7635eed-5555-27b6-780f-8386863b25ca.pdf_page2,Date,03/03/20,"(0.19007831811904907, 0.5361866354942322, 0.24070531874895096, 0.5440415097400546)",0
