id,pii_type,value,bbox,annotator
f/g/p/h/fgph0228_page1,Person Name,"J. Burnside, Ph.D.","(0.2735881209373474, 0.19440996646881104, 0.45390375703573227, 0.20807129610329866)",0
f/g/p/h/fgph0228_page1,Person Name,S. Ambrose,"(0.33377817273139954, 0.2159639149904251, 0.43568629771471024, 0.22837805841118097)",0
f/g/p/h/fgph0228_page1,Location,5050 Beech Place	PROJECT NO. : 3-1493(1-3) CHARGE NO. : 231493000001,"(0.10222218185663223, 0.10486465692520142, 0.8904868885874748, 0.12063897680491209)",0
f/g/p/h/fgph0228_page1,Location,"Temple Hills, Maryland 20748","(0.10188763588666916, 0.11649296432733536, 0.31672168150544167, 0.12973980512470007)",0
f/g/p/h/fgph0228_page1,Organization Name,"LABORATORIES, INC.","(0.10203072428703308, 0.06335047632455826, 0.2569143529981375, 0.07464760448783636)",0
f/g/p/h/fgph0228_page1,Organization Name,"Borriston Laboratories, Inc.","(0.10249610990285873, 0.09103227406740189, 0.2941108662635088, 0.10253635607659817)",0
f/g/p/h/fgph0228_page1,Organization Name,Charles River Breeding Laboratories,"(0.2739371657371521, 0.7912507057189941, 0.6371585130691528, 0.8063738709315658)",0
f/g/p/h/fgph0228_page1,Date,2-24-83,"(0.8000937700271606, 0.08421924710273743, 0.871064268052578, 0.09548697806894779)",0
f/g/p/h/fgph0228_page1,Date,2-24-83,"(0.7492071390151978, 0.1941322386264801, 0.8204500749707222, 0.20571758598089218)",0
f/g/p/h/fgph0228_page1,Date,3-01-83,"(0.74946528673172, 0.21579866111278534, 0.8201048672199249, 0.22739989776164293)",0
f/g/p/h/fgph0228_page1,Date,12-03-82,"(0.5682706832885742, 0.4903280436992645, 0.6556526720523834, 0.5034718830138445)",0
f/g/p/h/fgph0228_page1,Date,1-28-83,"(0.6693886518478394, 0.49019742012023926, 0.7399846836924553, 0.501843131147325)",0
f/g/p/h/fgph0228_page1,Date,1-12-83,"(0.5783922076225281, 0.5118143558502197, 0.6571976691484451, 0.5251960288733244)",0
f/g/p/h/fgph0228_page1,Date,1-28-83,"(0.6696591377258301, 0.5120134949684143, 0.7398450449109077, 0.5231699887663126)",0
f/g/p/h/fgph0228_page1,Date,1-20-83,"(0.5781362652778625, 0.5333674550056458, 0.655414029955864, 0.5466996897011995)",0
f/g/p/h/fgph0228_page1,Date,2-14-83,"(0.6684905290603638, 0.5333276987075806, 0.739999383687973, 0.5445937309414148)",0
f/g/p/h/fgph0228_page1,Contract Number,3-1493(1-3),"(0.4968322813510895, 0.10596296191215515, 0.6052412912249565, 0.12063897680491209)",0
f/g/p/h/fgph0228_page1,Contract Number,231493000001,"(0.7695585489273071, 0.10594034940004349, 0.8904868885874748, 0.11807127017527819)",0
f/g/p/h/fgph0228_page1,Person Name,"J. Burnside, Ph.D.","(0.2735881209373474, 0.19440996646881104, 0.45390375703573227, 0.20807129610329866)",1
f/g/p/h/fgph0228_page1,Person Name,S. Ambrose,"(0.33377817273139954, 0.2159639149904251, 0.43568629771471024, 0.22837805841118097)",1
f/g/p/h/fgph0228_page1,Location,5050 Beech Place,"(0.10222218185663223, 0.10486465692520142, 0.22785109654068947, 0.11545647960156202)",1
f/g/p/h/fgph0228_page1,Location,"Temple Hills, Maryland 20748","(0.10188763588666916, 0.11649296432733536, 0.31672168150544167, 0.12973980512470007)",1
f/g/p/h/fgph0228_page1,Location,"Charles River Breeding Laboratories, Wilmington, Massachusetts","(0.2739371657371521, 0.7912507057189941, 0.904334768652916, 0.806574322283268)",1
f/g/p/h/fgph0228_page1,Organization Name,"Borriston Laboratories, Inc.","(0.10249610990285873, 0.09103227406740189, 0.2941108662635088, 0.10253635607659817)",1
f/g/p/h/fgph0228_page1,Organization Name,Charles River Breeding Laboratories,"(0.2739371657371521, 0.7912507057189941, 0.6371585130691528, 0.8063738709315658)",1
f/g/p/h/fgph0228_page1,Date,2-24-83,"(0.8000937700271606, 0.08421924710273743, 0.871064268052578, 0.09548697806894779)",1
f/g/p/h/fgph0228_page1,Date,12-03-82,"(0.5682706832885742, 0.4903280436992645, 0.6556526720523834, 0.5034718830138445)",1
f/g/p/h/fgph0228_page1,Date,1-28-83,"(0.6693886518478394, 0.49019742012023926, 0.7399846836924553, 0.501843131147325)",1
f/g/p/h/fgph0228_page1,Date,1-12-83,"(0.5783922076225281, 0.5118143558502197, 0.6571976691484451, 0.5251960288733244)",1
