id,pii_type,value,bbox,annotator
f/h/x/h/fhxh0140_page1,Person Name,William H. Taft IV,"(0.14345604181289673, 0.379707396030426, 0.3530700895935297, 0.3920312076807022)",0
f/h/x/h/fhxh0140_page1,Person Name,Secretary Weinberger,"(0.43598660826683044, 0.7314638495445251, 0.6666639372706413, 0.7447763876989484)",0
f/h/x/h/fhxh0140_page1,Organization Name,U.S. ARMY,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",0
f/h/x/h/fhxh0140_page1,Organization Name,The Senate,"(0.20155124366283417, 0.21533064544200897, 0.3174518421292305, 0.22656375728547573)",0
f/h/x/h/fhxh0140_page1,Organization Name,DOD,"(0.38670220971107483, 0.23044398427009583, 0.42165181785821915, 0.24095492996275425)",0
f/h/x/h/fhxh0140_page1,Organization Name,Department of Defense,"(0.35350674390792847, 0.3336351215839386, 0.6064433678984642, 0.3478387799113989)",0
f/h/x/h/fhxh0140_page1,Organization Name,Department of Defense,"(0.3073016107082367, 0.3938264548778534, 0.5487260818481445, 0.40765335224568844)",0
f/h/x/h/fhxh0140_page1,Organization Name,DOD,"(0.14463292062282562, 0.42528587579727173, 0.17972663044929504, 0.43569802585989237)",0
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",0
f/h/x/h/fhxh0140_page1,Organization Name,Defense Department,"(0.5859826803207397, 0.5688664317131042, 0.7929728850722313, 0.5819131843745708)",0
f/h/x/h/fhxh0140_page1,Organization Name,The Army,"(0.20312485098838806, 0.6745345592498779, 0.29592128843069077, 0.687170097604394)",0
f/h/x/h/fhxh0140_page1,Organization Name,DoD,"(0.7599387168884277, 0.8498169779777527, 0.7954166159033775, 0.8604305842891335)",0
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",0
f/h/x/h/fhxh0140_page1,Date,"March 11, 1986","(0.39903199672698975, 0.37912067770957947, 0.568125419318676, 0.39118724688887596)",0
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",0
f/h/x/h/fhxh0140_page1,Contract Number,Department Directive 1010.10,"(0.14414872229099274, 0.3646162152290344, 0.47616732120513916, 0.37887301482260227)",0
f/h/x/h/fhxh0140_page1,Contract Number,Directive 1010.10,"(0.20480108261108398, 0.8058676719665527, 0.4027840867638588, 0.8177138632163405)",0
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",0
f/h/x/h/fhxh0140_page1,Person Name,William H. Taft IV,"(0.14345604181289673, 0.379707396030426, 0.3530700895935297, 0.3920312076807022)",1
f/h/x/h/fhxh0140_page1,Person Name,Secretary Weinberger,"(0.43598660826683044, 0.7314638495445251, 0.6666639372706413, 0.7447763876989484)",1
f/h/x/h/fhxh0140_page1,Organization Name,U.S. ARMY,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",1
f/h/x/h/fhxh0140_page1,Organization Name,Department of Defense,"(0.35350674390792847, 0.3336351215839386, 0.6064433678984642, 0.3478387799113989)",1
f/h/x/h/fhxh0140_page1,Organization Name,Defense Department,"(0.5859826803207397, 0.5688664317131042, 0.7929728850722313, 0.5819131843745708)",1
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",1
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",1
f/h/x/h/fhxh0140_page1,Date,"March 11, 1986","(0.39903199672698975, 0.37912067770957947, 0.568125419318676, 0.39118724688887596)",1
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",1
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",1
f/h/x/h/fhxh0140_page1,Person Name,William H. Taft IV,"(0.14345604181289673, 0.379707396030426, 0.3530700895935297, 0.3920312076807022)",2
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",2
f/h/x/h/fhxh0140_page1,Date,"March 11, 1986","(0.39903199672698975, 0.37912067770957947, 0.568125419318676, 0.39118724688887596)",2
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",2
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",2
