id,pii_type,value,bbox,annotator
f/h/y/n/fhyn0144_page1,Person Name,Mr. Robert A. Welsh,"(0.21475796401500702, 0.21063484251499176, 0.37414219602942467, 0.22040558326989412)",0
f/h/y/n/fhyn0144_page1,Person Name,Arthur c. Diesing,"(0.5788583159446716, 0.4123172163963318, 0.7298265472054482, 0.42342028487473726)",0
f/h/y/n/fhyn0144_page1,Phone Number,(502) 568-7000,"(0.5672360062599182, 0.8264473676681519, 0.631241861730814, 0.8346469006501138)",0
f/h/y/n/fhyn0144_page1,Location,10 Painters Mill Road,"(0.21627967059612274, 0.24903373420238495, 0.3900735452771187, 0.2588623631745577)",0
f/h/y/n/fhyn0144_page1,Location,"Owings Mills, MD 21117","(0.21543222665786743, 0.2609066069126129, 0.40634893253445625, 0.2732334481552243)",0
f/h/y/n/fhyn0144_page1,Location,"1500 BROWN * WILLIAMSON TOWER, PO BOX 35090. LOUISVILLE, KY 4D232. (502) 568-7000","(0.21257570385932922, 0.8262785077095032, 0.631241861730814, 0.8348493850789964)",0
f/h/y/n/fhyn0144_page1,Organization Name,BROWN & WILLLAMSON,"(0.20818942785263062, 0.08823737502098083, 0.3575221076607704, 0.0972437635064125)",0
f/h/y/n/fhyn0144_page1,Organization Name,B&W,"(0.4682255983352661, 0.09034821391105652, 0.5176177024841309, 0.10572410933673382)",0
f/h/y/n/fhyn0144_page1,Organization Name,Quest International,"(0.21470129489898682, 0.23656697571277618, 0.3732528015971184, 0.24763179291039705)",0
f/h/y/n/fhyn0144_page1,Contract Number,C7A-065-A,"(0.6716398596763611, 0.32334041595458984, 0.7562296688556671, 0.33298635110259056)",0
f/h/y/n/fhyn0144_page1,Phone Number,(502) 568-7000,"(0.5672360062599182, 0.8264473676681519, 0.631241861730814, 0.8346469006501138)",1
f/h/y/n/fhyn0144_page1,Location,MINNESOTA,"(0.31293585896492004, 0.026632696390151978, 0.421774260699749, 0.037288760766386986)",1
f/h/y/n/fhyn0144_page1,Location,10 Painters Mill Road,"(0.21627967059612274, 0.24903373420238495, 0.3900735452771187, 0.2588623631745577)",1
f/h/y/n/fhyn0144_page1,Location,"Owings Mills, MD 21117","(0.21543222665786743, 0.2609066069126129, 0.40634893253445625, 0.2732334481552243)",1
f/h/y/n/fhyn0144_page1,Location,"LOUISVILLE, KY","(0.45947176218032837, 0.8262785077095032, 0.5345634324476123, 0.8333159005269408)",1
f/h/y/n/fhyn0144_page1,Organization Name,BROWN & WILLIAMSON,"(0.20818942785263062, 0.08823737502098083, 0.3575221076607704, 0.0972437635064125)",1
f/h/y/n/fhyn0144_page1,Organization Name,B&W,"(0.4682255983352661, 0.09034821391105652, 0.5176177024841309, 0.10572410933673382)",1
f/h/y/n/fhyn0144_page1,Organization Name,Quest International,"(0.21470129489898682, 0.23656697571277618, 0.3732528015971184, 0.24763179291039705)",1
f/h/y/n/fhyn0144_page1,Date,"July 7, 1988","(0.5784465074539185, 0.15746334195137024, 0.6799817234277725, 0.1694021439179778)",1
f/h/y/n/fhyn0144_page1,Contract Number,C7A-065-A,"(0.6716398596763611, 0.32334041595458984, 0.7562296688556671, 0.33298635110259056)",1
f/h/y/n/fhyn0144_page1,Person Name,Mr. Robert A. Welsh,"(0.21475796401500702, 0.21063484251499176, 0.37414219602942467, 0.22040558326989412)",2
f/h/y/n/fhyn0144_page1,Person Name,Arthur c. Diesing,"(0.5788583159446716, 0.4123172163963318, 0.7298265472054482, 0.42342028487473726)",2
f/h/y/n/fhyn0144_page1,Phone Number,(502) 568-7000,"(0.5672360062599182, 0.8264473676681519, 0.631241861730814, 0.8346469006501138)",2
f/h/y/n/fhyn0144_page1,Location,10 Painters Mill Road,"(0.21627967059612274, 0.24903373420238495, 0.3900735452771187, 0.2588623631745577)",2
f/h/y/n/fhyn0144_page1,Location,"Owings Mills, MD 21117","(0.21543222665786743, 0.2609066069126129, 0.40634893253445625, 0.2732334481552243)",2
f/h/y/n/fhyn0144_page1,Location,"1500 BROWN * WILLIAMSON TOWER, PO BOX 35090. LOUISVILLE, KY 4D232. (502) 568-7000","(0.21257570385932922, 0.8262785077095032, 0.631241861730814, 0.8348493850789964)",2
f/h/y/n/fhyn0144_page1,Organization Name,BROWN & WILLIAMSON,"(0.20818942785263062, 0.08823737502098083, 0.3575221076607704, 0.0972437635064125)",2
f/h/y/n/fhyn0144_page1,Organization Name,B&W,"(0.4682255983352661, 0.09034821391105652, 0.5176177024841309, 0.10572410933673382)",2
f/h/y/n/fhyn0144_page1,Organization Name,Quest International,"(0.21470129489898682, 0.23656697571277618, 0.3732528015971184, 0.24763179291039705)",2
f/h/y/n/fhyn0144_page1,Organization Name,B&W Additives Advisory Committee,"(0.579787015914917, 0.4247174859046936, 0.8506418913602829, 0.4352978002279997)",2
f/h/y/n/fhyn0144_page1,Date,"July 7, 1988","(0.5784465074539185, 0.15746334195137024, 0.6799817234277725, 0.1694021439179778)",2
f/h/y/n/fhyn0144_page1,Contract Number,C7A-065-A,"(0.6716398596763611, 0.32334041595458984, 0.7562296688556671, 0.33298635110259056)",2
