id,pii_type,value,bbox,annotator
f/j/g/h/fjgh0000_page1,Person Name,"Mr. II. E. Wright, Jr.","(0.13882866501808167, 0.13805381953716278, 0.31662807799875736, 0.15034053940325975)",0
f/j/g/h/fjgh0000_page1,Person Name,"R. S. Sprinkle, III","(0.13880889117717743, 0.17632634937763214, 0.30121668241918087, 0.18887233640998602)",0
f/j/g/h/fjgh0000_page1,Person Name,Mr. J. T. Ashworth,"(0.1811075359582901, 0.6408827304840088, 0.3351491838693619, 0.651172511279583)",0
f/j/g/h/fjgh0000_page1,Person Name,Mr. John G. Brooks,"(0.18096591532230377, 0.654369592666626, 0.33433303609490395, 0.6648133061826229)",0
f/j/g/h/fjgh0000_page1,Person Name,"Dr. R. M. Irby, Jr.","(0.18125954270362854, 0.6674055457115173, 0.34170228987932205, 0.6789533840492368)",0
f/j/g/h/fjgh0000_page1,Person Name,Dr. E. c. Cogbill,"(0.18100206553936005, 0.6804929375648499, 0.3251844272017479, 0.6916778329759836)",0
f/j/g/h/fjgh0000_page1,Person Name,Mr. B. F. Price,"(0.18028418719768524, 0.6929962635040283, 0.30911751091480255, 0.7025464875623584)",0
f/j/g/h/fjgh0000_page1,Person Name,"Mr. R. s. Sprinkle, III","(0.1810246706008911, 0.7057709693908691, 0.3770815394818783, 0.7176761897280812)",0
f/j/g/h/fjgh0000_page1,Organization Name,New York,"(0.37508416175842285, 0.499735027551651, 0.4447609446942806, 0.5091597232967615)",0
f/j/g/h/fjgh0000_page1,Date,"December 6, 1972","(0.1381305456161499, 0.09941446781158447, 0.27566470950841904, 0.11150114703923464)",0
f/j/g/h/fjgh0000_page1,Contract Number,ATX02 0182293,"(0.6329265832901001, 0.8816307187080383, 0.7768905758857727, 0.8944404488429427)",0
f/j/g/h/fjgh0000_page1,Person Name,"Mr. II. E. Wright, Jr.","(0.13882866501808167, 0.13805381953716278, 0.31662807799875736, 0.15034053940325975)",1
f/j/g/h/fjgh0000_page1,Person Name,"R. S. Sprinkle, III","(0.13880889117717743, 0.17632634937763214, 0.30121668241918087, 0.18887233640998602)",1
f/j/g/h/fjgh0000_page1,Person Name,Mr. J. T. Ashworth,"(0.1811075359582901, 0.6408827304840088, 0.3351491838693619, 0.651172511279583)",1
f/j/g/h/fjgh0000_page1,Person Name,Mr. John G. Brooks,"(0.18096591532230377, 0.654369592666626, 0.33433303609490395, 0.6648133061826229)",1
f/j/g/h/fjgh0000_page1,Person Name,"Dr. R. M. Irby, Jr.","(0.18125954270362854, 0.6674055457115173, 0.34170228987932205, 0.6789533840492368)",1
f/j/g/h/fjgh0000_page1,Person Name,Dr. E. c. Cogbill,"(0.18100206553936005, 0.6804929375648499, 0.3251844272017479, 0.6916778329759836)",1
f/j/g/h/fjgh0000_page1,Person Name,Mr. B. F. Price,"(0.18028418719768524, 0.6929962635040283, 0.30911751091480255, 0.7025464875623584)",1
f/j/g/h/fjgh0000_page1,Person Name,"Mr. R. s. Sprinkle, III","(0.1810246706008911, 0.7057709693908691, 0.3770815394818783, 0.7176761897280812)",1
f/j/g/h/fjgh0000_page1,Organization Name,"R. S. Sprinkle, III","(0.13880889117717743, 0.17632634937763214, 0.30121668241918087, 0.18887233640998602)",1
