id,pii_type,value,bbox,annotator
f/g/l/w/fglw0150_page1,Person Name,"Gaworski, Charles L.","(0.2728520929813385, 0.1301683634519577, 0.40758126601576805, 0.14113960601389408)",0
f/g/l/w/fglw0150_page1,Person Name,Chuck,"(0.09031035006046295, 0.4594610333442688, 0.13235284388065338, 0.4683830300346017)",0
f/g/l/w/fglw0150_page1,Phone Number,PM3009480642,"(0.8123062252998352, 0.9294990301132202, 0.9319190159440041, 0.9400603091344237)",0
f/g/l/w/fglw0150_page1,Date,"Thursday, May 20, 2004 2:16 PM","(0.2722792327404022, 0.14296261966228485, 0.4889303110539913, 0.1541628148406744)",0
f/g/l/w/fglw0150_page1,Date,"Friday, June 08, 2001 9:24 AM","(0.14288291335105896, 0.3201729953289032, 0.34384798631072044, 0.3318778546527028)",0
f/g/l/w/fglw0150_page1,Contract Number,PM3009480642,"(0.8123062252998352, 0.9294990301132202, 0.9319190159440041, 0.9400603091344237)",0
f/g/l/w/fglw0150_page1,Person Name,"Gaworski, Charles L.","(0.2728520929813385, 0.1301683634519577, 0.40758126601576805, 0.14113960601389408)",1
f/g/l/w/fglw0150_page1,Person Name,"Gaworski, Charles L.","(0.14348885416984558, 0.3080873191356659, 0.2777426205575466, 0.31866172328591347)",1
f/g/l/w/fglw0150_page1,Phone Number,PM3009480642,"(0.8123062252998352, 0.9294990301132202, 0.9319190159440041, 0.9400603091344237)",1
f/g/l/w/fglw0150_page1,Organization Name,DSS,"(0.09041909128427505, 0.18147194385528564, 0.12469860538840294, 0.19067411217838526)",1
f/g/l/w/fglw0150_page1,Organization Name,https://www.industrydocuments.ucsf.edu,"(0.22277647256851196, 0.9809490442276001, 0.7767217755317688, 0.9977084845304489)",1
f/g/l/w/fglw0150_page1,Date,"Thursday, May 20, 2004 2:16 PM","(0.2722792327404022, 0.14296261966228485, 0.4889303110539913, 0.1541628148406744)",1
f/g/l/w/fglw0150_page1,Date,"Friday, June 08, 2001 9:24 AM","(0.14288291335105896, 0.3201729953289032, 0.34384798631072044, 0.3318778546527028)",1
f/g/l/w/fglw0150_page1,Contract Number,PM3009480642,"(0.8123062252998352, 0.9294990301132202, 0.9319190159440041, 0.9400603091344237)",1
f/g/l/w/fglw0150_page1,Person Name,"Gaworski, Charles L.","(0.2728520929813385, 0.1301683634519577, 0.40758126601576805, 0.14113960601389408)",2
f/g/l/w/fglw0150_page1,Person Name,Chuck,"(0.09031035006046295, 0.4594610333442688, 0.13235284388065338, 0.4683830300346017)",2
f/g/l/w/fglw0150_page1,Phone Number,PM3009480642,"(0.8123062252998352, 0.9294990301132202, 0.9319190159440041, 0.9400603091344237)",2
f/g/l/w/fglw0150_page1,Date,"Thursday, May 20, 2004 2:16 PM","(0.2722792327404022, 0.14296261966228485, 0.4889303110539913, 0.1541628148406744)",2
f/g/l/w/fglw0150_page1,Date,"Friday, June 08, 2001 9:24 AM","(0.14288291335105896, 0.3201729953289032, 0.34384798631072044, 0.3318778546527028)",2
f/g/l/w/fglw0150_page1,Contract Number,PM3009480642,"(0.8123062252998352, 0.9294990301132202, 0.9319190159440041, 0.9400603091344237)",2
