id,pii_type,value,bbox,annotator
f/h/b/h/fhbh0177_page1,Person Name,"Mr. V. B. Lougee, III, President and Chief Operating Officer","(0.10747325420379639, 0.11861411482095718, 0.8197464868426323, 0.13370684161782265)",0
f/h/b/h/fhbh0177_page1,Person Name,"R. S. Sprinkle, III, Research and Development Director","(0.10795144736766815, 0.16511787474155426, 0.7497172504663467, 0.18016938865184784)",0
f/h/b/h/fhbh0177_page1,Person Name,Mr. William J. Moore,"(0.17076291143894196, 0.7416045665740967, 0.40893595293164253, 0.7538100657984614)",0
f/h/b/h/fhbh0177_page1,Person Name,Mr. Arnold Henson,"(0.17030639946460724, 0.7891674637794495, 0.37369050085544586, 0.8007996957749128)",0
f/h/b/h/fhbh0177_page1,Organization Name,The American Tobacco Company,"(0.46193960309028625, 0.033836472779512405, 0.8731309175491333, 0.07543333247303963)",0
f/h/b/h/fhbh0177_page1,Organization Name,"AMERICAN BRANDS, INC.","(0.6403047442436218, 0.07162783294916153, 0.7877798695117235, 0.07848142087459564)",0
f/h/b/h/fhbh0177_page1,Date,"July 10, 1978","(0.10776343941688538, 0.07306939363479614, 0.26220835000276566, 0.0870456425473094)",0
f/h/b/h/fhbh0177_page1,Contract Number,NYO 627 (8-68),"(0.03636625409126282, 0.011283977888524532, 0.126097172498703, 0.019268961623311043)",0
f/h/b/h/fhbh0177_page1,Person Name,"Mr. V. B. Lougee, III, President and Chief Operating Officer","(0.10747325420379639, 0.11861411482095718, 0.8197464868426323, 0.13370684161782265)",1
f/h/b/h/fhbh0177_page1,Person Name,"R. S. Sprinkle, III, Research and Development Director","(0.10795144736766815, 0.16511787474155426, 0.7497172504663467, 0.18016938865184784)",1
f/h/b/h/fhbh0177_page1,Person Name,Mr. William J. Moore,"(0.17076291143894196, 0.7416045665740967, 0.40893595293164253, 0.7538100657984614)",1
f/h/b/h/fhbh0177_page1,Person Name,Mr. Arnold Henson,"(0.17030639946460724, 0.7891674637794495, 0.37369050085544586, 0.8007996957749128)",1
f/h/b/h/fhbh0177_page1,Organization Name,The American Tobacco Company,"(0.46193960309028625, 0.033836472779512405, 0.8731309175491333, 0.07543333247303963)",1
f/h/b/h/fhbh0177_page1,Organization Name,"AMERICAN BRANDS, INC.","(0.6403047442436218, 0.07162783294916153, 0.7877798695117235, 0.07848142087459564)",1
f/h/b/h/fhbh0177_page1,Date,"July 10, 1978","(0.10776343941688538, 0.07306939363479614, 0.26220835000276566, 0.0870456425473094)",1
f/h/b/h/fhbh0177_page1,Contract Number,NYO 627 (8-68),"(0.03636625409126282, 0.011283977888524532, 0.126097172498703, 0.019268961623311043)",1
f/h/b/h/fhbh0177_page1,Person Name,"Mr. V. B. Lougee, III, President and Chief Operating Officer","(0.10747325420379639, 0.11861411482095718, 0.8197464868426323, 0.13370684161782265)",2
f/h/b/h/fhbh0177_page1,Person Name,"R. S. Sprinkle, III, Research and Development Director","(0.10795144736766815, 0.16511787474155426, 0.7497172504663467, 0.18016938865184784)",2
f/h/b/h/fhbh0177_page1,Person Name,Mr. William J. Moore,"(0.17076291143894196, 0.7416045665740967, 0.40893595293164253, 0.7538100657984614)",2
f/h/b/h/fhbh0177_page1,Person Name,Mr. Arnold Henson,"(0.17030639946460724, 0.7891674637794495, 0.37369050085544586, 0.8007996957749128)",2
f/h/b/h/fhbh0177_page1,Organization Name,The American Tobacco Company,"(0.46193960309028625, 0.033836472779512405, 0.8731309175491333, 0.07543333247303963)",2
f/h/b/h/fhbh0177_page1,Organization Name,"AMERICAN BRANDS, INC.","(0.6403047442436218, 0.07162783294916153, 0.7877798695117235, 0.07848142087459564)",2
f/h/b/h/fhbh0177_page1,Date,"July 10, 1978","(0.10776343941688538, 0.07306939363479614, 0.26220835000276566, 0.0870456425473094)",2
f/h/b/h/fhbh0177_page1,Contract Number,NYO 627 (8-68),"(0.03636625409126282, 0.011283977888524532, 0.126097172498703, 0.019268961623311043)",2
