id,pii_type,value,bbox,annotator
f/h/c/w/fhcw0027_page3,Person Name,Mr. Jones,"(0.33212459087371826, 0.3584320545196533, 0.4310106635093689, 0.36860985308885574)",0
f/h/c/w/fhcw0027_page3,Person Name,(Miss Edwards),"(0.5447695255279541, 0.42477861046791077, 0.6984508112072945, 0.43636674527078867)",0
f/h/c/w/fhcw0027_page3,Organization Name,BATCo,"(0.022928932681679726, 0.9514064788818359, 0.10168165899813175, 0.9643920743837953)",0
f/h/c/w/fhcw0027_page3,Organization Name,Mayo Clinic,"(0.26646196842193604, 0.9518883228302002, 0.39882753044366837, 0.9689765386283398)",0
f/h/c/w/fhcw0027_page3,Date,28 March 2002,"(0.40483152866363525, 0.952157199382782, 0.569887176156044, 0.9661694066599011)",0
f/h/c/w/fhcw0027_page3,Organization Name,BATCo,"(0.43336495757102966, 0.240218847990036, 0.4977888762950897, 0.24971962068229914)",1
f/h/c/w/fhcw0027_page3,Organization Name,Mayo Clinic,"(0.26646196842193604, 0.9518883228302002, 0.39882753044366837, 0.9689765386283398)",1
f/h/c/w/fhcw0027_page3,Date,28 March 2002,"(0.40483152866363525, 0.952157199382782, 0.569887176156044, 0.9661694066599011)",1
f/h/c/w/fhcw0027_page3,Person Name,BATCo/Machado,"(0.34788456559181213, 0.10541269928216934, 0.4897110015153885, 0.11589621007442474)",2
f/h/c/w/fhcw0027_page3,Person Name,Mr. Jones,"(0.33212459087371826, 0.3584320545196533, 0.4310106635093689, 0.36860985308885574)",2
f/h/c/w/fhcw0027_page3,Organization Name,BATCo,"(0.43336495757102966, 0.240218847990036, 0.4977888762950897, 0.24971962068229914)",2
f/h/c/w/fhcw0027_page3,Organization Name,Mayo Clinic,"(0.26646196842193604, 0.9518883228302002, 0.39882753044366837, 0.9689765386283398)",2
f/h/c/w/fhcw0027_page3,Date,28 March 2002,"(0.40483152866363525, 0.952157199382782, 0.569887176156044, 0.9661694066599011)",2
f/h/c/w/fhcw0027_page3,Contract Number,BATCo/Machado,"(0.34788456559181213, 0.10541269928216934, 0.4897110015153885, 0.11589621007442474)",2
f/h/c/w/fhcw0027_page3,Contract Number,BATCo document for Mayo Clinic,"(0.022928932681679726, 0.9514064788818359, 0.39882753044366837, 0.9689765386283398)",2
