id,pii_type,value,bbox,annotator
f/h/f/g/fhfg0219_page2,Person Name,"Dr. A. W. Spears, et al","(0.1223878413438797, 0.07981091737747192, 0.28434796910732985, 0.09373261500149965)",0
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.43224620819091797, 0.22274217009544373, 0.5249326378107071, 0.2338015530258417)",0
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.4320065677165985, 0.23853345215320587, 0.5117685291916132, 0.2519693449139595)",0
f/h/f/g/fhfg0219_page2,Person Name,Michael Shannon,"(0.4341317415237427, 0.3017977178096771, 0.5581401363015175, 0.3132527321577072)",0
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4309728145599365, 0.36572590470314026, 0.523240651935339, 0.376981845125556)",0
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.4307941198348999, 0.38139307498931885, 0.5103312134742737, 0.3949865810573101)",0
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.42972615361213684, 0.4604792892932892, 0.5094531457871199, 0.47399882040917873)",0
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4288821518421173, 0.5395430326461792, 0.5217281058430672, 0.5510406726971269)",0
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.42817437648773193, 0.6510101556777954, 0.5077319014817476, 0.664315982721746)",0
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4279162883758545, 0.7139524817466736, 0.519891869276762, 0.7252353513613343)",0
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell*,"(0.42688435316085815, 0.7772117257118225, 0.514792550355196, 0.7907643783837557)",0
f/h/f/g/fhfg0219_page2,Organization Name,SEC and NYSE Reporting Matters:,"(0.11846715956926346, 0.5076777935028076, 0.3703371360898018, 0.5207853419706225)",0
f/h/f/g/fhfg0219_page2,Date,"August 9, 1999","(0.12216127663850784, 0.11149490624666214, 0.23281563073396683, 0.12515616975724697)",0
f/h/f/g/fhfg0219_page2,Person Name,Dr. A. W. Spears,"(0.1223878413438797, 0.07981091737747192, 0.2505553476512432, 0.09373261500149965)",1
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.43224620819091797, 0.22274217009544373, 0.5249326378107071, 0.2338015530258417)",1
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.4320065677165985, 0.23853345215320587, 0.5117685291916132, 0.2519693449139595)",1
f/h/f/g/fhfg0219_page2,Person Name,Michael Shannon,"(0.4341317415237427, 0.3017977178096771, 0.5581401363015175, 0.3132527321577072)",1
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4309728145599365, 0.36572590470314026, 0.523240651935339, 0.376981845125556)",1
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.4307941198348999, 0.38139307498931885, 0.5103312134742737, 0.3949865810573101)",1
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.42972615361213684, 0.4604792892932892, 0.5094531457871199, 0.47399882040917873)",1
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4288821518421173, 0.5395430326461792, 0.5217281058430672, 0.5510406726971269)",1
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.42817437648773193, 0.6510101556777954, 0.5077319014817476, 0.664315982721746)",1
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4279162883758545, 0.7139524817466736, 0.519891869276762, 0.7252353513613343)",1
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell*,"(0.42688435316085815, 0.7772117257118225, 0.514792550355196, 0.7907643783837557)",1
f/h/f/g/fhfg0219_page2,Organization Name,SEC and NYSE Reporting Matters:,"(0.11846715956926346, 0.5076777935028076, 0.3703371360898018, 0.5207853419706225)",1
f/h/f/g/fhfg0219_page2,Date,"August 9, 1999","(0.12216127663850784, 0.11149490624666214, 0.23281563073396683, 0.12515616975724697)",1
f/h/f/g/fhfg0219_page2,Person Name,"Dr. A. W. Spears, et al","(0.1223878413438797, 0.07981091737747192, 0.28434796910732985, 0.09373261500149965)",2
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.43224620819091797, 0.22274217009544373, 0.5249326378107071, 0.2338015530258417)",2
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.4320065677165985, 0.23853345215320587, 0.5117685291916132, 0.2519693449139595)",2
f/h/f/g/fhfg0219_page2,Person Name,Michael Shannon,"(0.4341317415237427, 0.3017977178096771, 0.5581401363015175, 0.3132527321577072)",2
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4309728145599365, 0.36572590470314026, 0.523240651935339, 0.376981845125556)",2
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.4307941198348999, 0.38139307498931885, 0.5103312134742737, 0.3949865810573101)",2
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.42972615361213684, 0.4604792892932892, 0.5094531457871199, 0.47399882040917873)",2
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4288821518421173, 0.5395430326461792, 0.5217281058430672, 0.5510406726971269)",2
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell,"(0.42817437648773193, 0.6510101556777954, 0.5077319014817476, 0.664315982721746)",2
f/h/f/g/fhfg0219_page2,Person Name,Ron Milstein,"(0.4279162883758545, 0.7139524817466736, 0.519891869276762, 0.7252353513613343)",2
f/h/f/g/fhfg0219_page2,Person Name,Haney Bell*,"(0.42688435316085815, 0.7772117257118225, 0.514792550355196, 0.7907643783837557)",2
f/h/f/g/fhfg0219_page2,Date,"August 9, 1999","(0.12216127663850784, 0.11149490624666214, 0.23281563073396683, 0.12515616975724697)",2
f/h/f/g/fhfg0219_page2,Contract Number,"Dr. A. W. Spears, et al","(0.1223878413438797, 0.07981091737747192, 0.28434796910732985, 0.09373261500149965)",2
f/h/f/g/fhfg0219_page2,Contract Number,Page Two,"(0.12164169549942017, 0.09561225026845932, 0.19516989961266518, 0.10949201136827469)",2
f/h/f/g/fhfg0219_page2,Contract Number,"August 9, 1999","(0.12216127663850784, 0.11149490624666214, 0.23281563073396683, 0.12515616975724697)",2
f/h/f/g/fhfg0219_page2,Contract Number,Anti-trust:,"(0.12175683677196503, 0.1594388484954834, 0.19627147912979126, 0.17037235107272863)",2
f/h/f/g/fhfg0219_page2,Contract Number,"- General Matters (Anti-trust compliance programs, general counseling, leaf matters)","(0.17981836199760437, 0.19097848236560822, 0.7782613821327686, 0.20522930473089218)",2
f/h/f/g/fhfg0219_page2,Contract Number,Ron Milstein,"(0.43224620819091797, 0.22274217009544373, 0.5249326378107071, 0.2338015530258417)",2
f/h/f/g/fhfg0219_page2,Contract Number,Haney Bell,"(0.4320065677165985, 0.23853345215320587, 0.5117685291916132, 0.2519693449139595)",2
f/h/f/g/fhfg0219_page2,Contract Number,- Field Sales,"(0.17952139675617218, 0.2697996497154236, 0.26787954568862915, 0.2813584879040718)",2
f/h/f/g/fhfg0219_page2,Contract Number,Michael Shannon,"(0.4341317415237427, 0.3017977178096771, 0.5581401363015175, 0.3132527321577072)",2
