id,pii_type,value,bbox,annotator
f/h/m/n/fhmn0095_page1,Person Name,Dr. J. N. Lester,"(0.11091094464063644, 0.2860821783542633, 0.24397984147071838, 0.29899175092577934)",0
f/h/m/n/fhmn0095_page1,Location,"Winston-Salem, N.C., U.S.A.","(0.5190747976303101, 0.21457895636558533, 0.7602872923016548, 0.2304606270045042)",0
f/h/m/n/fhmn0095_page1,Location,"London, SW7 2BU, England","(0.11090413480997086, 0.3744155168533325, 0.3525185361504555, 0.3907392881810665)",0
f/h/m/n/fhmn0095_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.5189188122749329, 0.1788637340068817, 0.8056092709302902, 0.196072144433856)",0
f/h/m/n/fhmn0095_page1,Organization Name,"Imperial College of Science, Technology and Medicine","(0.11099641025066376, 0.3393513560295105, 0.5695662423968315, 0.3557593300938606)",0
f/h/m/n/fhmn0095_page1,Date,"October 2, 1991","(0.5194457173347473, 0.10894385725259781, 0.6528965756297112, 0.12434330582618713)",0
f/h/m/n/fhmn0095_page1,Person Name,Dr. J. N. Lester,"(0.11091094464063644, 0.2860821783542633, 0.24397984147071838, 0.29899175092577934)",1
f/h/m/n/fhmn0095_page1,Location,"Winston-Salem, N.C., U.S.A.","(0.5190747976303101, 0.21457895636558533, 0.7602872923016548, 0.2304606270045042)",1
f/h/m/n/fhmn0095_page1,Location,"London, SW7 2BU, England","(0.11090413480997086, 0.3744155168533325, 0.3525185361504555, 0.3907392881810665)",1
f/h/m/n/fhmn0095_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.5189188122749329, 0.1788637340068817, 0.8056092709302902, 0.196072144433856)",1
f/h/m/n/fhmn0095_page1,Organization Name,"Imperial College of Science, Technology and Medicine","(0.11099641025066376, 0.3393513560295105, 0.5695662423968315, 0.3557593300938606)",1
f/h/m/n/fhmn0095_page1,Date,"October 2, 1991","(0.5194457173347473, 0.10894385725259781, 0.6528965756297112, 0.12434330582618713)",1
f/h/m/n/fhmn0095_page1,Person Name,Dr. J. N. Lester,"(0.11091094464063644, 0.2860821783542633, 0.24397984147071838, 0.29899175092577934)",2
f/h/m/n/fhmn0095_page1,Location,"Winston-Salem, N.C., U.S.A.","(0.5190747976303101, 0.21457895636558533, 0.7602872923016548, 0.2304606270045042)",2
f/h/m/n/fhmn0095_page1,Location,"London, SW7 2BU, England","(0.11090413480997086, 0.3744155168533325, 0.3525185361504555, 0.3907392881810665)",2
f/h/m/n/fhmn0095_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.5189188122749329, 0.1788637340068817, 0.8056092709302902, 0.196072144433856)",2
f/h/m/n/fhmn0095_page1,Organization Name,"Imperial College of Science, Technology and Medicine","(0.11099641025066376, 0.3393513560295105, 0.5695662423968315, 0.3557593300938606)",2
f/h/m/n/fhmn0095_page1,Organization Name,Brigham Young University,"(0.5205861330032349, 0.6764590740203857, 0.7457288727164268, 0.6931045148521662)",2
f/h/m/n/fhmn0095_page1,Organization Name,Harvard University,"(0.6604523658752441, 0.6768862009048462, 0.8574345856904984, 0.6931045148521662)",2
f/h/m/n/fhmn0095_page1,Date,"October 2, 1991","(0.5194457173347473, 0.10894385725259781, 0.6528965756297112, 0.12434330582618713)",2
f/h/m/n/fhmn0095_page1,Contract Number,(1),"(0.8382437229156494, 0.8893851637840271, 0.8624851275235415, 0.9062730222940445)",2
