id,pii_type,value,bbox,annotator
f/j/b/v/fjbv0033_page1,Person Name,Mr. Kloepfer,"(0.21601161360740662, 0.10242144763469696, 0.35429469496011734, 0.11612132750451565)",0
f/j/b/v/fjbv0033_page1,Person Name,Paul Knopick,"(0.2169688642024994, 0.13059508800506592, 0.35546326637268066, 0.14535477198660374)",0
f/j/b/v/fjbv0033_page1,Person Name,Tom Humber,"(0.16654814779758453, 0.7400617003440857, 0.2775682061910629, 0.7521913293749094)",0
f/j/b/v/fjbv0033_page1,Organization Name,UPI,"(0.4324313700199127, 0.233545184135437, 0.46764589473605156, 0.24488732684403658)",0
f/j/b/v/fjbv0033_page1,Organization Name,National Cancer Institute,"(0.2715195119380951, 0.3063755929470062, 0.5682461857795715, 0.3176297638565302)",0
f/j/b/v/fjbv0033_page1,Organization Name,FTC,"(0.593113124370575, 0.4945957362651825, 0.6283510886132717, 0.5060882903635502)",0
f/j/b/v/fjbv0033_page1,Date,"August 4, 1981","(0.2157881259918213, 0.16071009635925293, 0.37598399072885513, 0.17523230146616697)",0
f/j/b/v/fjbv0033_page1,Date,2/19/81,"(0.7652271389961243, 0.4646029770374298, 0.854008249938488, 0.47824909538030624)",0
f/j/b/v/fjbv0033_page1,Contract Number,T109721082,"(0.8591705560684204, 0.9685049653053284, 0.971289798617363, 0.9823290212079883)",0
f/j/b/v/fjbv0033_page1,Person Name,Mr. Kloepfer,"(0.21601161360740662, 0.10242144763469696, 0.35429469496011734, 0.11612132750451565)",1
f/j/b/v/fjbv0033_page1,Person Name,Paul Knopick,"(0.2169688642024994, 0.13059508800506592, 0.35546326637268066, 0.14535477198660374)",1
f/j/b/v/fjbv0033_page1,Person Name,Tom Humber,"(0.16654814779758453, 0.7400617003440857, 0.2775682061910629, 0.7521913293749094)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.6731666922569275, 0.23394639790058136, 0.784903310239315, 0.24770640768110752)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2149208039045334, 0.2916172742843628, 0.317220538854599, 0.3054663185030222)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.7202063202857971, 0.5086270570755005, 0.8220424503087997, 0.5228469874709845)",1
f/j/b/v/fjbv0033_page1,Date,"August 4, 1981","(0.2157881259918213, 0.16071009635925293, 0.37598399072885513, 0.17523230146616697)",1
f/j/b/v/fjbv0033_page1,Date,2/19/81,"(0.7652271389961243, 0.4646029770374298, 0.854008249938488, 0.47824909538030624)",1
f/j/b/v/fjbv0033_page1,Contract Number,T109721082,"(0.8591705560684204, 0.9685049653053284, 0.971289798617363, 0.9823290212079883)",1
f/j/b/v/fjbv0033_page1,Person Name,Mr. Kloepfer,"(0.21601161360740662, 0.10242144763469696, 0.35429469496011734, 0.11612132750451565)",2
f/j/b/v/fjbv0033_page1,Person Name,Paul Knopick,"(0.2169688642024994, 0.13059508800506592, 0.35546326637268066, 0.14535477198660374)",2
f/j/b/v/fjbv0033_page1,Person Name,PK,"(0.2557374835014343, 0.11921750754117966, 0.2939217910170555, 0.13258259929716587)",2
f/j/b/v/fjbv0033_page1,Person Name,Tom Humber,"(0.16654814779758453, 0.7400617003440857, 0.2775682061910629, 0.7521913293749094)",2
f/j/b/v/fjbv0033_page1,Person Name,PK/gd,"(0.11098702251911163, 0.6956591010093689, 0.16663002595305443, 0.7102544782683253)",2
f/j/b/v/fjbv0033_page1,Organization Name,UPI,"(0.4324313700199127, 0.233545184135437, 0.46764589473605156, 0.24488732684403658)",2
f/j/b/v/fjbv0033_page1,Organization Name,National Cancer Institute,"(0.2715195119380951, 0.3063755929470062, 0.5682461857795715, 0.3176297638565302)",2
f/j/b/v/fjbv0033_page1,Organization Name,FTC,"(0.593113124370575, 0.4945957362651825, 0.6283510886132717, 0.5060882903635502)",2
f/j/b/v/fjbv0033_page1,Date,"August 4, 1981","(0.2157881259918213, 0.16071009635925293, 0.37598399072885513, 0.17523230146616697)",2
f/j/b/v/fjbv0033_page1,Date,2/19/81,"(0.7652271389961243, 0.4646029770374298, 0.854008249938488, 0.47824909538030624)",2
