id,pii_type,value,bbox,annotator
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19861839711666107, 0.35605114698410034, 0.2762040048837662, 0.3653601426631212)",0
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19894202053546906, 0.38390615582466125, 0.27674350142478943, 0.39360769372433424)",0
f/j/c/c/fjcc0074_page4,Location,Kansas City,"(0.19847530126571655, 0.4402496814727783, 0.27347715198993683, 0.45160299353301525)",0
f/j/c/c/fjcc0074_page4,Location,"Kansas City, KS","(0.15931251645088196, 0.4817972481250763, 0.26105317287147045, 0.4934454411268234)",0
f/j/c/c/fjcc0074_page4,Location,Wichita,"(0.15989720821380615, 0.5231995582580566, 0.20936890318989754, 0.5330318743363023)",0
f/j/c/c/fjcc0074_page4,Location,"Kansas City, MO","(0.1598861664533615, 0.56509929895401, 0.2672347482293844, 0.5770005360245705)",0
f/j/c/c/fjcc0074_page4,Location,Springfield,"(0.16072985529899597, 0.6069678664207458, 0.23010650277137756, 0.6190757360309362)",0
f/j/c/c/fjcc0074_page4,Location,Ft. Worth So.,"(0.15981653332710266, 0.6767389178276062, 0.24335583671927452, 0.6865135189145803)",0
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.15996333956718445, 0.7460907101631165, 0.20555950328707695, 0.7557189650833607)",0
f/j/c/c/fjcc0074_page4,Location,New Orleans,"(0.19847333431243896, 0.7737466096878052, 0.28024833649396896, 0.7836172934621572)",0
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.1986697018146515, 0.8013858795166016, 0.24426047876477242, 0.8112763417884707)",0
f/j/c/c/fjcc0074_page4,Organization Name,Circle K,"(0.29575327038764954, 0.3557316064834595, 0.348273865878582, 0.36503010895103216)",0
f/j/c/c/fjcc0074_page4,Organization Name,H.E.B.,"(0.29519233107566833, 0.38366788625717163, 0.337856687605381, 0.3934471420943737)",0
f/j/c/c/fjcc0074_page4,Organization Name,Autry Greer & Sons,"(0.29575973749160767, 0.745864748954773, 0.41949899308383465, 0.7575913947075605)",0
f/j/c/c/fjcc0074_page4,Organization Name,Winn Dixie,"(0.2959143817424774, 0.7735719680786133, 0.3682773523032665, 0.7834772411733866)",0
f/j/c/c/fjcc0074_page4,Organization Name,Delchamps,"(0.2955067455768585, 0.8013321757316589, 0.365506187081337, 0.8136488264426589)",0
f/j/c/c/fjcc0074_page4,Date,"April 7, 2997","(0.12438420951366425, 0.20218922197818756, 0.20650119706988335, 0.21426070015877485)",0
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19861839711666107, 0.35605114698410034, 0.2762040048837662, 0.3653601426631212)",1
f/j/c/c/fjcc0074_page4,Location,"Kansas City, KS","(0.15931251645088196, 0.4817972481250763, 0.26105317287147045, 0.4934454411268234)",1
f/j/c/c/fjcc0074_page4,Location,"Kansas City, MO","(0.1598861664533615, 0.56509929895401, 0.2672347482293844, 0.5770005360245705)",1
f/j/c/c/fjcc0074_page4,Location,Springfield,"(0.16072985529899597, 0.6069678664207458, 0.23010650277137756, 0.6190757360309362)",1
f/j/c/c/fjcc0074_page4,Location,Ft. Worth,"(0.15981653332710266, 0.6767389178276062, 0.22039230167865753, 0.6861621178686619)",1
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.15996333956718445, 0.7460907101631165, 0.20555950328707695, 0.7557189650833607)",1
f/j/c/c/fjcc0074_page4,Organization Name,Delchamps,"(0.2955067455768585, 0.8013321757316589, 0.365506187081337, 0.8136488264426589)",1
f/j/c/c/fjcc0074_page4,Date,"April 7, 2997","(0.12438420951366425, 0.20218922197818756, 0.20650119706988335, 0.21426070015877485)",1
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19861839711666107, 0.35605114698410034, 0.2762040048837662, 0.3653601426631212)",2
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19894202053546906, 0.38390615582466125, 0.27674350142478943, 0.39360769372433424)",2
f/j/c/c/fjcc0074_page4,Location,"Kansas City, KS","(0.15931251645088196, 0.4817972481250763, 0.26105317287147045, 0.4934454411268234)",2
f/j/c/c/fjcc0074_page4,Location,Wichita,"(0.15989720821380615, 0.5231995582580566, 0.20936890318989754, 0.5330318743363023)",2
f/j/c/c/fjcc0074_page4,Location,"Kansas City, MO","(0.1598861664533615, 0.56509929895401, 0.2672347482293844, 0.5770005360245705)",2
f/j/c/c/fjcc0074_page4,Location,Springfield,"(0.16072985529899597, 0.6069678664207458, 0.23010650277137756, 0.6190757360309362)",2
f/j/c/c/fjcc0074_page4,Location,Ft. Worth So.,"(0.15981653332710266, 0.6767389178276062, 0.24335583671927452, 0.6865135189145803)",2
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.15996333956718445, 0.7460907101631165, 0.20555950328707695, 0.7557189650833607)",2
f/j/c/c/fjcc0074_page4,Location,New Orleans,"(0.19847333431243896, 0.7737466096878052, 0.28024833649396896, 0.7836172934621572)",2
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.1986697018146515, 0.8013858795166016, 0.24426047876477242, 0.8112763417884707)",2
f/j/c/c/fjcc0074_page4,Organization Name,4 Chains,"(0.2945999205112457, 0.48136475682258606, 0.3495859056711197, 0.49115280248224735)",2
f/j/c/c/fjcc0074_page4,Organization Name,7 Chains,"(0.29547563195228577, 0.5228103399276733, 0.34994546324014664, 0.532810116186738)",2
f/j/c/c/fjcc0074_page4,Organization Name,4 Chains,"(0.2952967882156372, 0.5646752715110779, 0.3502792976796627, 0.5745153594762087)",2
f/j/c/c/fjcc0074_page4,Organization Name,Grocery,"(0.2956770062446594, 0.607023298740387, 0.34697042778134346, 0.6187235750257969)",2
f/j/c/c/fjcc0074_page4,Organization Name,Wholesalers,"(0.29577571153640747, 0.6207760572433472, 0.3714912161231041, 0.6304657952859998)",2
