id,pii_type,value,bbox,annotator
f/g/d/y/fgdy0093_page2,Person Name,Dr. A. H. Laurene,"(0.16465184092521667, 0.371377557516098, 0.3313632160425186, 0.38340443186461926)",0
f/g/d/y/fgdy0093_page2,Person Name,Dr. Murray Senkus,"(0.16465184092521667, 0.37107616662979126, 0.5015246123075485, 0.38351879362016916)",0
f/g/d/y/fgdy0093_page2,Person Name,Dr. F. A. Rodgman,"(0.16449415683746338, 0.3853413164615631, 0.3317377120256424, 0.3980049304664135)",0
f/g/d/y/fgdy0093_page2,Person Name,Dr. H. J. Bluhm,"(0.16449415683746338, 0.3854323625564575, 0.4904223158955574, 0.3979804990813136)",0
f/g/d/y/fgdy0093_page2,Person Name,Mr. J. D. Barnhill,"(0.1644018292427063, 0.3994971811771393, 0.33330772817134857, 0.4100748188793659)",0
f/g/d/y/fgdy0093_page2,Person Name,Mr. T. H. Eskew,"(0.1641400307416916, 0.41372713446617126, 0.31405744329094887, 0.42617117147892714)",0
f/g/d/y/fgdy0093_page2,Person Name,Dr. J. D. Woods,"(0.3232848644256592, 0.4140331745147705, 0.46384839341044426, 0.42484115809202194)",0
f/g/d/y/fgdy0093_page2,Person Name,I Wwoods,"(0.2542598247528076, 0.46731042861938477, 0.3966904431581497, 0.5035493597388268)",0
f/g/d/y/fgdy0093_page2,Person Name,Siftesbew,"(0.2638475298881531, 0.4904983639717102, 0.41993947327136993, 0.5131785813719034)",0
f/g/d/y/fgdy0093_page2,Organization Name,Library,"(0.5006359815597534, 0.38547539710998535, 0.5671062171459198, 0.3982835840433836)",0
f/g/d/y/fgdy0093_page2,Date,"October 11, 1978","(0.2774820625782013, 0.43328893184661865, 0.42833226174116135, 0.4456489598378539)",0
f/g/d/y/fgdy0093_page2,Date,"November 14, 1978","(0.27852827310562134, 0.4533514380455017, 0.43893228471279144, 0.46576216351240873)",0
f/g/d/y/fgdy0093_page2,Person Name,"Dr. A. H. Laurene, Dr. Murray Senkus","(0.16465184092521667, 0.37107616662979126, 0.5015246123075485, 0.38351879362016916)",1
f/g/d/y/fgdy0093_page2,Person Name,"Dr. F. A. Rodgman, Dr. H. J. Bluhm","(0.16449415683746338, 0.3853413164615631, 0.4904223158955574, 0.3980049304664135)",1
f/g/d/y/fgdy0093_page2,Person Name,Mr. J. D. Barnhill,"(0.1644018292427063, 0.3994971811771393, 0.33330772817134857, 0.4100748188793659)",1
f/g/d/y/fgdy0093_page2,Person Name,"Mr. T. H. Eskew, Dr. J. D. Woods","(0.1641400307416916, 0.41372713446617126, 0.46384839341044426, 0.42617117147892714)",1
f/g/d/y/fgdy0093_page2,Person Name,I Wwoods,"(0.2542598247528076, 0.46731042861938477, 0.3966904431581497, 0.5035493597388268)",1
f/g/d/y/fgdy0093_page2,Person Name,Siftesbew,"(0.2638475298881531, 0.4904983639717102, 0.41993947327136993, 0.5131785813719034)",1
f/g/d/y/fgdy0093_page2,Organization Name,"Dr. A. H. Laurene, Dr. Murray Senkus (file)","(0.16465184092521667, 0.37064433097839355, 0.565570991486311, 0.38351879362016916)",1
