id,pii_type,value,bbox,annotator
f/g/n/h/fgnh0009_page1,Person Name,Dr. Charles J. Kensler,"(0.19722361862659454, 0.42722001671791077, 0.45475732535123825, 0.4377638343721628)",0
f/g/n/h/fgnh0009_page1,Phone Number,(617) 864-5770 (Ext. 2541),"(0.25938093662261963, 0.25668197870254517, 0.5455634966492653, 0.26692427042871714)",0
f/g/n/h/fgnh0009_page1,Location,"Cambridge, Mass. 02140","(0.14162901043891907, 0.1997876763343811, 0.4017280489206314, 0.211356608197093)",0
f/g/n/h/fgnh0009_page1,Location,"BUENOS AIRES, ARGENTINA","(0.19847235083580017, 0.3364521563053131, 0.46776577830314636, 0.3465184224769473)",0
f/g/n/h/fgnh0009_page1,Organization Name,"Arthur D. Little, Inc.","(0.14195938408374786, 0.1661217212677002, 0.3887682147324085, 0.17715139407664537)",0
f/g/n/h/fgnh0009_page1,Date,"October 7, 1978","(0.4805033206939697, 0.33595341444015503, 0.649134386330843, 0.34627897571772337)",0
f/g/n/h/fgnh0009_page1,Contract Number,LIG- 92593,"(0.23780003190040588, 0.9043050408363342, 0.3505829870700836, 0.9145974097773433)",0
f/g/n/h/fgnh0009_page1,Contract Number,LG 0382867,"(0.7950375080108643, 0.9257703423500061, 0.9325424209237099, 0.9414435187354684)",0
f/g/n/h/fgnh0009_page1,Person Name,Dr. Charles J. Kensler,"(0.19722361862659454, 0.42722001671791077, 0.45475732535123825, 0.4377638343721628)",1
f/g/n/h/fgnh0009_page1,Phone Number,(617) 864-5770 (Ext. 2541),"(0.25938093662261963, 0.25668197870254517, 0.5455634966492653, 0.26692427042871714)",1
f/g/n/h/fgnh0009_page1,Location,Acorn Park,"(0.14139747619628906, 0.18976877629756927, 0.2564104422926903, 0.19843928795307875)",1
f/g/n/h/fgnh0009_page1,Location,"Cambridge, Mass. 02140","(0.14162901043891907, 0.1997876763343811, 0.4017280489206314, 0.211356608197093)",1
f/g/n/h/fgnh0009_page1,Location,"BUENOS AIRES, ARGENTINA","(0.19847235083580017, 0.3364521563053131, 0.46776577830314636, 0.3465184224769473)",1
f/g/n/h/fgnh0009_page1,Organization Name,"Arthur D. Little, Inc.","(0.14195938408374786, 0.1661217212677002, 0.3887682147324085, 0.17715139407664537)",1
f/g/n/h/fgnh0009_page1,Date,"October 7, 1978","(0.4805033206939697, 0.33595341444015503, 0.649134386330843, 0.34627897571772337)",1
f/g/n/h/fgnh0009_page1,Contract Number,LIG- 92593,"(0.23780003190040588, 0.9043050408363342, 0.3505829870700836, 0.9145974097773433)",1
f/g/n/h/fgnh0009_page1,Contract Number,LG 0382867,"(0.7950375080108643, 0.9257703423500061, 0.9325424209237099, 0.9414435187354684)",1
f/g/n/h/fgnh0009_page1,Person Name,Dr. Charles J. Kensler,"(0.19722361862659454, 0.42722001671791077, 0.45475732535123825, 0.4377638343721628)",2
f/g/n/h/fgnh0009_page1,Phone Number,"CONTACT: ALMA TRINER FOR RELEASE OCTOBER 7, 1978","(0.14155249297618866, 0.24561823904514313, 0.885589774698019, 0.2562567135319114)",2
f/g/n/h/fgnh0009_page1,Phone Number,(617) 864-5770 (Ext. 2541),"(0.25938093662261963, 0.25668197870254517, 0.5455634966492653, 0.26692427042871714)",2
f/g/n/h/fgnh0009_page1,Location,Acorn Park,"(0.14139747619628906, 0.18976877629756927, 0.2564104422926903, 0.19843928795307875)",2
f/g/n/h/fgnh0009_page1,Location,"Cambridge, Mass. 02140","(0.14162901043891907, 0.1997876763343811, 0.4017280489206314, 0.211356608197093)",2
f/g/n/h/fgnh0009_page1,Location,"BUENOS AIRES, ARGENTINA","(0.19847235083580017, 0.3364521563053131, 0.46776577830314636, 0.3465184224769473)",2
f/g/n/h/fgnh0009_page1,Organization Name,"Arthur D. Little, Inc.","(0.14195938408374786, 0.1661217212677002, 0.3887682147324085, 0.17715139407664537)",2
f/g/n/h/fgnh0009_page1,Organization Name,International Cancer Congress,"(0.4122645854949951, 0.4050089418888092, 0.7386139929294586, 0.41657640133053064)",2
f/g/n/h/fgnh0009_page1,Date,"BUENOS AIRES, ARGENTINA, October 7, 1978","(0.19847235083580017, 0.33595341444015503, 0.649134386330843, 0.3465184224769473)",2
f/g/n/h/fgnh0009_page1,Contract Number,LIG- 92593,"(0.23780003190040588, 0.9043050408363342, 0.3505829870700836, 0.9145974097773433)",2
f/g/n/h/fgnh0009_page1,Contract Number,LG 0382867,"(0.7950375080108643, 0.9257703423500061, 0.9325424209237099, 0.9414435187354684)",2
