id,pii_type,value,bbox,annotator
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",0
f/g/w/b/fgwb0124_page1,Location,220,"(0.5768770575523376, 0.9215831756591797, 0.6473802328109741, 0.9391722064465284)",0
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",0
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.6812569499015808, 0.6222168207168579, 0.8964733295142651, 0.6384874507784843)",0
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",1
f/g/w/b/fgwb0124_page1,Location,220,"(0.5768770575523376, 0.9215831756591797, 0.6473802328109741, 0.9391722064465284)",1
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",1
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.6812569499015808, 0.6222168207168579, 0.8964733295142651, 0.6384874507784843)",1
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",2
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",2
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",2
f/g/w/b/fgwb0124_page1,Date,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",2
