id,pii_type,value,bbox,annotator
f/h/j/d/fhjd0139_page2,Person Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",0
f/h/j/d/fhjd0139_page2,Person Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",0
f/h/j/d/fhjd0139_page2,Organization Name,Marlboro,"(0.7743352055549622, 0.25518372654914856, 0.8467267453670502, 0.2669942732900381)",0
f/h/j/d/fhjd0139_page2,Organization Name,Lucky Strike,"(0.32170987129211426, 0.255235880613327, 0.42973846569657326, 0.2690009828656912)",0
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",0
f/h/j/d/fhjd0139_page2,Contract Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",0
f/h/j/d/fhjd0139_page2,Person Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",1
f/h/j/d/fhjd0139_page2,Person Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",1
f/h/j/d/fhjd0139_page2,Organization Name,Marlboro,"(0.7743352055549622, 0.25518372654914856, 0.8467267453670502, 0.2669942732900381)",1
f/h/j/d/fhjd0139_page2,Organization Name,Lucky Strike,"(0.32170987129211426, 0.255235880613327, 0.42973846569657326, 0.2690009828656912)",1
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",1
f/h/j/d/fhjd0139_page2,Contract Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",1
f/h/j/d/fhjd0139_page2,Person Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",2
f/h/j/d/fhjd0139_page2,Person Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",2
f/h/j/d/fhjd0139_page2,Organization Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",2
f/h/j/d/fhjd0139_page2,Organization Name,Marlboro,"(0.7743352055549622, 0.25518372654914856, 0.8467267453670502, 0.2669942732900381)",2
f/h/j/d/fhjd0139_page2,Organization Name,Lucky Strike,"(0.32170987129211426, 0.255235880613327, 0.42973846569657326, 0.2690009828656912)",2
f/h/j/d/fhjd0139_page2,Organization Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",2
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",2
f/h/j/d/fhjd0139_page2,Contract Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",2
