id,pii_type,value,bbox,annotator
f/h/f/g/fhfg0219_page3,Person Name,"Dr. A. W. Spears, et al","(0.11735627800226212, 0.07668308168649673, 0.2800326216965914, 0.0908764349296689)",0
f/h/f/g/fhfg0219_page3,Person Name,Haney Bell,"(0.4536001682281494, 0.2362477034330368, 0.534515418112278, 0.25030424632132053)",0
f/h/f/g/fhfg0219_page3,Person Name,Jack Reilly,"(0.45409202575683594, 0.30012932419776917, 0.5334138162434101, 0.3137062285095453)",0
f/h/f/g/fhfg0219_page3,Person Name,Ron Milstein,"(0.4478641748428345, 0.44236475229263306, 0.5405703112483025, 0.45335779432207346)",0
f/h/f/g/fhfg0219_page3,Person Name,Michael Shannon,"(0.4478083550930023, 0.5534610748291016, 0.5720226727426052, 0.5648979172110558)",0
f/h/f/g/fhfg0219_page3,Person Name,Haney Bell,"(0.4501749277114868, 0.7433326840400696, 0.5300248526036739, 0.7573488475754857)",0
f/h/f/g/fhfg0219_page3,Organization Name,National Tobacco Council,"(0.18153369426727295, 0.37892720103263855, 0.3743997551500797, 0.3920308966189623)",0
f/h/f/g/fhfg0219_page3,Organization Name,Tobacco Industry Testing Laboratory,"(0.24804124236106873, 0.37892720103263855, 0.6454726979136467, 0.3927960880100727)",0
f/h/f/g/fhfg0219_page3,Organization Name,Lorillard Political Action Committee,"(0.1815829873085022, 0.39472055435180664, 0.4505750462412834, 0.4078992856666446)",0
f/h/f/g/fhfg0219_page3,Date,"August 9, 1999","(0.11735495179891586, 0.10899344831705093, 0.22743858397006989, 0.12239517085254192)",0
f/h/f/g/fhfg0219_page3,Person Name,Dr. A. W. Spears,"(0.11735627800226212, 0.07668308168649673, 0.2455790936946869, 0.0908764349296689)",1
f/h/f/g/fhfg0219_page3,Person Name,Haney Bell,"(0.4536001682281494, 0.2362477034330368, 0.534515418112278, 0.25030424632132053)",1
f/h/f/g/fhfg0219_page3,Person Name,Jack Reilly,"(0.45409202575683594, 0.30012932419776917, 0.5334138162434101, 0.3137062285095453)",1
