id,pii_type,value,bbox,annotator
f/g/p/d/fgpd0104_page3,Date,"February 14, 1992","(0.5091539025306702, 0.26068323850631714, 0.6759944371879101, 0.2768563460558653)",0
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.47871607542037964, 0.2956065237522125, 0.5474551022052765, 0.30940280854701996)",0
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.69903165102005, 0.2952864468097687, 0.7684906870126724, 0.30943105928599834)",0
f/g/p/d/fgpd0104_page3,Contract Number,#63583,"(0.4068008065223694, 0.5668917894363403, 0.46335288882255554, 0.5780980065464973)",0
f/g/p/d/fgpd0104_page3,Contract Number,#63584,"(0.6443833112716675, 0.5669478178024292, 0.7002172246575356, 0.5775194726884365)",0
f/g/p/d/fgpd0104_page3,Contract Number,0145C,"(0.6903108358383179, 0.8493304252624512, 0.7490270882844925, 0.8629880584776402)",0
f/g/p/d/fgpd0104_page3,Contract Number,0145A,"(0.6898290514945984, 0.8845728635787964, 0.7505960427224636, 0.8977665482088923)",0
f/g/p/d/fgpd0104_page3,Date,"February 14, 1992","(0.5091539025306702, 0.26068323850631714, 0.6759944371879101, 0.2768563460558653)",1
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.47871607542037964, 0.2956065237522125, 0.5474551022052765, 0.30940280854701996)",1
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.69903165102005, 0.2952864468097687, 0.7684906870126724, 0.30943105928599834)",1
f/g/p/d/fgpd0104_page3,Contract Number,#63583,"(0.4068008065223694, 0.5668917894363403, 0.46335288882255554, 0.5780980065464973)",1
f/g/p/d/fgpd0104_page3,Contract Number,#63584,"(0.6443833112716675, 0.5669478178024292, 0.7002172246575356, 0.5775194726884365)",1
f/g/p/d/fgpd0104_page3,Date,"February 14, 1992.","(0.5091539025306702, 0.26068323850631714, 0.6759944371879101, 0.2768563460558653)",2
f/g/p/d/fgpd0104_page3,Contract Number,40 Deal Kit (63583) 100 Deal Kit (63584),"(0.3700610101222992, 0.2952864468097687, 0.7684906870126724, 0.30943105928599834)",2
f/g/p/d/fgpd0104_page3,Contract Number,Display Payment $0.10 per pack 0145C,"(0.24541297554969788, 0.8491708040237427, 0.7490270882844925, 0.8668141849339008)",2
f/g/p/d/fgpd0104_page3,Contract Number,Free Packs ** 0145A,"(0.24500596523284912, 0.8845728635787964, 0.7505960427224636, 0.89831826929003)",2
