id,pii_type,value,bbox,annotator
f/g/p/g/fgpg0139_page1,Person Name,"Mr. R. D. Chumney, Jr.","(0.14949116110801697, 0.13266420364379883, 0.3921652939170599, 0.14602317195385695)",0
f/g/p/g/fgpg0139_page1,Person Name,J. E. Mann,"(0.1506054550409317, 0.17478275299072266, 0.26245715469121933, 0.18553844932466745)",0
f/g/p/g/fgpg0139_page1,Person Name,D. E. Cawthon,"(0.1834913194179535, 0.17453180253505707, 0.4617210403084755, 0.1854831576347351)",0
f/g/p/g/fgpg0139_page1,Location,Reidsville,"(0.48178523778915405, 0.5640442967414856, 0.5925891250371933, 0.574928330257535)",0
f/g/p/g/fgpg0139_page1,Organization Name,PT Bukit Muria Jaya BMJ540AVB,"(0.32815995812416077, 0.7040069699287415, 0.6479936391115189, 0.7171366401016712)",0
f/g/p/g/fgpg0139_page1,Organization Name,Mundet,"(0.3267151117324829, 0.7178115844726562, 0.39424852281808853, 0.7288997191935778)",0
f/g/p/g/fgpg0139_page1,Date,"May 13, 1993","(0.7256635427474976, 0.13296984136104584, 0.8585539422929287, 0.1462342357262969)",0
f/g/p/g/fgpg0139_page1,Person Name,"Mr. R. D. Chumney, Jr.","(0.14949116110801697, 0.13266420364379883, 0.3921652939170599, 0.14602317195385695)",1
f/g/p/g/fgpg0139_page1,Person Name,J. E. Mann,"(0.1506054550409317, 0.17478275299072266, 0.26245715469121933, 0.18553844932466745)",1
f/g/p/g/fgpg0139_page1,Person Name,D. E. Cawthon,"(0.1834913194179535, 0.17453180253505707, 0.4617210403084755, 0.1854831576347351)",1
f/g/p/g/fgpg0139_page1,Location,Reidsville,"(0.48178523778915405, 0.5640442967414856, 0.5925891250371933, 0.574928330257535)",1
f/g/p/g/fgpg0139_page1,Organization Name,PALL MALL Famous,"(0.18663571774959564, 0.4111202359199524, 0.37313731014728546, 0.42379556968808174)",1
f/g/p/g/fgpg0139_page1,Organization Name,PALL MALL Famous,"(0.5042984485626221, 0.5502611398696899, 0.6816620156168938, 0.5609612362459302)",1
f/g/p/g/fgpg0139_page1,Organization Name,PALL MALL Famous,"(0.6371966004371643, 0.564495325088501, 0.815095879137516, 0.5749293956905603)",1
f/g/p/g/fgpg0139_page1,Organization Name,PT Bukit Muria Jaya,"(0.32815995812416077, 0.7040069699287415, 0.5374738126993179, 0.7171366401016712)",1
f/g/p/g/fgpg0139_page1,Date,"May 13, 1993","(0.7256635427474976, 0.13296984136104584, 0.8585539422929287, 0.1462342357262969)",1
f/g/p/g/fgpg0139_page1,Person Name,"Mr. R. D. Chumney, Jr.","(0.14949116110801697, 0.13266420364379883, 0.3921652939170599, 0.14602317195385695)",2
f/g/p/g/fgpg0139_page1,Person Name,J. E. Mann,"(0.1506054550409317, 0.17478275299072266, 0.26245715469121933, 0.18553844932466745)",2
f/g/p/g/fgpg0139_page1,Person Name,D. E. Cawthon,"(0.1834913194179535, 0.17453180253505707, 0.4617210403084755, 0.1854831576347351)",2
f/g/p/g/fgpg0139_page1,Organization Name,PT Bukit Muria Jaya BMJ540AVB,"(0.32815995812416077, 0.7040069699287415, 0.6479936391115189, 0.7171366401016712)",2
f/g/p/g/fgpg0139_page1,Date,"May 13, 1993","(0.7256635427474976, 0.13296984136104584, 0.8585539422929287, 0.1462342357262969)",2
