id,pii_type,value,bbox,annotator
f/g/w/m/fgwm0211_page1,Person Name,Dr. T. Hirji,"(0.2331686168909073, 0.2448211908340454, 0.34902001917362213, 0.25539062824100256)",0
f/g/w/m/fgwm0211_page1,Person Name,N . Davis,"(0.5520004630088806, 0.2427154928445816, 0.6296932697296143, 0.2515639690682292)",0
f/g/w/m/fgwm0211_page1,Person Name,David Stimson,"(0.5078824758529663, 0.44455602765083313, 0.6326693743467331, 0.45443521812558174)",0
f/g/w/m/fgwm0211_page1,Person Name,N. DAVIS,"(0.4434921443462372, 0.6017253994941711, 0.5200325921177864, 0.6106960317119956)",0
f/g/w/m/fgwm0211_page1,Person Name,Javed lighter,"(0.722058892250061, 0.5793505907058716, 0.8754764199256897, 0.6098279058933258)",0
f/g/w/m/fgwm0211_page1,Location,"BATUKE R&D Centre,","(0.23308110237121582, 0.25705334544181824, 0.4053248018026352, 0.2673958856612444)",0
f/g/w/m/fgwm0211_page1,Location,Southampton.,"(0.23443740606307983, 0.269974946975708, 0.3472321480512619, 0.2811302002519369)",0
f/g/w/m/fgwm0211_page1,Organization Name,BAT,"(0.46196264028549194, 0.15166586637496948, 0.5032023526728153, 0.15997947473078966)",0
f/g/w/m/fgwm0211_page1,Organization Name,BRITISH-AMERICAN TOBACCO COMPANY LTD,"(0.18186672031879425, 0.1698087900876999, 0.7946438826620579, 0.18766497634351254)",0
f/g/w/m/fgwm0211_page1,Date,1st July 1987,"(0.5539493560791016, 0.30437901616096497, 0.6782613024115562, 0.31585462111979723)",0
f/g/w/m/fgwm0211_page1,Person Name,Dr. T. Hirji,"(0.2331686168909073, 0.2448211908340454, 0.34902001917362213, 0.25539062824100256)",1
f/g/w/m/fgwm0211_page1,Person Name,N . Davis,"(0.5520004630088806, 0.2427154928445816, 0.6296932697296143, 0.2515639690682292)",1
f/g/w/m/fgwm0211_page1,Person Name,David Stimson,"(0.5078824758529663, 0.44455602765083313, 0.6326693743467331, 0.45443521812558174)",1
f/g/w/m/fgwm0211_page1,Person Name,N. DAVIS,"(0.4434921443462372, 0.6017253994941711, 0.5200325921177864, 0.6106960317119956)",1
f/g/w/m/fgwm0211_page1,Person Name,Javed lighter,"(0.722058892250061, 0.5793505907058716, 0.8754764199256897, 0.6098279058933258)",1
f/g/w/m/fgwm0211_page1,Location,Southampton.,"(0.23443740606307983, 0.269974946975708, 0.3472321480512619, 0.2811302002519369)",1
f/g/w/m/fgwm0211_page1,Organization Name,BAT,"(0.46196264028549194, 0.15166586637496948, 0.5032023526728153, 0.15997947473078966)",1
f/g/w/m/fgwm0211_page1,Organization Name,BRITISH-AMERICAN TOBACCO COMPANY LTD,"(0.18186672031879425, 0.1698087900876999, 0.7946438826620579, 0.18766497634351254)",1
f/g/w/m/fgwm0211_page1,Date,1st July 1987,"(0.5539493560791016, 0.30437901616096497, 0.6782613024115562, 0.31585462111979723)",1
f/g/w/m/fgwm0211_page1,Person Name,Dr. T. Hirji,"(0.2331686168909073, 0.2448211908340454, 0.34902001917362213, 0.25539062824100256)",2
f/g/w/m/fgwm0211_page1,Person Name,N . Davis,"(0.5520004630088806, 0.2427154928445816, 0.6296932697296143, 0.2515639690682292)",2
f/g/w/m/fgwm0211_page1,Person Name,David Stimson,"(0.5078824758529663, 0.44455602765083313, 0.6326693743467331, 0.45443521812558174)",2
f/g/w/m/fgwm0211_page1,Person Name,N. DAVIS,"(0.4434921443462372, 0.6017253994941711, 0.5200325921177864, 0.6106960317119956)",2
f/g/w/m/fgwm0211_page1,Location,Southampton.,"(0.23443740606307983, 0.269974946975708, 0.3472321480512619, 0.2811302002519369)",2
f/g/w/m/fgwm0211_page1,Organization Name,BAT,"(0.46196264028549194, 0.15166586637496948, 0.5032023526728153, 0.15997947473078966)",2
f/g/w/m/fgwm0211_page1,Organization Name,BRITISH-AMERICAN TOBACCO COMPANY LTD,"(0.18186672031879425, 0.1698087900876999, 0.7946438826620579, 0.18766497634351254)",2
f/g/w/m/fgwm0211_page1,Date,1st July 1987,"(0.5539493560791016, 0.30437901616096497, 0.6782613024115562, 0.31585462111979723)",2
