id,pii_type,value,bbox,annotator
f/h/f/h/fhfh0230_page1,Person Name,Ms Jane Brody,"(0.10357938706874847, 0.2581760883331299, 0.2547956705093384, 0.2714402489364147)",0
f/h/f/h/fhfh0230_page1,Person Name,Jane,"(0.16377303004264832, 0.3343384861946106, 0.21583443880081177, 0.3455442963168025)",0
f/h/f/h/fhfh0230_page1,Phone Number,Tel. (508) 481-0400,"(0.7091120481491089, 0.17188063263893127, 0.8305752128362656, 0.18296773359179497)",0
f/h/f/h/fhfh0230_page1,Phone Number,Fax (508)460-1209,"(0.7093547582626343, 0.18479520082473755, 0.8271873146295547, 0.19651316944509745)",0
f/h/f/h/fhfh0230_page1,Location,One Pine Hill Drive,"(0.7057439684867859, 0.13131220638751984, 0.8315772376954556, 0.14082933962345123)",0
f/h/f/h/fhfh0230_page1,Location,P.O. Box 9102,"(0.7230297327041626, 0.14500899612903595, 0.8141453228890896, 0.15442180447280407)",0
f/h/f/h/fhfh0230_page1,Location,"Southborough, Massachusetts 01772-9102","(0.6377701759338379, 0.1581813097000122, 0.8988213539123535, 0.16927987150847912)",0
f/h/f/h/fhfh0230_page1,Location,229 W. 43rd St.,"(0.10549700260162354, 0.28842270374298096, 0.27446372248232365, 0.3004116751253605)",0
f/h/f/h/fhfh0230_page1,Location,New York NY 10036-3959,"(0.10452499985694885, 0.30356359481811523, 0.3580283224582672, 0.31528946571052074)",0
f/h/f/h/fhfh0230_page1,Organization Name,HARVARD MEDICAL SCHOOL,"(0.3998161852359772, 0.05836772546172142, 0.6722801998257637, 0.0704266931861639)",0
f/h/f/h/fhfh0230_page1,Organization Name,NEW ENGLAND REGIONAL PRIMATE RESEARCH CENTER,"(0.40056130290031433, 0.08607519418001175, 0.8004857301712036, 0.09788195975124836)",0
f/h/f/h/fhfh0230_page1,Organization Name,New York Times,"(0.10486400127410889, 0.2732214033603668, 0.2663699500262737, 0.28508943412452936)",0
f/h/f/h/fhfh0230_page1,Date,"April 1, 1993","(0.6145089864730835, 0.21229569613933563, 0.7640911526978016, 0.22562205512076616)",0
f/h/f/h/fhfh0230_page1,Person Name,Ms Jane Brody,"(0.10357938706874847, 0.2581760883331299, 0.2547956705093384, 0.2714402489364147)",1
f/h/f/h/fhfh0230_page1,Phone Number,Tel. (508) 481-0400,"(0.7091120481491089, 0.17188063263893127, 0.8305752128362656, 0.18296773359179497)",1
f/h/f/h/fhfh0230_page1,Phone Number,Fax (508)460-1209,"(0.7093547582626343, 0.18479520082473755, 0.8271873146295547, 0.19651316944509745)",1
f/h/f/h/fhfh0230_page1,Location,One Pine Hill Drive,"(0.7057439684867859, 0.13131220638751984, 0.8315772376954556, 0.14082933962345123)",1
f/h/f/h/fhfh0230_page1,Location,P.O. Box 9102,"(0.7230297327041626, 0.14500899612903595, 0.8141453228890896, 0.15442180447280407)",1
