id,pii_type,value,bbox,annotator
f/h/x/k/fhxk0019_page5,Person Name,Christopher J. Ferraro,"(0.41831299662590027, 0.3117554783821106, 0.588786393404007, 0.32788075134158134)",0
f/h/x/k/fhxk0019_page5,Person Name,Edmistoor,"(0.17762117087841034, 0.43259939551353455, 0.35751214623451233, 0.47747085615992546)",0
f/h/x/k/fhxk0019_page5,Organization Name,EDNA'S,"(0.2122042328119278, 0.08345886319875717, 0.2865912839770317, 0.09854292869567871)",0
f/h/x/k/fhxk0019_page5,Organization Name,EDNA'S,"(0.2770148813724518, 0.41587725281715393, 0.3526652008295059, 0.43332651257514954)",0
f/h/x/k/fhxk0019_page5,Organization Name,"THE AFFINITY MANAGEMENT GROUP, INC.","(0.3905382752418518, 0.24127085506916046, 0.7899661287665367, 0.25728918705135584)",0
f/h/x/k/fhxk0019_page5,Contract Number,3-AO-V,"(0.10870096832513809, 0.8995035886764526, 0.15829933434724808, 0.9097404051572084)",0
f/h/x/k/fhxk0019_page5,Person Name,"Christopher J. Ferraro, President","(0.41831299662590027, 0.3117554783821106, 0.6631891950964928, 0.32788075134158134)",1
f/h/x/k/fhxk0019_page5,Person Name,Edmistoor,"(0.17762117087841034, 0.43259939551353455, 0.35751214623451233, 0.47747085615992546)",1
f/h/x/k/fhxk0019_page5,Organization Name,"THE AFFINITY MANAGEMENT GROUP, INC.","(0.3905382752418518, 0.24127085506916046, 0.7899661287665367, 0.25728918705135584)",1
f/h/x/k/fhxk0019_page5,Contract Number,3-AO-V,"(0.10870096832513809, 0.8995035886764526, 0.15829933434724808, 0.9097404051572084)",1
f/h/x/k/fhxk0019_page5,Person Name,Christopher J. Ferraro,"(0.41831299662590027, 0.3117554783821106, 0.588786393404007, 0.32788075134158134)",2
f/h/x/k/fhxk0019_page5,Person Name,Edmistoor,"(0.17762117087841034, 0.43259939551353455, 0.35751214623451233, 0.47747085615992546)",2
f/h/x/k/fhxk0019_page5,Organization Name,"THE AFFINITY MANAGEMENT GROUP, INC.","(0.3905382752418518, 0.24127085506916046, 0.7899661287665367, 0.25728918705135584)",2
f/h/x/k/fhxk0019_page5,Contract Number,3-AO-V,"(0.10870096832513809, 0.8995035886764526, 0.15829933434724808, 0.9097404051572084)",2
