id,pii_type,value,bbox,annotator
f/j/l/f/fjlf0106_page1,Person Name,Cheryl Lee,"(0.22075879573822021, 0.15200866758823395, 0.338529858738184, 0.16586383152753115)",0
f/j/l/f/fjlf0106_page1,Organization Name,PHILIP MORRIS U.S.A.,"(0.11281652748584747, 0.06215284392237663, 0.35887791961431503, 0.07882911525666714)",0
f/j/l/f/fjlf0106_page1,Organization Name,Carnegie Hall,"(0.08366258442401886, 0.31663715839385986, 0.2341129370033741, 0.33024917356669903)",0
f/j/l/f/fjlf0106_page1,Organization Name,Philip Morris,"(0.0603124275803566, 0.805315375328064, 0.21278195828199387, 0.8194000106304884)",0
f/j/l/f/fjlf0106_page1,Organization Name,Leo Burnett,"(0.272506445646286, 0.8060991168022156, 0.4021817818284035, 0.8172244420275092)",0
f/j/l/f/fjlf0106_page1,Organization Name,"Wells, Rich, Greene","(0.44809040427207947, 0.8057308197021484, 0.6734811216592789, 0.8190798591822386)",0
f/j/l/f/fjlf0106_page1,Organization Name,Backer & Spielvogel,"(0.7085107564926147, 0.8058682680130005, 0.9306044280529022, 0.8203553287312388)",0
f/j/l/f/fjlf0106_page1,Organization Name,Lynch Transcription,"(0.3425500690937042, 0.8970441222190857, 0.5695099830627441, 0.9114515110850334)",0
f/j/l/f/fjlf0106_page1,Date,"August 9, 1985","(0.6815076470375061, 0.12530232965946198, 0.8456735983490944, 0.1384568102657795)",0
f/j/l/f/fjlf0106_page1,Person Name,Cheryl Lee,"(0.22075879573822021, 0.15200866758823395, 0.338529858738184, 0.16586383152753115)",1
f/j/l/f/fjlf0106_page1,Person Name,Leo Burnett,"(0.272506445646286, 0.8060991168022156, 0.4021817818284035, 0.8172244420275092)",1
f/j/l/f/fjlf0106_page1,Person Name,C. Beck,"(0.0593121312558651, 0.8209238052368164, 0.14233331009745598, 0.8322692643851042)",1
f/j/l/f/fjlf0106_page1,Person Name,J. Dennett,"(0.2724510133266449, 0.8208944201469421, 0.3902015909552574, 0.8326855981722474)",1
f/j/l/f/fjlf0106_page1,Person Name,R. Barry,"(0.44966745376586914, 0.8216386437416077, 0.543048333376646, 0.8351711165159941)",1
f/j/l/f/fjlf0106_page1,Person Name,C. Nemetz,"(0.0593121312558651, 0.8209238052368164, 0.8150146007537842, 0.8334253774955869)",1
f/j/l/f/fjlf0106_page1,Person Name,N. Brennan,"(0.05949876457452774, 0.8366352319717407, 0.17732195556163788, 0.8475684570148587)",1
