id,pii_type,value,bbox,annotator
f/g/d/n/fgdn0202_page1,Location,Bangkok,"(0.18760061264038086, 0.19403432309627533, 0.24929582327604294, 0.20572737697511911)",0
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18832312524318695, 0.20770575106143951, 0.2461017146706581, 0.2182137668132782)",0
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.18775133788585663, 0.1807791143655777, 0.34699052572250366, 0.19286934472620487)",0
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.38525694608688354, 0.4376559257507324, 0.5395298451185226, 0.45009379740804434)",0
f/g/d/n/fgdn0202_page1,Organization Name,Ministry of Public Health,"(0.3465515673160553, 0.6566479206085205, 0.5081244595348835, 0.6689146440476179)",0
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.18775133788585663, 0.1807791143655777, 0.34699052572250366, 0.19286934472620487)",1
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.38525694608688354, 0.4376559257507324, 0.5395298451185226, 0.45009379740804434)",1
f/g/d/n/fgdn0202_page1,Organization Name,PRAFT,"(0.44747194647789, 0.13345478475093842, 0.49526940658688545, 0.1427277335897088)",1
f/g/d/n/fgdn0202_page1,Contract Number,Z'd,"(0.2055487036705017, 0.8544719219207764, 0.23152728751301765, 0.8629291160032153)",1
f/g/d/n/fgdn0202_page1,Contract Number,9650,"(0.4363096356391907, 0.8511533141136169, 0.468302384018898, 0.8594030700623989)",1
f/g/d/n/fgdn0202_page1,Contract Number,258,"(0.5133253931999207, 0.8499724268913269, 0.5433479603379965, 0.8583267563953996)",1
f/g/d/n/fgdn0202_page1,Contract Number,917,"(0.5509371161460876, 0.8497087359428406, 0.5762548558413982, 0.8577250931411982)",1
f/g/d/n/fgdn0202_page1,Contract Number,WODD:90,"(0.685345470905304, 0.8473352193832397, 0.7410656772553921, 0.8558780252933502)",1
f/g/d/n/fgdn0202_page1,Contract Number,330,"(0.8097389936447144, 0.845827043056488, 0.8338219355791807, 0.8542801681905985)",1
f/g/d/n/fgdn0202_page1,Location,Bangkok,"(0.18760061264038086, 0.19403432309627533, 0.24929582327604294, 0.20572737697511911)",2
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18832312524318695, 0.20770575106143951, 0.2461017146706581, 0.2182137668132782)",2
f/g/d/n/fgdn0202_page1,Organization Name,PRAFT,"(0.44747194647789, 0.13345478475093842, 0.49526940658688545, 0.1427277335897088)",2
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.18775133788585663, 0.1807791143655777, 0.34699052572250366, 0.19286934472620487)",2
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.38525694608688354, 0.4376559257507324, 0.5395298451185226, 0.45009379740804434)",2
f/g/d/n/fgdn0202_page1,Contract Number,9650,"(0.4363096356391907, 0.8511533141136169, 0.468302384018898, 0.8594030700623989)",2
f/g/d/n/fgdn0202_page1,Contract Number,258,"(0.5133253931999207, 0.8499724268913269, 0.5433479603379965, 0.8583267563953996)",2
f/g/d/n/fgdn0202_page1,Contract Number,917,"(0.5509371161460876, 0.8497087359428406, 0.5762548558413982, 0.8577250931411982)",2
f/g/d/n/fgdn0202_page1,Contract Number,330,"(0.8097389936447144, 0.845827043056488, 0.8338219355791807, 0.8542801681905985)",2
