id,pii_type,value,bbox,annotator
f/g/p/d/fgpd0104_page3,Date,"February 14, 1992","(0.5091539025306702, 0.26068323850631714, 0.6759944371879101, 0.2768563460558653)",0
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.47871607542037964, 0.2956065237522125, 0.5474551022052765, 0.30940280854701996)",0
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.69903165102005, 0.2952864468097687, 0.7684906870126724, 0.30943105928599834)",0
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.4068008065223694, 0.5668917894363403, 0.46335288882255554, 0.5780980065464973)",0
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.6443833112716675, 0.5669478178024292, 0.7002172246575356, 0.5775194726884365)",0
f/g/p/d/fgpd0104_page3,Date,"February 14, 1992","(0.5091539025306702, 0.26068323850631714, 0.6759944371879101, 0.2768563460558653)",1
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.47871607542037964, 0.2956065237522125, 0.5474551022052765, 0.30940280854701996)",1
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.69903165102005, 0.2952864468097687, 0.7684906870126724, 0.30943105928599834)",1
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.4068008065223694, 0.5668917894363403, 0.46335288882255554, 0.5780980065464973)",1
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.6443833112716675, 0.5669478178024292, 0.7002172246575356, 0.5775194726884365)",1
f/g/p/d/fgpd0104_page3,Contract Number,0145C,"(0.6903108358383179, 0.8493304252624512, 0.7490270882844925, 0.8629880584776402)",1
f/g/p/d/fgpd0104_page3,Contract Number,0145A,"(0.6898290514945984, 0.8845728635787964, 0.7505960427224636, 0.8977665482088923)",1
f/g/p/d/fgpd0104_page3,Date,"February 14, 1992","(0.5091539025306702, 0.26068323850631714, 0.6759944371879101, 0.2768563460558653)",2
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.47871607542037964, 0.2956065237522125, 0.5474551022052765, 0.30940280854701996)",2
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.69903165102005, 0.2952864468097687, 0.7684906870126724, 0.30943105928599834)",2
f/g/p/d/fgpd0104_page3,Contract Number,63583,"(0.4068008065223694, 0.5668917894363403, 0.46335288882255554, 0.5780980065464973)",2
f/g/p/d/fgpd0104_page3,Contract Number,63584,"(0.6443833112716675, 0.5669478178024292, 0.7002172246575356, 0.5775194726884365)",2
