id,pii_type,value,bbox,annotator
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",0
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",0
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",0
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.2839081287384033, 0.11622878164052963, 0.37882639467716217, 0.12880346830934286)",0
f/g/w/b/fgwb0124_page1,Organization Name,MCA-GRAHAM Advertising,"(0.31769880652427673, 0.23759104311466217, 0.5862618684768677, 0.25261775590479374)",0
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.05413530394434929, 0.2543655335903168, 0.2713383287191391, 0.27046909369528294)",0
f/g/w/b/fgwb0124_page1,Organization Name,"Lorillard, A Division of Loews Theatres, Inc.","(0.431855171918869, 0.6219813823699951, 0.8964733295142651, 0.6384874507784843)",0
f/g/w/b/fgwb0124_page1,Organization Name,MCA- GRAHAM Advertising,"(0.24851667881011963, 0.6915149092674255, 0.5325450450181961, 0.7073264326900244)",0
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.548014223575592, 0.6919253468513489, 0.6474793925881386, 0.7069511441513896)",0
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.3085907995700836, 0.6566123962402344, 0.40226782858371735, 0.6696476750075817)",0
f/g/w/b/fgwb0124_page1,Date,Date 12-5-78,"(0.5266775488853455, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",0
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",1
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",1
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",1
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.2839081287384033, 0.11622878164052963, 0.37882639467716217, 0.12880346830934286)",1
f/g/w/b/fgwb0124_page1,Organization Name,MCA-GRAHAM Advertising,"(0.31769880652427673, 0.23759104311466217, 0.5862618684768677, 0.25261775590479374)",1
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.05413530394434929, 0.2543655335903168, 0.2713383287191391, 0.27046909369528294)",1
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.431855171918869, 0.6220621466636658, 0.5309537127614021, 0.6368674039840698)",1
f/g/w/b/fgwb0124_page1,Organization Name,MCA- GRAHAM Advertising.,"(0.24851667881011963, 0.6915149092674255, 0.5325450450181961, 0.7073264326900244)",1
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.3085907995700836, 0.6566123962402344, 0.40226782858371735, 0.6696476750075817)",1
f/g/w/b/fgwb0124_page1,Date,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",1
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",2
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",2
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",2
f/g/w/b/fgwb0124_page1,Organization Name,MCA-GRAHAM Advertising,"(0.31769880652427673, 0.23759104311466217, 0.5862618684768677, 0.25261775590479374)",2
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.05413530394434929, 0.2543655335903168, 0.2713383287191391, 0.27046909369528294)",2
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.6812569499015808, 0.6222168207168579, 0.8964733295142651, 0.6384874507784843)",2
f/g/w/b/fgwb0124_page1,Date,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",2
