id,pii_type,value,bbox,annotator
f/h/v/b/fhvb0035_page1,Person Name,"Mr. Edward A. Horrigam, Jr.","(0.1871950924396515, 0.28057461977005005, 0.4467138256877661, 0.2931712996214628)",0
f/h/v/b/fhvb0035_page1,Person Name,Linc Ball,"(0.4991703927516937, 0.4603902995586395, 0.5870190635323524, 0.4706052653491497)",0
f/h/v/b/fhvb0035_page1,Person Name,Jim Davis,"(0.538038432598114, 0.4987085461616516, 0.6266901902854443, 0.5088664693757892)",0
f/h/v/b/fhvb0035_page1,Location,401- North Main Street,"(0.18775561451911926, 0.3184429407119751, 0.39189157634973526, 0.32877888064831495)",0
f/h/v/b/fhvb0035_page1,Location,Winston-Salem North Carolina 27102,"(0.18757759034633636, 0.3310530483722687, 0.5295920260250568, 0.34210664220154285)",0
f/h/v/b/fhvb0035_page1,Location,66£ Fitth Avenue. New York. New York 10019,"(0.1769171506166458, 0.812161386013031, 0.40601455233991146, 0.8218153472989798)",0
f/h/v/b/fhvb0035_page1,Organization Name,Lorillard,"(0.17724645137786865, 0.05611924082040787, 0.4268476814031601, 0.11157264932990074)",0
f/h/v/b/fhvb0035_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.18708795309066772, 0.3062663972377777, 0.4803519695997238, 0.3179931975901127)",0
f/h/v/b/fhvb0035_page1,Date,"March 15, 1982","(0.5391509532928467, 0.2036200314760208, 0.6777606345713139, 0.21557757165282965)",0
f/h/v/b/fhvb0035_page1,Contract Number,LOC013 1991,"(0.02830871194601059, 0.9267633557319641, 0.1387382186949253, 0.9386165319010615)",0
f/h/v/b/fhvb0035_page1,Contract Number,USX156 405,"(0.9162018895149231, 0.9878884553909302, 0.9826499782502651, 0.9962129183113575)",0
f/h/v/b/fhvb0035_page1,Person Name,"Mr. Edward A. Horrigam, Jr.","(0.1871950924396515, 0.28057461977005005, 0.4467138256877661, 0.2931712996214628)",1
