id,pii_type,value,bbox,annotator
f/h/y/h/fhyh0038_page1,Person Name,Susan Stuntz,"(0.23853644728660583, 0.13864663243293762, 0.3748275563120842, 0.14983577001839876)",0
f/h/y/h/fhyh0038_page1,Person Name,Bob Lewis,"(0.23907659947872162, 0.15282541513442993, 0.34105443581938744, 0.16434337943792343)",0
f/h/y/h/fhyh0038_page1,Person Name,Karen Fernicola Suhr,"(0.2387918382883072, 0.18146581947803497, 0.46455348655581474, 0.19328174367547035)",0
f/h/y/h/fhyh0038_page1,Person Name,Mark Smith,"(0.4198831021785736, 0.25430551171302795, 0.5325414016842842, 0.2659708149731159)",0
f/h/y/h/fhyh0038_page1,Person Name,Bonnie DeWitt,"(0.1906524896621704, 0.8054248094558716, 0.33690619468688965, 0.8167998092249036)",0
f/h/y/h/fhyh0038_page1,Person Name,Jim Goold,"(0.1898496001958847, 0.8197346329689026, 0.2920955643057823, 0.8309890273958445)",0
f/h/y/h/fhyh0038_page1,Person Name,John Rupp,"(0.1901879757642746, 0.8346049189567566, 0.29181111976504326, 0.8479114612564445)",0
f/h/y/h/fhyh0038_page1,Organization Name,Association for Nonsmokers' Rights,"(0.23836860060691833, 0.21004118025302887, 0.6198056191205978, 0.22448089811950922)",0
f/h/y/h/fhyh0038_page1,Organization Name,European Parliament,"(0.12916485965251923, 0.36945661902427673, 0.43476661294698715, 0.38283337093889713)",0
f/h/y/h/fhyh0038_page1,Organization Name,U.S. Senate,"(0.17471563816070557, 0.413489431142807, 0.29875636100769043, 0.42458468675613403)",0
f/h/y/h/fhyh0038_page1,Organization Name,House of Representatives,"(0.3541073203086853, 0.41305074095726013, 0.6359477490186691, 0.4272868651896715)",0
f/h/y/h/fhyh0038_page1,Date,"April 14, 1993","(0.5176428556442261, 0.08000599592924118, 0.6748900152742863, 0.09439431689679623)",0
f/h/y/h/fhyh0038_page1,Contract Number,TI31861787,"(0.8669354915618896, 0.9587181210517883, 0.9747713878750801, 0.9726417046040297)",0
f/h/y/h/fhyh0038_page1,Person Name,Susan Stuntz,"(0.23853644728660583, 0.13864663243293762, 0.3748275563120842, 0.14983577001839876)",1
f/h/y/h/fhyh0038_page1,Person Name,Bob Lewis,"(0.23907659947872162, 0.15282541513442993, 0.34105443581938744, 0.16434337943792343)",1
f/h/y/h/fhyh0038_page1,Person Name,Karen Fernicola Suhr,"(0.2387918382883072, 0.18146581947803497, 0.46455348655581474, 0.19328174367547035)",1
f/h/y/h/fhyh0038_page1,Person Name,Mark Smith,"(0.4198831021785736, 0.25430551171302795, 0.5325414016842842, 0.2659708149731159)",1
f/h/y/h/fhyh0038_page1,Person Name,Bonnie DeWitt,"(0.1906524896621704, 0.8054248094558716, 0.33690619468688965, 0.8167998092249036)",1
f/h/y/h/fhyh0038_page1,Person Name,Jim Goold,"(0.1898496001958847, 0.8197346329689026, 0.2920955643057823, 0.8309890273958445)",1
f/h/y/h/fhyh0038_page1,Person Name,John Rupp,"(0.1901879757642746, 0.8346049189567566, 0.29181111976504326, 0.8479114612564445)",1
f/h/y/h/fhyh0038_page1,Organization Name,Association for Nonsmokers' Rights,"(0.23836860060691833, 0.21004118025302887, 0.6198056191205978, 0.22448089811950922)",1
f/h/y/h/fhyh0038_page1,Organization Name,European Parliament,"(0.12916485965251923, 0.36945661902427673, 0.43476661294698715, 0.38283337093889713)",1
f/h/y/h/fhyh0038_page1,Date,"April 14, 1993","(0.5176428556442261, 0.08000599592924118, 0.6748900152742863, 0.09439431689679623)",1
f/h/y/h/fhyh0038_page1,Contract Number,TI31861787,"(0.8669354915618896, 0.9587181210517883, 0.9747713878750801, 0.9726417046040297)",1
f/h/y/h/fhyh0038_page1,Person Name,Susan Stuntz,"(0.23853644728660583, 0.13864663243293762, 0.3748275563120842, 0.14983577001839876)",2
f/h/y/h/fhyh0038_page1,Person Name,Bob Lewis,"(0.23907659947872162, 0.15282541513442993, 0.34105443581938744, 0.16434337943792343)",2
f/h/y/h/fhyh0038_page1,Person Name,Karen Fernicola Suhr,"(0.2387918382883072, 0.18146581947803497, 0.46455348655581474, 0.19328174367547035)",2
f/h/y/h/fhyh0038_page1,Person Name,Mark Smith,"(0.4198831021785736, 0.25430551171302795, 0.5325414016842842, 0.2659708149731159)",2
f/h/y/h/fhyh0038_page1,Person Name,Sen. Mack,"(0.5988796353340149, 0.3130299150943756, 0.701547097414732, 0.32387882471084595)",2
f/h/y/h/fhyh0038_page1,Person Name,Bonnie DeWitt,"(0.1906524896621704, 0.8054248094558716, 0.33690619468688965, 0.8167998092249036)",2
f/h/y/h/fhyh0038_page1,Person Name,Jim Goold,"(0.1898496001958847, 0.8197346329689026, 0.2920955643057823, 0.8309890273958445)",2
f/h/y/h/fhyh0038_page1,Person Name,John Rupp,"(0.1901879757642746, 0.8346049189567566, 0.29181111976504326, 0.8479114612564445)",2
f/h/y/h/fhyh0038_page1,Organization Name,Association for Nonsmokers' Rights,"(0.23836860060691833, 0.21004118025302887, 0.6198056191205978, 0.22448089811950922)",2
f/h/y/h/fhyh0038_page1,Organization Name,European Parliament,"(0.12916485965251923, 0.36945661902427673, 0.43476661294698715, 0.38283337093889713)",2
f/h/y/h/fhyh0038_page1,Organization Name,U.S. Senate and House of Representatives,"(0.17471563816070557, 0.41305074095726013, 0.6359477490186691, 0.4272868651896715)",2
f/h/y/h/fhyh0038_page1,Date,"April 14, 1993","(0.5176428556442261, 0.08000599592924118, 0.6748900152742863, 0.09439431689679623)",2
f/h/y/h/fhyh0038_page1,Contract Number,TI31861787,"(0.8669354915618896, 0.9587181210517883, 0.9747713878750801, 0.9726417046040297)",2
