id,pii_type,value,bbox,annotator
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19861839711666107, 0.35605114698410034, 0.2762040048837662, 0.3653601426631212)",0
f/j/c/c/fjcc0074_page4,Location,San Antonio,"(0.19894202053546906, 0.38390615582466125, 0.27674350142478943, 0.39360769372433424)",0
f/j/c/c/fjcc0074_page4,Location,Kansas City,"(0.19847530126571655, 0.4402496814727783, 0.27347715198993683, 0.45160299353301525)",0
f/j/c/c/fjcc0074_page4,Location,"Kansas City, KS","(0.15931251645088196, 0.4817972481250763, 0.26105317287147045, 0.4934454411268234)",0
f/j/c/c/fjcc0074_page4,Location,Wichita,"(0.15989720821380615, 0.5231995582580566, 0.20936890318989754, 0.5330318743363023)",0
f/j/c/c/fjcc0074_page4,Location,"Kansas City, MO","(0.1598861664533615, 0.56509929895401, 0.2672347482293844, 0.5770005360245705)",0
f/j/c/c/fjcc0074_page4,Location,Springfield,"(0.16072985529899597, 0.6069678664207458, 0.23010650277137756, 0.6190757360309362)",0
f/j/c/c/fjcc0074_page4,Location,Ft. Worth,"(0.15981653332710266, 0.6767389178276062, 0.22039230167865753, 0.6861621178686619)",0
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.15996333956718445, 0.7460907101631165, 0.20555950328707695, 0.7557189650833607)",0
f/j/c/c/fjcc0074_page4,Location,New Orleans,"(0.19847333431243896, 0.7737466096878052, 0.28024833649396896, 0.7836172934621572)",0
f/j/c/c/fjcc0074_page4,Location,Mobile,"(0.1986697018146515, 0.8013858795166016, 0.24426047876477242, 0.8112763417884707)",0
f/j/c/c/fjcc0074_page4,Organization Name,MCA San Antonio,"(0.1593082994222641, 0.35605114698410034, 0.2762040048837662, 0.36540450900793076)",0
f/j/c/c/fjcc0074_page4,Organization Name,Circle K,"(0.29575327038764954, 0.3557316064834595, 0.348273865878582, 0.36503010895103216)",0
f/j/c/c/fjcc0074_page4,Organization Name,H.E.B.,"(0.29519233107566833, 0.38366788625717163, 0.337856687605381, 0.3934471420943737)",0
f/j/c/c/fjcc0074_page4,Organization Name,MCA Kansas City,"(0.15961946547031403, 0.4402496814727783, 0.27347715198993683, 0.45160299353301525)",0
f/j/c/c/fjcc0074_page4,Organization Name,Autry Greer & Sons,"(0.29575973749160767, 0.745864748954773, 0.41949899308383465, 0.7575913947075605)",0
f/j/c/c/fjcc0074_page4,Organization Name,MCA New Orleans,"(0.15988995134830475, 0.7737466096878052, 0.28024833649396896, 0.7836172934621572)",0
f/j/c/c/fjcc0074_page4,Organization Name,Winn Dixie,"(0.2959143817424774, 0.7735719680786133, 0.3682773523032665, 0.7834772411733866)",0
f/j/c/c/fjcc0074_page4,Organization Name,MCA Mobile,"(0.1600254625082016, 0.8013858795166016, 0.24426047876477242, 0.8112865285947919)",0
f/j/c/c/fjcc0074_page4,Organization Name,Delchamps,"(0.2955067455768585, 0.8013321757316589, 0.365506187081337, 0.8136488264426589)",0
f/j/c/c/fjcc0074_page4,Date,"April 7, 2997","(0.12438420951366425, 0.20218922197818756, 0.20650119706988335, 0.21426070015877485)",0
f/j/c/c/fjcc0074_page4,Location,"Kansas City, KS","(0.15931251645088196, 0.4817972481250763, 0.26105317287147045, 0.4934454411268234)",1
f/j/c/c/fjcc0074_page4,Location,"Kansas City, MO","(0.1598861664533615, 0.56509929895401, 0.2672347482293844, 0.5770005360245705)",1
f/j/c/c/fjcc0074_page4,Organization Name,MCA San Antonio,"(0.1593082994222641, 0.35605114698410034, 0.2762040048837662, 0.36540450900793076)",1
f/j/c/c/fjcc0074_page4,Organization Name,Circle K,"(0.29575327038764954, 0.3557316064834595, 0.348273865878582, 0.36503010895103216)",1
f/j/c/c/fjcc0074_page4,Organization Name,H.E.B.,"(0.29519233107566833, 0.38366788625717163, 0.337856687605381, 0.3934471420943737)",1
f/j/c/c/fjcc0074_page4,Organization Name,MCA Kansas City,"(0.15961946547031403, 0.4402496814727783, 0.27347715198993683, 0.45160299353301525)",1
f/j/c/c/fjcc0074_page4,Organization Name,Autry Greer & Sons,"(0.29575973749160767, 0.745864748954773, 0.41949899308383465, 0.7575913947075605)",1
f/j/c/c/fjcc0074_page4,Organization Name,Winn Dixie,"(0.2959143817424774, 0.7735719680786133, 0.3682773523032665, 0.7834772411733866)",1
f/j/c/c/fjcc0074_page4,Organization Name,Delchamps,"(0.2955067455768585, 0.8013321757316589, 0.365506187081337, 0.8136488264426589)",1
f/j/c/c/fjcc0074_page4,Date,"April 7, 2997","(0.12438420951366425, 0.20218922197818756, 0.20650119706988335, 0.21426070015877485)",1
f/j/c/c/fjcc0074_page4,Location,Region 9,"(0.16008491814136505, 0.3279854953289032, 0.21837420482188463, 0.33922254759818316)",2
f/j/c/c/fjcc0074_page4,Location,MCA San Antonio,"(0.1593082994222641, 0.35605114698410034, 0.2762040048837662, 0.36540450900793076)",2
f/j/c/c/fjcc0074_page4,Location,MCA San Antonio,"(0.15984627604484558, 0.38390615582466125, 0.27674350142478943, 0.39360769372433424)",2
f/j/c/c/fjcc0074_page4,Location,Region 12,"(0.15992951393127441, 0.41250374913215637, 0.22572247125208378, 0.4236202444881201)",2
f/j/c/c/fjcc0074_page4,Location,MCA Kansas City,"(0.15961946547031403, 0.4402496814727783, 0.27347715198993683, 0.45160299353301525)",2
f/j/c/c/fjcc0074_page4,Location,"Kansas City, KS","(0.15931251645088196, 0.4817972481250763, 0.26105317287147045, 0.4934454411268234)",2
f/j/c/c/fjcc0074_page4,Location,Wichita,"(0.15989720821380615, 0.5231995582580566, 0.20936890318989754, 0.5330318743363023)",2
f/j/c/c/fjcc0074_page4,Location,"Kansas City, MO","(0.1598861664533615, 0.56509929895401, 0.2672347482293844, 0.5770005360245705)",2
f/j/c/c/fjcc0074_page4,Location,Springfield,"(0.16072985529899597, 0.6069678664207458, 0.23010650277137756, 0.6190757360309362)",2
