id,pii_type,value,bbox,annotator
f/g/d/l/fgdl0043_page3,Person Name,Mr. Mike Donohue,"(0.1484203338623047, 0.11040627211332321, 0.31299885362386703, 0.12140375655144453)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. John Feddema,"(0.14890514314174652, 0.15802216529846191, 0.3135416731238365, 0.16837873682379723)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. John Gearhart,"(0.1485956758260727, 0.20403477549552917, 0.3236021623015404, 0.2144705429673195)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Dave Hall,"(0.14886336028575897, 0.2640717625617981, 0.28090058639645576, 0.27403957676142454)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Bob Kurschner,"(0.14886894822120667, 0.3100295066833496, 0.3242167755961418, 0.32049214094877243)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Pat Mattingly,"(0.1491560935974121, 0.3564741611480713, 0.3247477263212204, 0.3691757395863533)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Glen Shepard,"(0.14942945539951324, 0.41499432921409607, 0.31462641805410385, 0.4277636567130685)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Steve Sneegas,"(0.14960938692092896, 0.462472140789032, 0.3239563852548599, 0.47445205692201853)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. John Sowell,"(0.1497415155172348, 0.5090804696083069, 0.30252716690301895, 0.5190664306282997)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Bill Walsh,"(0.15035879611968994, 0.555388331413269, 0.29375552013516426, 0.5660484470427036)",0
f/g/d/l/fgdl0043_page3,Person Name,Mr. Don Phelps,"(0.15063615143299103, 0.6502758264541626, 0.29384924098849297, 0.6624892866238952)",0
f/g/d/l/fgdl0043_page3,Phone Number,916/348-7224,"(0.7631883025169373, 0.11204147338867188, 0.8841193988919258, 0.12306687422096729)",0
f/g/d/l/fgdl0043_page3,Phone Number,408/492-1276,"(0.7631166577339172, 0.16004934906959534, 0.8846766874194145, 0.17110876645892859)",0
f/g/d/l/fgdl0043_page3,Phone Number,415/964-4555,"(0.7640250325202942, 0.20564605295658112, 0.8848682716488838, 0.21635845489799976)",0
f/g/d/l/fgdl0043_page3,Phone Number,213/747-9326,"(0.7638751864433289, 0.264909952878952, 0.8841062858700752, 0.27597983833402395)",0
f/g/d/l/fgdl0043_page3,Phone Number,800/999-2377,"(0.7647920846939087, 0.31098783016204834, 0.8849326968193054, 0.32194709964096546)",0
f/g/d/l/fgdl0043_page3,Phone Number,213/692-3059,"(0.7645502686500549, 0.3572070300579071, 0.8854895234107971, 0.36854691430926323)",0
f/g/d/l/fgdl0043_page3,Phone Number,714/975-1108,"(0.7649608254432678, 0.41575145721435547, 0.8850777000188828, 0.4272614670917392)",0
f/g/d/l/fgdl0043_page3,Phone Number,714/371-8500,"(0.7641557455062866, 0.4623316526412964, 0.8855176419019699, 0.4739694697782397)",0
f/g/d/l/fgdl0043_page3,Phone Number,619/724-3286,"(0.7653428912162781, 0.5093614459037781, 0.8862388730049133, 0.520870316773653)",0
f/g/d/l/fgdl0043_page3,Phone Number,714/777-9200,"(0.7641248106956482, 0.5557202100753784, 0.8854644373059273, 0.5673850458115339)",0
f/g/d/l/fgdl0043_page3,Phone Number,213/944-5766,"(0.7643224596977234, 0.6495559215545654, 0.8859284445643425, 0.6611239146441221)",0
f/g/d/l/fgdl0043_page3,Location,"Sacramento, CA 95342","(0.4061022400856018, 0.13479562103748322, 0.6185116358101368, 0.146167304366827)",0
f/g/d/l/fgdl0043_page3,Location,"Santa Clara, CA 95054-2416","(0.40601110458374023, 0.1818002313375473, 0.6818546205759048, 0.19270745757967234)",0
f/g/d/l/fgdl0043_page3,Location,"Mountain View, CA 94041","(0.4051443934440613, 0.24059611558914185, 0.6503695771098137, 0.2523849131539464)",0
