id,pii_type,value,bbox,annotator
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",0
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",0
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",0
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.05413530394434929, 0.2543655335903168, 0.2713383287191391, 0.27046909369528294)",0
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.2839081287384033, 0.11622878164052963, 0.37882639467716217, 0.12880346830934286)",0
f/g/w/b/fgwb0124_page1,Date,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",0
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",1
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",1
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",1
f/g/w/b/fgwb0124_page1,Date,Date 12-5-78,"(0.5266775488853455, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",1
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",2
f/g/w/b/fgwb0124_page1,Location,Address 220,"(0.48907971382141113, 0.920876145362854, 0.6473802328109741, 0.9391722064465284)",2
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",2
f/g/w/b/fgwb0124_page1,Organization Name,MCA-GRAHAM Advertising,"(0.31769880652427673, 0.23759104311466217, 0.5862618684768677, 0.25261775590479374)",2
f/g/w/b/fgwb0124_page1,Organization Name,"Loews Theatres, Inc.","(0.05413530394434929, 0.2543655335903168, 0.2713383287191391, 0.27046909369528294)",2
f/g/w/b/fgwb0124_page1,Date,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",2
f/g/w/b/fgwb0124_page1,Contract Number,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",2
f/g/w/b/fgwb0124_page1,Contract Number,Lorillard Individual Consent and Release Form,"(0.2839081287384033, 0.11245643347501755, 0.7555923834443092, 0.12880346830934286)",2
