id,pii_type,value,bbox,annotator
f/g/x/c/fgxc0224_page5,Person Name,Biu,"(0.09672565758228302, 0.36749178171157837, 0.2042134776711464, 0.42284712940454483)",0
f/g/x/c/fgxc0224_page5,Person Name,William P. Whitlatch,"(0.1268540322780609, 0.42084720730781555, 0.32347381114959717, 0.43414668645709753)",0
f/g/x/c/fgxc0224_page5,Person Name,Mr. E. J. Fackelman,"(0.1847720891237259, 0.5103060603141785, 0.3706231936812401, 0.5226737037301064)",0
f/g/x/c/fgxc0224_page5,Person Name,Dr. J. L. Gemma,"(0.18525323271751404, 0.5250377058982849, 0.3331032395362854, 0.5372802363708615)",0
f/g/x/c/fgxc0224_page5,Person Name,Mr. J. D. Weber,"(0.18476635217666626, 0.5396654605865479, 0.3335484005510807, 0.5521107036620378)",0
f/g/x/c/fgxc0224_page5,Person Name,Mr. J. R. Moore,"(0.1843719184398651, 0.554613471031189, 0.33280767872929573, 0.5671932911500335)",0
f/g/x/c/fgxc0224_page5,Organization Name,Page Five,"(0.12895791232585907, 0.11005565524101257, 0.2162749022245407, 0.1251577427610755)",0
f/g/x/c/fgxc0224_page5,Organization Name,Biu,"(0.09672565758228302, 0.36749178171157837, 0.2042134776711464, 0.42284712940454483)",0
f/g/x/c/fgxc0224_page5,Organization Name,WPW/lw,"(0.1265277862548828, 0.47999224066734314, 0.1868627592921257, 0.49558497313410044)",0
f/g/x/c/fgxc0224_page5,Date,"February 7, 1991","(0.1289776861667633, 0.09480561316013336, 0.2842232286930084, 0.10955831874161959)",0
f/g/x/c/fgxc0224_page5,Person Name,Biu,"(0.09672565758228302, 0.36749178171157837, 0.2042134776711464, 0.42284712940454483)",1
f/g/x/c/fgxc0224_page5,Person Name,William P. Whitlatch,"(0.1268540322780609, 0.42084720730781555, 0.32347381114959717, 0.43414668645709753)",1
f/g/x/c/fgxc0224_page5,Person Name,Mr. E. J. Fackelman,"(0.1847720891237259, 0.5103060603141785, 0.3706231936812401, 0.5226737037301064)",1
f/g/x/c/fgxc0224_page5,Person Name,Dr. J. L. Gemma,"(0.18525323271751404, 0.5250377058982849, 0.3331032395362854, 0.5372802363708615)",1
f/g/x/c/fgxc0224_page5,Person Name,Mr. J. D. Weber,"(0.18476635217666626, 0.5396654605865479, 0.3335484005510807, 0.5521107036620378)",1
f/g/x/c/fgxc0224_page5,Person Name,Mr. J. R. Moore,"(0.1843719184398651, 0.554613471031189, 0.33280767872929573, 0.5671932911500335)",1
f/g/x/c/fgxc0224_page5,Location,Biu,"(0.09672565758228302, 0.36749178171157837, 0.2042134776711464, 0.42284712940454483)",1
f/g/x/c/fgxc0224_page5,Organization Name,Page Five,"(0.12895791232585907, 0.11005565524101257, 0.2162749022245407, 0.1251577427610755)",1
f/g/x/c/fgxc0224_page5,Date,"February 7, 1991","(0.1289776861667633, 0.09480561316013336, 0.2842232286930084, 0.10955831874161959)",1
f/g/x/c/fgxc0224_page5,Contract Number,WPW/lw,"(0.1265277862548828, 0.47999224066734314, 0.1868627592921257, 0.49558497313410044)",1
f/g/x/c/fgxc0224_page5,Person Name,Biu,"(0.09672565758228302, 0.36749178171157837, 0.2042134776711464, 0.42284712940454483)",2
f/g/x/c/fgxc0224_page5,Person Name,William P. Whitlatch,"(0.1268540322780609, 0.42084720730781555, 0.32347381114959717, 0.43414668645709753)",2
f/g/x/c/fgxc0224_page5,Person Name,Mr. E. J. Fackelman,"(0.1847720891237259, 0.5103060603141785, 0.3706231936812401, 0.5226737037301064)",2
f/g/x/c/fgxc0224_page5,Person Name,Dr. J. L. Gemma,"(0.18525323271751404, 0.5250377058982849, 0.3331032395362854, 0.5372802363708615)",2
f/g/x/c/fgxc0224_page5,Person Name,Mr. J. D. Weber,"(0.18476635217666626, 0.5396654605865479, 0.3335484005510807, 0.5521107036620378)",2
f/g/x/c/fgxc0224_page5,Person Name,Mr. J. R. Moore,"(0.1843719184398651, 0.554613471031189, 0.33280767872929573, 0.5671932911500335)",2
f/g/x/c/fgxc0224_page5,Organization Name,Page Five,"(0.12895791232585907, 0.11005565524101257, 0.2162749022245407, 0.1251577427610755)",2
f/g/x/c/fgxc0224_page5,Organization Name,Biu,"(0.09672565758228302, 0.36749178171157837, 0.2042134776711464, 0.42284712940454483)",2
f/g/x/c/fgxc0224_page5,Date,"February 7, 1991","(0.1289776861667633, 0.09480561316013336, 0.2842232286930084, 0.10955831874161959)",2
f/g/x/c/fgxc0224_page5,Contract Number,Page Five,"(0.12895791232585907, 0.11005565524101257, 0.2162749022245407, 0.1251577427610755)",2
f/g/x/c/fgxc0224_page5,Contract Number,MORE DIRECT MARKETING REPORT - COMPETITIVE CONTINUITY WAVE II,"(0.128037691116333, 0.15364710986614227, 0.7260583061724901, 0.16594027169048786)",2
f/g/x/c/fgxc0224_page5,Contract Number,Business Information and Analysis Department,"(0.12743331491947174, 0.43590253591537476, 0.5579649358987808, 0.4509691931307316)",2
f/g/x/c/fgxc0224_page5,Contract Number,WPW/lw,"(0.1265277862548828, 0.47999224066734314, 0.1868627592921257, 0.49558497313410044)",2
