id,pii_type,value,bbox,annotator
f/g/y/k/fgyk0087_page1,Person Name,Dr. G. R. Di Marco,"(0.23834945261478424, 0.24960528314113617, 0.4501441977918148, 0.26140389312058687)",0
f/g/y/k/fgyk0087_page1,Person Name,Alan Rodgman,"(0.23714441061019897, 0.27993905544281006, 0.3795824274420738, 0.29374401085078716)",0
f/g/y/k/fgyk0087_page1,Person Name,H. Cullman (PM),"(0.34069883823394775, 0.6164065599441528, 0.518778707832098, 0.6304682465270162)",0
f/g/y/k/fgyk0087_page1,Person Name,R. L. o. Ely (BAT),"(0.5383045077323914, 0.6168923377990723, 0.7564328089356422, 0.6308776084333658)",0
f/g/y/k/fgyk0087_page1,Person Name,T. C. H.,"(0.34069883823394775, 0.6174076199531555, 0.8298480063676834, 0.628439168445766)",0
f/g/y/k/fgyk0087_page1,Person Name,King (Imperial),"(0.11739369481801987, 0.6319692730903625, 0.3034731149673462, 0.646124261431396)",0
f/g/y/k/fgyk0087_page1,Person Name,A. whist (PM),"(0.3165183961391449, 0.6314111948013306, 0.47619687020778656, 0.645821531303227)",0
f/g/y/k/fgyk0087_page1,Person Name,C. Vogel (Reemtsma),"(0.4934437572956085, 0.632273256778717, 0.7202896922826767, 0.6458767242729664)",0
f/g/y/k/fgyk0087_page1,Person Name,"Mr. Don Hoel (Shook,","(0.618391215801239, 0.6472500562667847, 0.8530178517103195, 0.6609516758471727)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. Adelkofer,"(0.11625108867883682, 0.6782629489898682, 0.5926987491548061, 0.6894310805946589)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. Klus,"(0.2817857563495636, 0.6783145070075989, 0.5926987491548061, 0.6893968638032675)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. Osdene,"(0.5508220791816711, 0.678295373916626, 0.6790408566594124, 0.6893580770120025)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. Green,"(0.5508220791816711, 0.678466796875, 0.7971047163009644, 0.6893580770120025)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. Ingebrethsen,"(0.34019529819488525, 0.8026953935623169, 0.5383283197879791, 0.8161269528791308)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. Oldaker,"(0.34019529819488525, 0.8023450374603271, 0.6780837625265121, 0.8134377300739288)",0
f/g/y/k/fgyk0087_page1,Person Name,Mr. Heavner,"(0.735666036605835, 0.8026062846183777, 0.8686679378151894, 0.8133270004764199)",0
f/g/y/k/fgyk0087_page1,Person Name,Reynolds,"(0.7479355931282043, 0.8936196565628052, 0.843646377325058, 0.9075578078627586)",0
f/g/y/k/fgyk0087_page1,Location,Wistor-Salem.N.C 27102,"(0.621487557888031, 0.07574226707220078, 0.847782202064991, 0.08927174936980009)",0
f/g/y/k/fgyk0087_page1,Organization Name,R.J.Reynolds Tobacco Company,"(0.6232204437255859, 0.05653374269604683, 0.9631145969033241, 0.07604865729808807)",0
f/g/y/k/fgyk0087_page1,Organization Name,RUR,"(0.1321374475955963, 0.05554310232400894, 0.23535703867673874, 0.09323218837380409)",0
f/g/y/k/fgyk0087_page1,Organization Name,Infotab Board of Directors,"(0.1167803630232811, 0.5094246864318848, 0.42470506578683853, 0.5211193142458797)",0
f/g/y/k/fgyk0087_page1,Date,"April 17, 1986","(0.6225802302360535, 0.21896252036094666, 0.7889020629227161, 0.23341938853263855)",0
f/g/y/k/fgyk0087_page1,Date,"8 April, 1986","(0.48273882269859314, 0.5248251557350159, 0.6413088850677013, 0.5389243988320231)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. G. R. Di Marco,"(0.23834945261478424, 0.24960528314113617, 0.4501441977918148, 0.26140389312058687)",1
f/g/y/k/fgyk0087_page1,Person Name,Alan Rodgman,"(0.23714441061019897, 0.27993905544281006, 0.3795824274420738, 0.29374401085078716)",1
f/g/y/k/fgyk0087_page1,Person Name,H. Cullman (PM),"(0.34069883823394775, 0.6164065599441528, 0.518778707832098, 0.6304682465270162)",1
f/g/y/k/fgyk0087_page1,Person Name,R. L. o. Ely (BAT),"(0.5383045077323914, 0.6168923377990723, 0.7564328089356422, 0.6308776084333658)",1
f/g/y/k/fgyk0087_page1,Person Name,T. C. H.,"(0.34069883823394775, 0.6174076199531555, 0.8298480063676834, 0.628439168445766)",1
f/g/y/k/fgyk0087_page1,Person Name,R. J.,"(0.7365016341209412, 0.6323657631874084, 0.7940679378807545, 0.6438969019800425)",1
