id,pii_type,value,bbox,annotator
f/h/c/v/fhcv0056_page1,Person Name,H. Jachimsky,"(0.3880813717842102, 0.3104775547981262, 0.501177616417408, 0.3240133561193943)",0
f/h/c/v/fhcv0056_page1,Person Name,H.-W. Lang,"(0.38788384199142456, 0.32737088203430176, 0.4857747480273247, 0.3409276260063052)",0
f/h/c/v/fhcv0056_page1,Person Name,N. Rave,"(0.38863468170166016, 0.34388408064842224, 0.457506250590086, 0.3549676211550832)",0
f/h/c/v/fhcv0056_page1,Person Name,M. Rave,"(0.11665046960115433, 0.8183757066726685, 0.29146040976047516, 0.8745786771178246)",0
f/h/c/v/fhcv0056_page1,Person Name,N. Rave,"(0.13355454802513123, 0.869796633720398, 0.2038215808570385, 0.8812767770141363)",0
f/h/c/v/fhcv0056_page1,Person Name,Dr. Wolf Reininghaus,"(0.7458989024162292, 0.9262463450431824, 0.85229517146945, 0.9351181713864207)",0
f/h/c/v/fhcv0056_page1,Phone Number,(0 22 03) 303-362,"(0.6450832486152649, 0.15994834899902344, 0.7759122997522354, 0.17775815445929766)",0
f/h/c/v/fhcv0056_page1,Phone Number,(0 22 03)303-1,"(0.6452966332435608, 0.15994834899902344, 0.7759122997522354, 0.16882087662816048)",0
f/h/c/v/fhcv0056_page1,Phone Number,001 (215) 386-6362,"(0.4444316327571869, 0.5514345169067383, 0.6137020066380501, 0.5657620364800096)",0
f/h/c/v/fhcv0056_page1,Phone Number,001 (215) 386-2822,"(0.4440659284591675, 0.5673453211784363, 0.6138115525245667, 0.5816789455711842)",0
f/h/c/v/fhcv0056_page1,Phone Number,001 (215) 222-0840,"(0.4444583058357239, 0.5833190679550171, 0.6142443716526031, 0.5978214284405112)",0
f/h/c/v/fhcv0056_page1,Location,Fuggerstr. 3 . D-51149 Cologne,"(0.12628138065338135, 0.1910918653011322, 0.3323090150952339, 0.20264223963022232)",0
f/h/c/v/fhcv0056_page1,Location,3501 Market Street Ablage,"(0.3528212904930115, 0.43324801325798035, 0.8633875995874405, 0.4722096845507622)",0
f/h/c/v/fhcv0056_page1,Location,"Philadelphia, PA 19104","(0.3532647490501404, 0.4588014781475067, 0.5538030378520489, 0.4722202196717262)",0
f/h/c/v/fhcv0056_page1,Location,Cologne,"(0.7326055765151978, 0.917941153049469, 0.7753564789891243, 0.9261822821572423)",0
f/h/c/v/fhcv0056_page1,Organization Name,INBIFO Institut für biologische Forschung GmbH,"(0.12526564300060272, 0.10606461763381958, 0.5051937289535999, 0.11889870557934046)",0
f/h/c/v/fhcv0056_page1,Organization Name,INBIFO Institut für biologische Forschung GmbH,"(0.12629540264606476, 0.17971502244472504, 0.4413568191230297, 0.19105011690407991)",0
f/h/c/v/fhcv0056_page1,Organization Name,35 Records,"(0.8228812217712402, 0.34583714604377747, 0.8878211565315723, 0.35368520952761173)",0
f/h/c/v/fhcv0056_page1,Organization Name,Federal Express,"(0.20415444672107697, 0.7611193060874939, 0.3427145332098007, 0.7746851500123739)",0
f/h/c/v/fhcv0056_page1,Date,"April 25, 1997","(0.3506118059158325, 0.26167958974838257, 0.47083765640854836, 0.2752148676663637)",0
f/h/c/v/fhcv0056_page1,Contract Number,1275,"(0.4020214378833771, 0.13685494661331177, 0.47751277685165405, 0.158400010317564)",0
f/h/c/v/fhcv0056_page1,Contract Number,0020668,"(0.34624341130256653, 0.6660125851631165, 0.422060951590538, 0.6773459184914827)",0
f/h/c/v/fhcv0056_page1,Contract Number,MB549,"(0.5903843641281128, 0.6660131216049194, 0.6513358913362026, 0.6773412469774485)",0
f/h/c/v/fhcv0056_page1,Person Name,H. Jachimsky,"(0.3880813717842102, 0.3104775547981262, 0.501177616417408, 0.3240133561193943)",1
f/h/c/v/fhcv0056_page1,Person Name,H.-W. Lang,"(0.38788384199142456, 0.32737088203430176, 0.4857747480273247, 0.3409276260063052)",1
f/h/c/v/fhcv0056_page1,Person Name,N. Rave,"(0.38863468170166016, 0.34388408064842224, 0.457506250590086, 0.3549676211550832)",1
f/h/c/v/fhcv0056_page1,Person Name,M. Rave,"(0.11665046960115433, 0.8183757066726685, 0.29146040976047516, 0.8745786771178246)",1
f/h/c/v/fhcv0056_page1,Person Name,N. Rave,"(0.13355454802513123, 0.869796633720398, 0.2038215808570385, 0.8812767770141363)",1
f/h/c/v/fhcv0056_page1,Person Name,Dr. Wolf Reininghaus,"(0.7458989024162292, 0.9262463450431824, 0.85229517146945, 0.9351181713864207)",1
f/h/c/v/fhcv0056_page1,Phone Number,Tolephone (0 22 03)303-1,"(0.6452966332435608, 0.15994834899902344, 0.7759122997522354, 0.16882087662816048)",1
f/h/c/v/fhcv0056_page1,Phone Number,Fax No.: 001 (215) 386-6362,"(0.3546997010707855, 0.5514345169067383, 0.6137020066380501, 0.5657620364800096)",1
f/h/c/v/fhcv0056_page1,Phone Number,001 (215) 386-2822,"(0.4440659284591675, 0.5673453211784363, 0.6138115525245667, 0.5816789455711842)",1
