id,pii_type,value,bbox,annotator
f/h/m/m/fhmm0017_page2,Person Name,Machilor,"(0.6232517957687378, 0.8789812326431274, 0.8888271749019623, 0.9367566928267479)",0
f/h/m/m/fhmm0017_page2,Location,05489,"(0.7464684844017029, 0.013359037227928638, 0.8327800706028938, 0.03838691208511591)",0
f/h/m/m/fhmm0017_page2,Location,Machilor,"(0.6232517957687378, 0.8789812326431274, 0.8888271749019623, 0.9367566928267479)",0
f/h/m/m/fhmm0017_page2,Organization Name,Fiske Brothers Refining Co. Machilor,"(0.18836599588394165, 0.8789812326431274, 0.8888271749019623, 0.9367566928267479)",0
f/h/m/m/fhmm0017_page2,Date,"September 24, 1985","(0.20427455008029938, 0.9366567730903625, 0.38223982602357864, 0.9503885833546519)",0
f/h/m/m/fhmm0017_page2,Contract Number,05489,"(0.7464684844017029, 0.013359037227928638, 0.8327800706028938, 0.03838691208511591)",0
f/h/m/m/fhmm0017_page2,Location,05489,"(0.7464684844017029, 0.013359037227928638, 0.8327800706028938, 0.03838691208511591)",1
f/h/m/m/fhmm0017_page2,Location,Machilor,"(0.6232517957687378, 0.8789812326431274, 0.8888271749019623, 0.9367566928267479)",1
f/h/m/m/fhmm0017_page2,Organization Name,Fiske Brothers Refining Co. Machilor,"(0.18836599588394165, 0.8789812326431274, 0.8888271749019623, 0.9367566928267479)",1
f/h/m/m/fhmm0017_page2,Date,"DATE PREPARED September 24, 1985","(0.06951366364955902, 0.9366567730903625, 0.38223982602357864, 0.9503885833546519)",1
f/h/m/m/fhmm0017_page2,Contract Number,05489,"(0.7464684844017029, 0.013359037227928638, 0.8327800706028938, 0.03838691208511591)",1
f/h/m/m/fhmm0017_page2,Organization Name,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",2
f/h/m/m/fhmm0017_page2,Date,"September 24, 1985","(0.20427455008029938, 0.9366567730903625, 0.38223982602357864, 0.9503885833546519)",2
f/h/m/m/fhmm0017_page2,Contract Number,05489,"(0.7464684844017029, 0.013359037227928638, 0.8327800706028938, 0.03838691208511591)",2
