id,pii_type,value,bbox,annotator
f/h/v/j/fhvj0109_page1,Person Name,Glenn E. Barnett,"(0.3755102753639221, 0.7370092868804932, 0.5273450314998627, 0.7489793477579951)",0
f/h/v/j/fhvj0109_page1,Organization Name,RICHMOND,"(0.2224256694316864, 0.04488909989595413, 0.30058053880929947, 0.05803213082253933)",0
f/h/v/j/fhvj0109_page1,Organization Name,ALPINE K.S.,"(0.22311075031757355, 0.06065084785223007, 0.32698000594973564, 0.07253335043787956)",0
f/h/v/j/fhvj0109_page1,Organization Name,DeMauduit,"(0.3358365595340729, 0.32694393396377563, 0.42028599232435226, 0.33840566501021385)",0
f/h/v/j/fhvj0109_page1,Organization Name,J.M. Fry,"(0.2883177697658539, 0.35701632499694824, 0.36495498195290565, 0.3707220135256648)",0
f/h/v/j/fhvj0109_page1,Organization Name,White Benkert,"(0.45348426699638367, 0.45974454283714294, 0.5872073993086815, 0.4721651189029217)",0
f/h/v/j/fhvj0109_page1,Organization Name,DeMauduit,"(0.24414484202861786, 0.8388086557388306, 0.3300510421395302, 0.850000387057662)",0
f/h/v/j/fhvj0109_page1,Date,"May 19, 1980","(0.8408176898956299, 0.061307527124881744, 0.9557763151824474, 0.0767777394503355)",0
f/h/v/j/fhvj0109_page1,Date,"January 22, 1979","(0.5848159193992615, 0.8243157267570496, 0.7340311147272587, 0.837430015206337)",0
f/h/v/j/fhvj0109_page1,Contract Number,10-123-A,"(0.48723265528678894, 0.31109270453453064, 0.5658499598503113, 0.3236865159124136)",0
f/h/v/j/fhvj0109_page1,Contract Number,10-123-A,"(0.48485130071640015, 0.8538007736206055, 0.5648350492119789, 0.8658873625099659)",0
f/h/v/j/fhvj0109_page1,Contract Number,10-145-A,"(0.8779436349868774, 0.32238686084747314, 0.9524139910936356, 0.33573091588914394)",0
f/h/v/j/fhvj0109_page1,Contract Number,60-900-A,"(0.6715956926345825, 0.3544379770755768, 0.7554150968790054, 0.3684705700725317)",0
f/h/v/j/fhvj0109_page1,Contract Number,12-541-A,"(0.5140089392662048, 0.4737127721309662, 0.5909273773431778, 0.48601518105715513)",0
f/h/v/j/fhvj0109_page1,Contract Number,60-406-A,"(0.7131443619728088, 0.49451571702957153, 0.7930644601583481, 0.5064060166478157)",0
f/h/v/j/fhvj0109_page1,Contract Number,2031316021,"(0.7669480443000793, 0.9330266118049622, 0.9471146613359451, 0.9534038081765175)",0
f/h/v/j/fhvj0109_page1,Person Name,Glenn E. Barnett,"(0.3755102753639221, 0.7370092868804932, 0.5273450314998627, 0.7489793477579951)",1
f/h/v/j/fhvj0109_page1,Phone Number,2031316021,"(0.7669480443000793, 0.9330266118049622, 0.9471146613359451, 0.9534038081765175)",1
f/h/v/j/fhvj0109_page1,Organization Name,ALPINE K.S. MEN.,"(0.22311075031757355, 0.06065084785223007, 0.3751222938299179, 0.07253335043787956)",1
f/h/v/j/fhvj0109_page1,Organization Name,DeMauduit,"(0.3358365595340729, 0.32694393396377563, 0.42028599232435226, 0.33840566501021385)",1
f/h/v/j/fhvj0109_page1,Organization Name,Alpine,"(0.34640976786613464, 0.34187185764312744, 0.4040137678384781, 0.35614737030118704)",1
f/h/v/j/fhvj0109_page1,Organization Name,J.M. Fry,"(0.2883177697658539, 0.35701632499694824, 0.36495498195290565, 0.3707220135256648)",1
f/h/v/j/fhvj0109_page1,Organization Name,Benkert,"(0.5120421648025513, 0.45982494950294495, 0.5872073993086815, 0.4721651189029217)",1
f/h/v/j/fhvj0109_page1,Organization Name,Ajax,"(0.4174591302871704, 0.49557438492774963, 0.4562363922595978, 0.5086643910035491)",1
f/h/v/j/fhvj0109_page1,Organization Name,DeMauduit,"(0.24414484202861786, 0.8388086557388306, 0.3300510421395302, 0.850000387057662)",1
f/h/v/j/fhvj0109_page1,Date,"Effective Date: May 19, 1980","(0.6839838027954102, 0.06015400215983391, 0.9557763151824474, 0.0767777394503355)",1
f/h/v/j/fhvj0109_page1,Date,"dated January 22, 1979.","(0.5316933989524841, 0.8238087296485901, 0.7340311147272587, 0.837430015206337)",1
f/h/v/j/fhvj0109_page1,Contract Number,2031316021,"(0.7669480443000793, 0.9330266118049622, 0.9471146613359451, 0.9534038081765175)",1
f/h/v/j/fhvj0109_page1,Person Name,Glenn E. Barnett,"(0.3755102753639221, 0.7370092868804932, 0.5273450314998627, 0.7489793477579951)",2
f/h/v/j/fhvj0109_page1,Phone Number,2031316021,"(0.7669480443000793, 0.9330266118049622, 0.9471146613359451, 0.9534038081765175)",2
f/h/v/j/fhvj0109_page1,Location,RICHMOND,"(0.2224256694316864, 0.04488909989595413, 0.30058053880929947, 0.05803213082253933)",2
f/h/v/j/fhvj0109_page1,Organization Name,RICHMOND,"(0.2224256694316864, 0.04488909989595413, 0.30058053880929947, 0.05803213082253933)",2
f/h/v/j/fhvj0109_page1,Organization Name,ALPINE K.S.,"(0.22311075031757355, 0.06065084785223007, 0.32698000594973564, 0.07253335043787956)",2
f/h/v/j/fhvj0109_page1,Organization Name,ALPINE K.S.,"(0.6158121824264526, 0.10654880106449127, 0.7201515361666679, 0.11812820751219988)",2
f/h/v/j/fhvj0109_page1,Organization Name,DeMauduit,"(0.3358365595340729, 0.32694393396377563, 0.42028599232435226, 0.33840566501021385)",2
f/h/v/j/fhvj0109_page1,Organization Name,Alpine,"(0.34640976786613464, 0.34187185764312744, 0.4040137678384781, 0.35614737030118704)",2
f/h/v/j/fhvj0109_page1,Organization Name,J.M. Fry,"(0.2883177697658539, 0.35701632499694824, 0.36495498195290565, 0.3707220135256648)",2
f/h/v/j/fhvj0109_page1,Organization Name,White Benkert,"(0.45348426699638367, 0.45974454283714294, 0.5872073993086815, 0.4721651189029217)",2
f/h/v/j/fhvj0109_page1,Organization Name,Ajax,"(0.4174591302871704, 0.49557438492774963, 0.4562363922595978, 0.5086643910035491)",2
f/h/v/j/fhvj0109_page1,Organization Name,DeMauduit,"(0.24414484202861786, 0.8388086557388306, 0.3300510421395302, 0.850000387057662)",2
f/h/v/j/fhvj0109_page1,Date,"May 19, 1980","(0.8408176898956299, 0.061307527124881744, 0.9557763151824474, 0.0767777394503355)",2
f/h/v/j/fhvj0109_page1,Date,"January 22, 1979","(0.5848159193992615, 0.8243157267570496, 0.7340311147272587, 0.837430015206337)",2
f/h/v/j/fhvj0109_page1,Contract Number,RICHMOND,"(0.2224256694316864, 0.04488909989595413, 0.30058053880929947, 0.05803213082253933)",2
f/h/v/j/fhvj0109_page1,Contract Number,ALPINE K.S. MEN.,"(0.22311075031757355, 0.06065084785223007, 0.3751222938299179, 0.07253335043787956)",2
f/h/v/j/fhvj0109_page1,Contract Number,CIGARETTE DESCRIPTIVE FOR ALPINE K.S. MENTHOL,"(0.36766350269317627, 0.10638026148080826, 0.7988292351365089, 0.11892456281930208)",2
f/h/v/j/fhvj0109_page1,Contract Number,10-123-A,"(0.48723265528678894, 0.31109270453453064, 0.5658499598503113, 0.3236865159124136)",2
f/h/v/j/fhvj0109_page1,Contract Number,DeMauduit Ref. 110-6,"(0.3358365595340729, 0.32523688673973083, 0.5311627760529518, 0.33855866454541683)",2
