id,pii_type,value,bbox,annotator
f/h/x/h/fhxh0140_page1,Person Name,Secretary Weinberger,"(0.43598660826683044, 0.7314638495445251, 0.6666639372706413, 0.7447763876989484)",0
f/h/x/h/fhxh0140_page1,Organization Name,U.S. ARMY,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",0
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",0
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",0
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",0
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",0
f/h/x/h/fhxh0140_page1,Person Name,William H. Taft IV,"(0.14345604181289673, 0.379707396030426, 0.3530700895935297, 0.3920312076807022)",1
f/h/x/h/fhxh0140_page1,Person Name,Secretary Weinberger,"(0.43598660826683044, 0.7314638495445251, 0.6666639372706413, 0.7447763876989484)",1
f/h/x/h/fhxh0140_page1,Organization Name,U.S. ARMY,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",1
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",1
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",1
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",1
f/h/x/h/fhxh0140_page1,Person Name,William H. Taft IV,"(0.14345604181289673, 0.379707396030426, 0.3530700895935297, 0.3920312076807022)",2
f/h/x/h/fhxh0140_page1,Person Name,Weinberger,"(0.14430667459964752, 0.7035842537879944, 0.26072411984205246, 0.716799016110599)",2
f/h/x/h/fhxh0140_page1,Person Name,Secretary Weinberger,"(0.43598660826683044, 0.7314638495445251, 0.6666639372706413, 0.7447763876989484)",2
f/h/x/h/fhxh0140_page1,Organization Name,U.S. ARMY,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",2
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",2
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",2
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",2
