id,pii_type,value,bbox,annotator
f/j/b/v/fjbv0033_page1,Person Name,Mr. Kloepfer,"(0.21601161360740662, 0.10242144763469696, 0.35429469496011734, 0.11612132750451565)",0
f/j/b/v/fjbv0033_page1,Person Name,Paul Knopick,"(0.2169688642024994, 0.13059508800506592, 0.35546326637268066, 0.14535477198660374)",0
f/j/b/v/fjbv0033_page1,Person Name,Tom Humber,"(0.16654814779758453, 0.7400617003440857, 0.2775682061910629, 0.7521913293749094)",0
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.6731666922569275, 0.23394639790058136, 0.784903310239315, 0.24770640768110752)",0
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2149208039045334, 0.2916172742843628, 0.317220538854599, 0.3054663185030222)",0
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2599479556083679, 0.33507484197616577, 0.36399463564157486, 0.34863753989338875)",0
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.15766626596450806, 0.42162781953811646, 0.2594852074980736, 0.43535670172423124)",0
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.1907033771276474, 0.5663230419158936, 0.2934338338673115, 0.580278760753572)",0
f/j/b/v/fjbv0033_page1,Organization Name,UPI,"(0.4324313700199127, 0.233545184135437, 0.46764589473605156, 0.24488732684403658)",0
f/j/b/v/fjbv0033_page1,Organization Name,NCI,"(0.3977676033973694, 0.320507287979126, 0.4315357320010662, 0.3316816855221987)",0
f/j/b/v/fjbv0033_page1,Organization Name,NCI,"(0.21485404670238495, 0.34919294714927673, 0.24814479798078537, 0.36053702235221863)",0
f/j/b/v/fjbv0033_page1,Organization Name,Oak Ridge,"(0.25832104682922363, 0.6234329342842102, 0.3817955181002617, 0.6373004065826535)",0
f/j/b/v/fjbv0033_page1,Date,"August 4, 1981","(0.2157881259918213, 0.16071009635925293, 0.37598399072885513, 0.17523230146616697)",0
f/j/b/v/fjbv0033_page1,Contract Number,T109721082,"(0.8591705560684204, 0.9685049653053284, 0.971289798617363, 0.9823290212079883)",0
f/j/b/v/fjbv0033_page1,Person Name,Mr. Kloepfer,"(0.21601161360740662, 0.10242144763469696, 0.35429469496011734, 0.11612132750451565)",1
f/j/b/v/fjbv0033_page1,Person Name,Paul Knopick,"(0.2169688642024994, 0.13059508800506592, 0.35546326637268066, 0.14535477198660374)",1
f/j/b/v/fjbv0033_page1,Person Name,Tom Humber,"(0.16654814779758453, 0.7400617003440857, 0.2775682061910629, 0.7521913293749094)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.6731666922569275, 0.23394639790058136, 0.784903310239315, 0.24770640768110752)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2149208039045334, 0.2916172742843628, 0.317220538854599, 0.3054663185030222)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2599479556083679, 0.33507484197616577, 0.36399463564157486, 0.34863753989338875)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.15766626596450806, 0.42162781953811646, 0.2594852074980736, 0.43535670172423124)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.7202063202857971, 0.5086270570755005, 0.8220424503087997, 0.5228469874709845)",1
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.1907033771276474, 0.5663230419158936, 0.2934338338673115, 0.580278760753572)",1
f/j/b/v/fjbv0033_page1,Organization Name,UPI,"(0.4324313700199127, 0.233545184135437, 0.46764589473605156, 0.24488732684403658)",1
f/j/b/v/fjbv0033_page1,Organization Name,Oak Ridge,"(0.25832104682922363, 0.6234329342842102, 0.3817955181002617, 0.6373004065826535)",1
f/j/b/v/fjbv0033_page1,Date,AUG 4 1981,"(0.7051432132720947, 0.09362906962633133, 0.8149260021746159, 0.11680813319981098)",1
f/j/b/v/fjbv0033_page1,Date,"August 4, 1981","(0.2157881259918213, 0.16071009635925293, 0.37598399072885513, 0.17523230146616697)",1
f/j/b/v/fjbv0033_page1,Contract Number,T109721082,"(0.8591705560684204, 0.9685049653053284, 0.971289798617363, 0.9823290212079883)",1
f/j/b/v/fjbv0033_page1,Person Name,Mr. Kloepfer,"(0.21601161360740662, 0.10242144763469696, 0.35429469496011734, 0.11612132750451565)",2
f/j/b/v/fjbv0033_page1,Person Name,Paul Knopick,"(0.2169688642024994, 0.13059508800506592, 0.35546326637268066, 0.14535477198660374)",2
f/j/b/v/fjbv0033_page1,Person Name,Tom Humber,"(0.16654814779758453, 0.7400617003440857, 0.2775682061910629, 0.7521913293749094)",2
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.6731666922569275, 0.23394639790058136, 0.784903310239315, 0.24770640768110752)",2
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2149208039045334, 0.2916172742843628, 0.317220538854599, 0.3054663185030222)",2
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.2599479556083679, 0.33507484197616577, 0.36399463564157486, 0.34863753989338875)",2
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.15766626596450806, 0.42162781953811646, 0.2594852074980736, 0.43535670172423124)",2
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.7202063202857971, 0.5086270570755005, 0.8220424503087997, 0.5228469874709845)",2
f/j/b/v/fjbv0033_page1,Location,Hong Kong,"(0.1907033771276474, 0.5663230419158936, 0.2934338338673115, 0.580278760753572)",2
f/j/b/v/fjbv0033_page1,Organization Name,UPI,"(0.4324313700199127, 0.233545184135437, 0.46764589473605156, 0.24488732684403658)",2
f/j/b/v/fjbv0033_page1,Date,"August 4, 1981","(0.2157881259918213, 0.16071009635925293, 0.37598399072885513, 0.17523230146616697)",2
f/j/b/v/fjbv0033_page1,Contract Number,PK,"(0.2557374835014343, 0.11921750754117966, 0.2939217910170555, 0.13258259929716587)",2
f/j/b/v/fjbv0033_page1,Contract Number,T109721082,"(0.8591705560684204, 0.9685049653053284, 0.971289798617363, 0.9823290212079883)",2
f/j/b/v/fjbv0033_page1,Contract Number,PK/gd,"(0.11098702251911163, 0.6956591010093689, 0.16663002595305443, 0.7102544782683253)",2
