id,pii_type,value,bbox,annotator
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.12986408174037933, 0.09690435975790024, 0.2312946915626526, 0.1264666672796011)",0
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.2952531576156616, 0.30818793177604675, 0.3392745181918144, 0.3200027719140053)",0
f/j/b/w/fjbw0138_page1,Organization Name,CARLTON,"(0.3288513123989105, 0.3245648145675659, 0.4162195697426796, 0.33649071771651506)",0
f/j/b/w/fjbw0138_page1,Date,09/03/96,"(0.5640695691108704, 0.8477923274040222, 0.6361344307661057, 0.8597503351047635)",0
f/j/b/w/fjbw0138_page1,Contract Number,C #2311,"(0.5643104314804077, 0.8313854932785034, 0.6305275820195675, 0.8432517042383552)",0
f/j/b/w/fjbw0138_page1,Phone Number,621915825,"(0.686374306678772, 0.8674290180206299, 0.83902508020401, 0.8833270482718945)",1
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.12986408174037933, 0.09690435975790024, 0.2312946915626526, 0.1264666672796011)",1
f/j/b/w/fjbw0138_page1,Organization Name,CARLTON,"(0.3288513123989105, 0.3245648145675659, 0.4162195697426796, 0.33649071771651506)",1
f/j/b/w/fjbw0138_page1,Organization Name,CARLTON,"(0.10583711415529251, 0.4394886791706085, 0.19206823408603668, 0.4512462066486478)",1
f/j/b/w/fjbw0138_page1,Contract Number,C #2311 (CC),"(0.5643104314804077, 0.8313854932785034, 0.6766306273639202, 0.8462249394506216)",1
f/j/b/w/fjbw0138_page1,Organization Name,B&W,"(0.12986408174037933, 0.09690435975790024, 0.2312946915626526, 0.1264666672796011)",2
f/j/b/w/fjbw0138_page1,Organization Name,CARLTON,"(0.264928936958313, 0.23214949667453766, 0.3843414857983589, 0.24768872186541557)",2
f/j/b/w/fjbw0138_page1,Organization Name,CARLTON,"(0.3288513123989105, 0.3245648145675659, 0.4162195697426796, 0.33649071771651506)",2
f/j/b/w/fjbw0138_page1,Date,09/03/96,"(0.5640695691108704, 0.8477923274040222, 0.6361344307661057, 0.8597503351047635)",2
f/j/b/w/fjbw0138_page1,Contract Number,C #2311 (CC),"(0.5643104314804077, 0.8313854932785034, 0.6766306273639202, 0.8462249394506216)",2
