id,pii_type,value,bbox,annotator
f/g/d/n/fgdn0202_page1,Person Name,His Exellency The Prime Minister,"(0.1882948875427246, 0.16694748401641846, 0.4080824926495552, 0.17919191252440214)",0
f/g/d/n/fgdn0202_page1,Person Name,"Your Excellency,","(0.1881074458360672, 0.2485743761062622, 0.3023098260164261, 0.26064656022936106)",0
f/g/d/n/fgdn0202_page1,Location,Bangkok,"(0.18760061264038086, 0.19403432309627533, 0.24929582327604294, 0.20572737697511911)",0
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18832312524318695, 0.20770575106143951, 0.2461017146706581, 0.2182137668132782)",0
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18705052137374878, 0.32926714420318604, 0.248348169028759, 0.34077800810337067)",0
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.18775133788585663, 0.1807791143655777, 0.34699052572250366, 0.19286934472620487)",0
f/g/d/n/fgdn0202_page1,Organization Name,Ministry of Public Health,"(0.3465515673160553, 0.6566479206085205, 0.5081244595348835, 0.6689146440476179)",0
f/g/d/n/fgdn0202_page1,Person Name,His Exellency The Prime Minister,"(0.1882948875427246, 0.16694748401641846, 0.4080824926495552, 0.17919191252440214)",1
f/g/d/n/fgdn0202_page1,Person Name,"Your Excellency,","(0.1881074458360672, 0.2485743761062622, 0.3023098260164261, 0.26064656022936106)",1
f/g/d/n/fgdn0202_page1,Phone Number,9650,"(0.4363096356391907, 0.8511533141136169, 0.468302384018898, 0.8594030700623989)",1
f/g/d/n/fgdn0202_page1,Location,Bangkok,"(0.18760061264038086, 0.19403432309627533, 0.24929582327604294, 0.20572737697511911)",1
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18832312524318695, 0.20770575106143951, 0.2461017146706581, 0.2182137668132782)",1
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18705052137374878, 0.32926714420318604, 0.248348169028759, 0.34077800810337067)",1
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.18775133788585663, 0.1807791143655777, 0.34699052572250366, 0.19286934472620487)",1
f/g/d/n/fgdn0202_page1,Organization Name,Ministry of Public Health,"(0.3465515673160553, 0.6566479206085205, 0.5081244595348835, 0.6689146440476179)",1
f/g/d/n/fgdn0202_page1,Person Name,His Exellency The Prime Minister,"(0.1882948875427246, 0.16694748401641846, 0.4080824926495552, 0.17919191252440214)",2
f/g/d/n/fgdn0202_page1,Location,PRAFT,"(0.44747194647789, 0.13345478475093842, 0.49526940658688545, 0.1427277335897088)",2
f/g/d/n/fgdn0202_page1,Location,Bangkok,"(0.18760061264038086, 0.19403432309627533, 0.24929582327604294, 0.20572737697511911)",2
f/g/d/n/fgdn0202_page1,Location,Thailand,"(0.18832312524318695, 0.20770575106143951, 0.2461017146706581, 0.2182137668132782)",2
f/g/d/n/fgdn0202_page1,Organization Name,Royal Thai Government,"(0.18775133788585663, 0.1807791143655777, 0.34699052572250366, 0.19286934472620487)",2
f/g/d/n/fgdn0202_page1,Organization Name,Ministry of Public Health,"(0.3465515673160553, 0.6566479206085205, 0.5081244595348835, 0.6689146440476179)",2
