id,pii_type,value,bbox,annotator
f/g/m/p/fgmp0189_page3,Phone Number,70071 5263,"(0.018600156530737877, 0.9760270714759827, 0.1225179098546505, 0.9885292276740074)",0
f/g/m/p/fgmp0189_page3,Location,Tobaccoville,"(0.7329360246658325, 0.27342572808265686, 0.8423226624727249, 0.2861985759809613)",0
f/g/m/p/fgmp0189_page3,Organization Name,RJR,"(0.6070552468299866, 0.1334511786699295, 0.6447007805109024, 0.14592187199741602)",0
f/g/m/p/fgmp0189_page3,Organization Name,RJR,"(0.5124077200889587, 0.15018399059772491, 0.5498561300337315, 0.16308505274355412)",0
f/g/m/p/fgmp0189_page3,Organization Name,RJR,"(0.671476423740387, 0.20305372774600983, 0.7092607691884041, 0.21596559323370457)",0
f/g/m/p/fgmp0189_page3,Contract Number,RJR0000000046027194,"(0.01940491609275341, 0.9583040475845337, 0.2333031129091978, 0.9717414658516645)",0
f/g/m/p/fgmp0189_page3,Phone Number,70071 5263,"(0.018600156530737877, 0.9760270714759827, 0.1225179098546505, 0.9885292276740074)",1
f/g/m/p/fgmp0189_page3,Organization Name,RJR,"(0.6070552468299866, 0.1334511786699295, 0.6447007805109024, 0.14592187199741602)",1
f/g/m/p/fgmp0189_page3,Organization Name,RJR,"(0.5124077200889587, 0.15018399059772491, 0.5498561300337315, 0.16308505274355412)",1
f/g/m/p/fgmp0189_page3,Organization Name,RJR,"(0.671476423740387, 0.20305372774600983, 0.7092607691884041, 0.21596559323370457)",1
f/g/m/p/fgmp0189_page3,Organization Name,Tobaccoville,"(0.7329360246658325, 0.27342572808265686, 0.8423226624727249, 0.2861985759809613)",1
f/g/m/p/fgmp0189_page3,Organization Name,RJR0000000046027194,"(0.01940491609275341, 0.9583040475845337, 0.2333031129091978, 0.9717414658516645)",1
f/g/m/p/fgmp0189_page3,Contract Number,RJR0000000046027194,"(0.01940491609275341, 0.9583040475845337, 0.2333031129091978, 0.9717414658516645)",1
f/g/m/p/fgmp0189_page3,Phone Number,70071 5263,"(0.018600156530737877, 0.9760270714759827, 0.1225179098546505, 0.9885292276740074)",2
f/g/m/p/fgmp0189_page3,Location,Tobaccoville,"(0.7329360246658325, 0.27342572808265686, 0.8423226624727249, 0.2861985759809613)",2
f/g/m/p/fgmp0189_page3,Location,https://www.industrydocuments.ucsf.edu/docs/fgmp0189,"(0.2761733829975128, 0.9818781614303589, 0.7918697893619537, 0.9976108279079199)",2
f/g/m/p/fgmp0189_page3,Contract Number,RJR0000000046027194,"(0.01940491609275341, 0.9583040475845337, 0.2333031129091978, 0.9717414658516645)",2
