id,pii_type,value,bbox,annotator
f/g/w/k/fgwk0174_page4,Person Name,"Timothy M. Finnegan, Esq.","(0.1592749059200287, 0.0623973086476326, 0.40495648235082626, 0.07796063553541899)",0
f/g/w/k/fgwk0174_page4,Person Name,Hirsch,"(0.8312690854072571, 0.1366785615682602, 0.8916540071368217, 0.1487578358501196)",0
f/g/w/k/fgwk0174_page4,Person Name,"Max Crohn, Esq.","(0.20659570395946503, 0.5591134428977966, 0.3516296297311783, 0.5738509548828006)",0
f/g/w/k/fgwk0174_page4,Person Name,Dr. Charles Nystrom,"(0.21779277920722961, 0.5909700393676758, 0.41335903853178024, 0.6045568315312266)",0
f/g/w/k/fgwk0174_page4,Person Name,Frank G. Colby,"(0.574226438999176, 0.47289329767227173, 0.7120022661983967, 0.48844835348427296)",0
f/g/w/k/fgwk0174_page4,Organization Name,RJRT,"(0.42468497157096863, 0.5896215438842773, 0.46440714597702026, 0.6015070825815201)",0
f/g/w/k/fgwk0174_page4,Date,"June 23, 1983","(0.7520964741706848, 0.06428253650665283, 0.8821357116103172, 0.07838189881294966)",0
f/g/w/k/fgwk0174_page4,Contract Number,COURT ORDER #1015,"(0.5255071520805359, 0.9375695586204529, 0.6488934643566608, 0.9462486058473587)",0
f/g/w/k/fgwk0174_page4,Person Name,"Timothy M. Finnegan, Esq.","(0.1592749059200287, 0.0623973086476326, 0.40495648235082626, 0.07796063553541899)",1
f/g/w/k/fgwk0174_page4,Person Name,Hirsch,"(0.8312690854072571, 0.1366785615682602, 0.8916540071368217, 0.1487578358501196)",1
f/g/w/k/fgwk0174_page4,Person Name,Frank G. Colby,"(0.574226438999176, 0.47289329767227173, 0.7120022661983967, 0.48844835348427296)",1
f/g/w/k/fgwk0174_page4,Person Name,"Max Crohn, Esq.","(0.20659570395946503, 0.5591134428977966, 0.3516296297311783, 0.5738509548828006)",1
f/g/w/k/fgwk0174_page4,Person Name,Dr. Charles Nystrom,"(0.21779277920722961, 0.5909700393676758, 0.41335903853178024, 0.6045568315312266)",1
f/g/w/k/fgwk0174_page4,Person Name,Hirsch,"(0.603598952293396, 0.308847039937973, 0.6638761349022388, 0.32107722386717796)",1
f/g/w/k/fgwk0174_page4,Location,"June 23, 1983","(0.7520964741706848, 0.06428253650665283, 0.8821357116103172, 0.07838189881294966)",1
f/g/w/k/fgwk0174_page4,Location,https://www.industrydocuments.ucsf.edu/docs/fgwk0174,"(0.2849856913089752, 0.9824522137641907, 0.7828605771064758, 0.9974852539598942)",1
f/g/w/k/fgwk0174_page4,Organization Name,RJRT,"(0.42468497157096863, 0.5896215438842773, 0.46440714597702026, 0.6015070825815201)",1
f/g/w/k/fgwk0174_page4,Date,"June 23, 1983","(0.7520964741706848, 0.06428253650665283, 0.8821357116103172, 0.07838189881294966)",1
f/g/w/k/fgwk0174_page4,Contract Number,COURT ORDER #1015,"(0.5255071520805359, 0.9375695586204529, 0.6488934643566608, 0.9462486058473587)",1
f/g/w/k/fgwk0174_page4,Person Name,"Timothy M. Finnegan, Esq.","(0.1592749059200287, 0.0623973086476326, 0.40495648235082626, 0.07796063553541899)",2
f/g/w/k/fgwk0174_page4,Person Name,Hirsch,"(0.8312690854072571, 0.1366785615682602, 0.8916540071368217, 0.1487578358501196)",2
f/g/w/k/fgwk0174_page4,Person Name,Frank G. Colby,"(0.574226438999176, 0.47289329767227173, 0.7120022661983967, 0.48844835348427296)",2
f/g/w/k/fgwk0174_page4,Person Name,"Max Crohn, Esq.","(0.20659570395946503, 0.5591134428977966, 0.3516296297311783, 0.5738509548828006)",2
f/g/w/k/fgwk0174_page4,Person Name,Dr. Charles Nystrom,"(0.21779277920722961, 0.5909700393676758, 0.41335903853178024, 0.6045568315312266)",2
f/g/w/k/fgwk0174_page4,Location,"June 23, 1983","(0.7520964741706848, 0.06428253650665283, 0.8821357116103172, 0.07838189881294966)",2
f/g/w/k/fgwk0174_page4,Location,Hirsch,"(0.8312690854072571, 0.1366785615682602, 0.8916540071368217, 0.1487578358501196)",2
f/g/w/k/fgwk0174_page4,Location,Frank G. Colby,"(0.574226438999176, 0.47289329767227173, 0.7120022661983967, 0.48844835348427296)",2
f/g/w/k/fgwk0174_page4,Location,https://www.industrydocuments.ucsf.edu/docs/fgwk0174,"(0.2849856913089752, 0.9824522137641907, 0.7828605771064758, 0.9974852539598942)",2
f/g/w/k/fgwk0174_page4,Organization Name,RJRT,"(0.42468497157096863, 0.5896215438842773, 0.46440714597702026, 0.6015070825815201)",2
f/g/w/k/fgwk0174_page4,Date,"June 23, 1983","(0.7520964741706848, 0.06428253650665283, 0.8821357116103172, 0.07838189881294966)",2
f/g/w/k/fgwk0174_page4,Contract Number,CIVIL ACTION NO. 99-CV-2496,"(0.6514858603477478, 0.9374246597290039, 0.8131471984088421, 0.945421333424747)",2
f/g/w/k/fgwk0174_page4,Contract Number,COURT ORDER #1015,"(0.5255071520805359, 0.9375695586204529, 0.6488934643566608, 0.9462486058473587)",2
