id,pii_type,value,bbox,annotator
f/g/y/k/fgyk0087_page1,Person Name,Dr. G. R. Di Marco,"(0.23834945261478424, 0.24960528314113617, 0.4501441977918148, 0.26140389312058687)",0
f/g/y/k/fgyk0087_page1,Person Name,Alan Rodgman,"(0.23714441061019897, 0.27993905544281006, 0.3795824274420738, 0.29374401085078716)",0
f/g/y/k/fgyk0087_page1,Person Name,H. Cullman (PM),"(0.34069883823394775, 0.6164065599441528, 0.518778707832098, 0.6304682465270162)",0
f/g/y/k/fgyk0087_page1,Person Name,R. L. o. Ely (BAT),"(0.5383045077323914, 0.6168923377990723, 0.7564328089356422, 0.6308776084333658)",0
f/g/y/k/fgyk0087_page1,Person Name,D. Webb (Rothmans),"(0.3408840000629425, 0.6474031805992126, 0.5487653315067291, 0.6609804751351476)",0
f/g/y/k/fgyk0087_page1,Person Name,Adelkofer,"(0.11625108867883682, 0.6782629489898682, 0.2236318364739418, 0.6894310805946589)",0
f/g/y/k/fgyk0087_page1,Person Name,Klus,"(0.2817857563495636, 0.6783145070075989, 0.3287714906036854, 0.6893968638032675)",0
f/g/y/k/fgyk0087_page1,Person Name,Osdene,"(0.6068657040596008, 0.678295373916626, 0.6790408566594124, 0.6892470745369792)",0
f/g/y/k/fgyk0087_page1,Person Name,Green,"(0.7371127605438232, 0.678466796875, 0.7971047163009644, 0.6892408039420843)",0
f/g/y/k/fgyk0087_page1,Person Name,Ingebrethsen,"(0.3988434672355652, 0.8026953935623169, 0.5383283197879791, 0.8161269528791308)",0
f/g/y/k/fgyk0087_page1,Person Name,Oldaker,"(0.5954243540763855, 0.8023450374603271, 0.6780837625265121, 0.8134242203086615)",0
f/g/y/k/fgyk0087_page1,Person Name,Heavner,"(0.7842137217521667, 0.8026062846183777, 0.8686679378151894, 0.813160402700305)",0
f/g/y/k/fgyk0087_page1,Location,Wistor-Salem.N.C 27102,"(0.621487557888031, 0.07574226707220078, 0.847782202064991, 0.08927174936980009)",0
f/g/y/k/fgyk0087_page1,Location,London,"(0.36592963337898254, 0.5249457359313965, 0.436401404440403, 0.5362833421677351)",0
f/g/y/k/fgyk0087_page1,Location,New York,"(0.44402679800987244, 0.8788374066352844, 0.538057204335928, 0.8898234907537699)",0
f/g/y/k/fgyk0087_page1,Organization Name,R.J.Reynolds Tobacco Company,"(0.6232204437255859, 0.05653374269604683, 0.9631145969033241, 0.07604865729808807)",0
f/g/y/k/fgyk0087_page1,Organization Name,Infotab,"(0.6322429776191711, 0.6016083359718323, 0.713928572833538, 0.6130273221060634)",0
f/g/y/k/fgyk0087_page1,Organization Name,Reemtsma,"(0.599051833152771, 0.6323142647743225, 0.7202896922826767, 0.6458767242729664)",0
f/g/y/k/fgyk0087_page1,Organization Name,Rothmans,"(0.437730997800827, 0.6475666165351868, 0.5487653315067291, 0.6609804751351476)",0
f/g/y/k/fgyk0087_page1,Organization Name,Verband,"(0.44551214575767517, 0.6775686740875244, 0.5358431190252304, 0.6908397516235709)",0
f/g/y/k/fgyk0087_page1,Organization Name,State of New York Health Department,"(0.3388775587081909, 0.8785391449928284, 0.7564749270677567, 0.8925058608874679)",0
f/g/y/k/fgyk0087_page1,Organization Name,University of Massachusetts Medical School,"(0.11416076123714447, 0.8936957120895386, 0.6046658679842949, 0.9077544687315822)",0
f/g/y/k/fgyk0087_page1,Organization Name,Reynolds,"(0.7479355931282043, 0.8936196565628052, 0.843646377325058, 0.9075578078627586)",0
f/g/y/k/fgyk0087_page1,Date,"April 17, 1986","(0.6225802302360535, 0.21896252036094666, 0.7889020629227161, 0.23341938853263855)",0
f/g/y/k/fgyk0087_page1,Date,"8 April, 1986","(0.48273882269859314, 0.5248251557350159, 0.6413088850677013, 0.5389243988320231)",0
f/g/y/k/fgyk0087_page1,Date,April 1-2,"(0.20945779979228973, 0.8021247386932373, 0.3243432901799679, 0.8156179031357169)",0
f/g/y/k/fgyk0087_page1,Person Name,Dr. G. R. Di Marco,"(0.23834945261478424, 0.24960528314113617, 0.4501441977918148, 0.26140389312058687)",1
f/g/y/k/fgyk0087_page1,Person Name,Alan Rodgman,"(0.23714441061019897, 0.27993905544281006, 0.3795824274420738, 0.29374401085078716)",1
f/g/y/k/fgyk0087_page1,Person Name,H. Cullman,"(0.34069883823394775, 0.6169782280921936, 0.45847780257463455, 0.6284279963001609)",1
