id,pii_type,value,bbox,annotator
f/h/m/j/fhmj0169_page1,Person Name,C. F. VEALEY,"(0.2980901598930359, 0.9168409705162048, 0.4021854139864445, 0.9264955082908273)",0
f/h/m/j/fhmj0169_page1,Person Name,E. L. watto goe,"(0.2380487322807312, 0.9484041333198547, 0.4166996702551842, 0.9762709941715002)",0
f/h/m/j/fhmj0169_page1,Location,LOU!SVILLE,"(0.07970117777585983, 0.06756436824798584, 0.16582434624433517, 0.07626723404973745)",0
f/h/m/j/fhmj0169_page1,Location,https://www.industrydocuments.ucsf.edu/docs/fhmj0169,"(0.22217094898223877, 0.9813036322593689, 0.7785604000091553, 0.9973378926515579)",0
f/h/m/j/fhmj0169_page1,Organization Name,LOU!SVILLE,"(0.07970117777585983, 0.06756436824798584, 0.16582434624433517, 0.07626723404973745)",0
f/h/m/j/fhmj0169_page1,Organization Name,FULLER,"(0.2987575829029083, 0.39830777049064636, 0.35026054829359055, 0.40740469470620155)",0
f/h/m/j/fhmj0169_page1,Organization Name,FINDLEY,"(0.29902729392051697, 0.4132959842681885, 0.3609246499836445, 0.4224923951551318)",0
f/h/m/j/fhmj0169_page1,Organization Name,NATIONAL,"(0.2996111512184143, 0.45768868923187256, 0.36634304374456406, 0.46667924895882607)",0
f/h/m/j/fhmj0169_page1,Organization Name,C. F. VEALEY,"(0.2980901598930359, 0.9168409705162048, 0.4021854139864445, 0.9264955082908273)",0
f/h/m/j/fhmj0169_page1,Organization Name,E. L. watto goe,"(0.2380487322807312, 0.9484041333198547, 0.4166996702551842, 0.9762709941715002)",0
f/h/m/j/fhmj0169_page1,Date,01/17/94,"(0.8155152201652527, 0.06742096692323685, 0.8846346959471703, 0.07702122256159782)",0
f/h/m/j/fhmj0169_page1,Date,1/06/94,"(0.8161786794662476, 0.9158422946929932, 0.8745633326470852, 0.9273822521790862)",0
f/h/m/j/fhmj0169_page1,Date,1/06/94,"(0.3090669512748718, 0.9321603178977966, 0.36637938395142555, 0.9419469386339188)",0
