id,pii_type,value,bbox,annotator
f/h/v/y/fhvy0227_page2,Person Name,Rhona,"(0.12734082341194153, 0.07058658450841904, 0.16908637061715126, 0.08022764697670937)",0
f/h/v/y/fhvy0227_page2,Person Name,Rhona,"(0.12734082341194153, 0.07058658450841904, 0.16908637061715126, 0.08022764697670937)",1
f/h/v/y/fhvy0227_page2,Person Name,Rhona,"(0.12734082341194153, 0.07058658450841904, 0.16908637061715126, 0.08022764697670937)",2
f/h/v/y/fhvy0227_page2,Location,Rhona,"(0.12734082341194153, 0.07058658450841904, 0.16908637061715126, 0.08022764697670937)",2
f/h/v/y/fhvy0227_page2,Location,CONFIDENTIALITY NOTICE,"(0.1274050772190094, 0.13119155168533325, 0.33365559205412865, 0.14094148110598326)",2
f/h/v/y/fhvy0227_page2,Location,This message,"(0.1930311769247055, 0.14615002274513245, 0.2803376838564873, 0.15833700820803642)",2
f/h/v/y/fhvy0227_page2,Location,this,"(0.8259658217430115, 0.16134747862815857, 0.8495076969265938, 0.1711266227066517)",2
f/h/v/y/fhvy0227_page2,Location,message,"(0.13098745048046112, 0.17901888489723206, 0.18525845929980278, 0.1888224733993411)",2
f/h/v/y/fhvy0227_page2,Location,this,"(0.39012107253074646, 0.19158188998699188, 0.41336506605148315, 0.2013447480276227)",2
f/h/v/y/fhvy0227_page2,Location,communication,"(0.13111916184425354, 0.20697367191314697, 0.23020122945308685, 0.2164488509297371)",2
f/h/v/y/fhvy0227_page2,Location,https://www.industrydocuments.ucsf.edu/docs/fhvy0227,"(0.22242401540279388, 0.9808186888694763, 0.7785425633192062, 0.9974790886044502)",2
