id,pii_type,value,bbox,annotator
f/j/b/k/fjbk0069_page1,Person Name,Lee Stitzenberger,"(0.24064774811267853, 0.2810666859149933, 0.43282441794872284, 0.29446742217987776)",0
f/j/b/k/fjbk0069_page1,Person Name,Jim Pontarelli,"(0.24081027507781982, 0.2954784035682678, 0.39710181951522827, 0.3067553984001279)",0
f/j/b/k/fjbk0069_page1,Person Name,Chip Nielsen,"(0.24201616644859314, 0.32312455773353577, 0.37715180218219757, 0.3370364224538207)",0
f/j/b/k/fjbk0069_page1,Phone Number,FAX 1910) 446-6106,"(0.1564527004957199, 0.21642647683620453, 0.24133674055337906, 0.2230874877423048)",0
f/j/b/k/fjbk0069_page1,Location,SACRAMENTO,"(0.16053305566310883, 0.1645851582288742, 0.23546666651964188, 0.17119210213422775)",0
f/j/b/k/fjbk0069_page1,Location,SAN FRANCISCO,"(0.7448797225952148, 0.16142259538173676, 0.8342352733016014, 0.16858832631260157)",0
f/j/b/k/fjbk0069_page1,Location,"MILL VALLEY, CALIFORNIA 94941","(0.3934074640274048, 0.17840123176574707, 0.6009533274918795, 0.1871414566412568)",0
f/j/b/k/fjbk0069_page1,Location,"SAN FRANCISCO, CALIFORNIA 94108","(0.4868507981300354, 0.1785525381565094, 0.8890198152512312, 0.19598868349567056)",0
f/j/b/k/fjbk0069_page1,Location,"650 CALIFORNIA STREET, SUITE 2650","(0.16483542323112488, 0.1785525381565094, 0.888748325407505, 0.18755625933408737)",0
f/j/b/k/fjbk0069_page1,Location,"SACRAMENTO, CALIFORNIA 95814","(0.1081831082701683, 0.18928328156471252, 0.2868130952119827, 0.19669558061286807)",0
f/j/b/k/fjbk0069_page1,Location,Marin County,"(0.5664975643157959, 0.5478120446205139, 0.7023381814360619, 0.5602022968232632)",0
f/j/b/k/fjbk0069_page1,Organization Name,Californians for Statewide Smoking,"(0.1316317915916443, 0.42127177119255066, 0.6976930648088455, 0.43426839355379343)",0
f/j/b/k/fjbk0069_page1,Date,"September 27, 1995","(0.39255034923553467, 0.2258518934249878, 0.5926545932888985, 0.23793831933289766)",0
